players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
19,6,11,64,22,34.4,10.67,3.67,0.16,0.45,17.6,0,1,1,8.3,7.5,0.12,2.7,2.5,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,6,4,95,34,35.8,15.83,5.67,0.04,0.12,18.5,4,0,2,9.5,7.8,0.08,-5.5,-3.8,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,6,12,90,33,36.7,15.0,5.5,0.13,0.36,16.7,2,0,0,9.9,9.9,0.11,2.1,2.1,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,10,21,167,72,43.1,16.7,7.2,0.12,0.28,18.2,8,1,1,19.4,18.6,0.11,1.6,1.4,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,10,25,133,48,36.1,13.3,4.8,0.15,0.42,17.3,6,5,5,19.0,15.1,0.12,6.0,4.9,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,6,3,82,29,35.4,13.67,4.83,0.04,0.1,18.1,1,0,1,9.2,8.4,0.1,-6.2,-5.4,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,10,12,152,51,33.6,15.2,5.1,0.07,0.2,16.5,6,2,2,16.2,14.6,0.1,-4.2,-4.6,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,8,8,67,20,29.9,8.37,2.5,0.1,0.35,19.3,1,1,2,8.0,6.4,0.1,0.0,0.6,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,6,4,55,20,36.4,9.17,3.33,0.07,0.2,20.3,2,0,0,4.2,4.2,0.08,-0.2,-0.2,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,8,11,97,27,27.8,12.12,3.38,0.11,0.41,18.5,4,0,0,10.5,10.5,0.11,0.5,0.5,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,8,7,75,26,34.7,9.37,3.25,0.08,0.23,18.1,2,1,1,8.0,7.3,0.1,-1.0,-1.3,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,6,1,54,16,29.6,9.0,2.67,0.02,0.06,17.8,3,0,0,4.8,4.8,0.09,-3.8,-3.8,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,13,19,166,62,37.3,12.77,4.77,0.11,0.29,16.6,2,1,1,17.9,17.5,0.11,1.1,0.5,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,6,9,78,25,32.1,13.0,4.17,0.12,0.36,16.8,0,0,0,8.6,8.6,0.13,0.4,0.4,/en/squads/e0652b02/2022-2023/Juventus-Stats
20,6,4,81,27,33.3,13.5,4.5,0.05,0.15,18.5,1,0,2,9.0,7.4,0.1,-5.0,-3.4,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
25,8,19,126,55,43.7,15.75,6.87,0.14,0.33,16.0,4,1,1,14.7,13.9,0.11,4.3,4.1,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
20,6,7,76,21,27.6,12.67,3.5,0.08,0.29,20.7,4,1,1,6.4,5.6,0.07,0.6,0.4,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
