round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,1,Tue,2022-09-06,20:00,Benfica,0.9,2–0,0.1,Maccabi Haifa,55130,Estádio do Sport Lisboa e Benfica,Andreas Ekberg,/en/matches/efeb4639/Benfica-Maccabi-Haifa-September-6-2022-Champions-League,,efeb4639
Group stage,1,Tue,2022-09-06,20:00,Celtic,1.4,0–3,1.9,Real Madrid,57057,Celtic Park,Sandro Schärer,/en/matches/38f6a4ce/Celtic-Real-Madrid-September-6-2022-Champions-League,,38f6a4ce
Group stage,1,Tue,2022-09-06,18:45,Dinamo Zagreb,0.6,1–0,0.9,Chelsea,20607,Stadion Maksimir,István Kovács,/en/matches/07f058d4/Dinamo-Zagreb-Chelsea-September-6-2022-Champions-League,,07f058d4
Group stage,1,Tue,2022-09-06,18:45,Dortmund,2.3,3–0,0.5,FC Copenhagen,70700,Signal Iduna Park,François Letexier,/en/matches/709a2125/Dortmund-FC-Copenhagen-September-6-2022-Champions-League,,709a2125
Group stage,1,Tue,2022-09-06,21:00,Paris S-G,1.7,2–1,1.0,Juventus,47415,Parc des Princes,Anthony Taylor,/en/matches/a1157ba5/Paris-Saint-Germain-Juventus-September-6-2022-Champions-League,,a1157ba5
Group stage,1,Tue,2022-09-06,21:00,RB Leipzig,1.4,1–4,0.9,Shakhtar,41591,Red Bull Arena,João Pinheiro,/en/matches/9ecd1e5f/RB-Leipzig-Shakhtar-Donetsk-September-6-2022-Champions-League,,9ecd1e5f
Group stage,1,Tue,2022-09-06,21:00,RB Salzburg,1.3,1–1,0.9,Milan,29520,Red Bull Arena,Srđan Jovanović,/en/matches/0f59e412/Red-Bull-Salzburg-Milan-September-6-2022-Champions-League,,0f59e412
Group stage,1,Tue,2022-09-06,21:00,Sevilla,0.3,0–4,3.6,Manchester City,38764,Estadio Ramón Sánchez Pizjuán,Davide Massa,/en/matches/85506897/Sevilla-Manchester-City-September-6-2022-Champions-League,,85506897
Group stage,1,Wed,2022-09-07,18:45,Ajax,2.1,4–0,0.1,Rangers,52862,Johan Cruyff ArenA,Tobias Stieler,/en/matches/4f096324/Ajax-Rangers-September-7-2022-Champions-League,,4f096324
Group stage,1,Wed,2022-09-07,21:00,Atlético Madrid,0.8,2–1,2.0,Porto,51777,Estadio Cívitas Metropolitano,Szymon Marciniak,/en/matches/221c1a99/Atletico-Madrid-Porto-September-7-2022-Champions-League,,221c1a99
Group stage,1,Wed,2022-09-07,21:00,Barcelona,2.3,5–1,0.8,Viktoria Plzeň,77411,Camp Nou,Lawrence Visser,/en/matches/d0611a51/Barcelona-Viktoria-Plzen-September-7-2022-Champions-League,,d0611a51
Group stage,1,Wed,2022-09-07,21:00,Club Brugge,0.5,1–0,1.0,Leverkusen,21235,Jan Breydelstadion,Irfan Peljto,/en/matches/f36cf403/Club-Brugge-Bayer-Leverkusen-September-7-2022-Champions-League,,f36cf403
Group stage,1,Wed,2022-09-07,18:45,Eint Frankfurt,0.8,0–3,0.9,Sporting CP,50500,Deutsche Bank Park,Orel Grinfeeld,/en/matches/c060eacb/Eintracht-Frankfurt-Sporting-CP-September-7-2022-Champions-League,,c060eacb
Group stage,1,Wed,2022-09-07,21:00,Inter,0.7,0–2,2.5,Bayern Munich,58951,Stadio Giuseppe Meazza,Clément Turpin,/en/matches/d3038dc6/Internazionale-Bayern-Munich-September-7-2022-Champions-League,,d3038dc6
Group stage,1,Wed,2022-09-07,21:00,Napoli,4.0,4–1,1.0,Liverpool,51793,Stadio Diego Armando Maradona,Carlos del Cerro,/en/matches/186769e2/Napoli-Liverpool-September-7-2022-Champions-League,,186769e2
