players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
19,6,110,60,44,50,16,63,104,60.6,41,62,15,47,53,163,109,5,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,6,85,48,38,30,17,48,79,60.8,31,81,21,60,42,127,79,2,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,6,94,58,31,44,19,38,69,55.1,31,60,20,40,51,145,58,3,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,10,189,118,94,69,26,80,175,45.7,95,146,34,112,120,309,131,5,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,10,189,105,80,78,31,82,189,43.4,107,126,33,93,123,312,160,1,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,6,89,45,35,36,18,41,81,50.6,40,78,27,51,65,154,84,2,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,10,175,104,81,68,26,87,174,50.0,87,136,30,106,93,268,141,1,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,8,113,64,58,40,15,47,98,48.0,51,84,30,54,72,185,161,4,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,6,105,54,60,36,9,50,99,50.5,49,73,31,42,66,171,127,1,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,8,111,67,53,42,16,50,116,43.1,66,106,31,75,89,200,136,4,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,8,154,88,75,66,13,66,154,42.9,88,99,17,82,85,239,129,3,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,6,88,46,51,23,14,40,82,48.8,42,77,25,52,83,171,104,0,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,13,230,138,130,73,27,103,227,45.4,124,149,46,103,123,353,276,1,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,6,96,48,47,35,14,49,94,52.1,45,77,21,56,51,147,78,0,/en/squads/e0652b02/2022-2023/Juventus-Stats
20,6,103,66,41,45,17,53,86,61.6,33,65,19,46,43,146,119,2,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
25,8,141,81,58,64,19,67,125,53.6,58,83,20,63,60,201,76,3,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
20,6,124,73,76,32,16,52,110,47.3,58,55,18,37,53,177,104,0,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
23,13,185,112,68,80,37,88,177,49.7,89,104,24,80,84,269,126,3,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
19,6,107,58,40,51,16,40,69,58.0,29,54,20,34,68,175,57,1,/en/squads/5725cc7b/2022-2023/Marseille-Stats
23,12,214,123,111,80,23,89,183,48.6,94,129,46,83,103,317,187,4,/en/squads/dc56fe14/2022-2023/Milan-Stats
22,10,173,104,79,64,30,78,141,55.3,63,95,29,66,88,261,160,4,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
21,8,117,77,58,45,14,59,139,42.4,80,77,23,54,62,179,97,3,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
24,8,136,88,76,45,15,57,127,44.9,70,85,23,62,77,213,152,1,/en/squads/5e876ee6/2022-2023/Porto-Stats
22,8,136,79,62,57,17,69,152,45.4,83,80,17,63,68,204,108,6,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
19,6,154,85,77,54,23,70,120,58.3,50,93,23,70,51,205,118,3,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
22,6,89,45,38,42,9,39,91,42.9,52,63,24,39,58,147,105,3,/en/squads/86b7acd2/2022-2023/Rangers-Stats
22,12,173,98,85,68,20,85,178,47.8,93,133,34,99,111,284,179,1,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
24,6,82,49,38,30,14,43,93,46.2,50,64,19,45,49,131,90,6,/en/squads/ad2be733/2022-2023/Sevilla-Stats
20,6,106,52,68,30,8,45,99,45.5,54,57,17,40,65,171,156,5,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
25,6,127,75,70,49,8,56,89,62.9,33,62,15,47,50,177,127,4,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
25,8,153,88,56,73,24,71,143,49.7,72,75,28,47,71,224,132,5,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
22,6,95,41,52,28,15,41,98,41.8,57,61,20,41,67,162,128,0,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
