players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
19,26.4,6,540,90,100,6,66,83,39,26,16,44,1.0,11,16,-5,-0.83,8.3,12.2,-3.9,-0.65,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,28.6,6,540,90,100,6,66,79,41,26,28,37,0.83,5,9,-4,-0.67,9.5,9.8,-0.3,-0.05,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,26.4,6,540,90,100,6,66,81,38,28,22,36,1.17,12,12,0,0.0,9.9,9.3,0.6,0.1,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,26.6,10,900,90,100,10,110,80,62,47,24,49,2.5,22,6,16,1.6,19.4,10.9,8.4,0.84,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,26.0,10,900,90,100,10,110,84,70,40,16,80,2.1,26,13,13,1.3,19.0,10.9,8.1,0.81,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,26.0,6,540,90,100,6,66,80,37,29,23,39,0.33,4,15,-11,-1.83,9.2,10.9,-1.7,-0.29,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,26.9,10,900,90,100,10,110,81,64,45,21,67,1.6,12,9,3,0.3,16.2,10.7,5.5,0.55,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,26.3,8,720,90,100,8,88,84,57,30,17,44,1.38,8,11,-3,-0.37,8.0,16.9,-8.9,-1.12,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,26.9,6,540,90,100,6,66,84,40,26,14,45,0.67,4,11,-7,-1.17,4.2,12.5,-8.3,-1.39,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,26.0,8,720,90,100,8,88,82,54,34,22,48,1.5,11,7,4,0.5,10.5,11.4,-0.9,-0.12,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,26.1,8,720,90,100,8,88,82,52,34,18,45,1.25,7,13,-6,-0.75,8.0,12.9,-4.9,-0.61,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,24.6,6,540,90,100,6,66,83,39,26,19,37,0.5,1,12,-11,-1.83,4.8,11.2,-6.4,-1.06,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,28.5,13,1170,90,100,13,143,82,79,64,18,89,1.85,19,11,8,0.62,17.9,15.1,2.8,0.22,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,28.3,6,540,90,100,6,66,80,40,27,24,33,0.5,9,13,-4,-0.67,8.6,10.6,-2.0,-0.33,/en/squads/e0652b02/2022-2023/Juventus-Stats
