players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
1,6,16,2,0,3,0,14.6,0.34,-1.4,-0.24,20,101,19.8,235,29,37.9,32.8,46,26.1,29.8,85,4,4.7,5,0.83,12.4,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
2,6,9,1,0,0,0,9.9,0.33,0.9,0.15,17,56,30.4,99,27,30.3,33.3,43,60.5,47.3,53,3,5.7,4,0.67,9.3,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2,6,12,1,0,2,0,12.6,0.4,0.6,0.1,25,38,65.8,165,27,17.6,20.0,36,25.0,29.3,59,1,1.7,6,1.0,8.0,/en/squads/206d90db/2022-2023/Barcelona-Stats
3,10,6,0,0,1,0,10.6,0.3,4.6,0.46,24,62,38.7,326,45,16.6,33.2,62,12.9,22.8,113,2,1.8,7,0.7,,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
1,10,13,3,0,1,0,12.1,0.32,-0.9,-0.09,28,93,30.1,199,42,33.7,33.5,64,40.6,36.7,140,6,4.3,11,1.1,14.8,/en/squads/a77c513e/2022-2023/Benfica-Stats
1,6,15,2,0,0,0,13.3,0.4,-1.7,-0.28,7,17,41.2,142,32,9.2,24.5,32,12.5,25.3,59,0,0.0,6,1.0,19.3,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
2,10,9,0,0,1,0,10.4,0.31,1.4,0.14,27,87,31.0,248,53,24.6,27.5,49,53.1,42.3,95,7,7.4,12,1.2,22.7,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
1,8,11,2,0,0,0,15.1,0.31,4.1,0.51,80,155,51.6,246,30,45.1,37.0,77,57.1,39.9,112,6,5.4,5,0.63,9.6,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
1,6,11,3,0,0,1,12.5,0.27,2.5,0.41,34,110,30.9,177,27,42.4,35.7,76,46.1,41.3,101,3,3.0,3,0.5,10.8,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
2,8,7,1,0,1,0,11.0,0.26,4.0,0.5,37,96,38.5,277,30,27.4,29.4,62,32.3,32.9,121,6,5.0,13,1.63,20.6,/en/squads/add600ae/2022-2023/Dortmund-Stats
1,8,13,2,0,0,0,14.5,0.29,1.5,0.19,25,99,25.3,184,33,47.8,37.2,42,26.2,28.9,81,4,4.9,5,0.63,13.0,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
2,6,12,1,0,1,1,11.6,0.26,0.6,0.11,32,101,31.7,144,23,45.8,39.1,45,77.8,57.5,76,8,10.5,4,0.67,13.2,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
1,13,11,0,0,2,1,17.6,0.31,7.6,0.58,84,191,44.0,419,63,35.8,34.0,106,38.7,35.2,196,14,7.1,3,0.23,10.1,/en/squads/d609edc0/2022-2023/Internazionale-Stats
2,6,13,2,0,1,0,11.4,0.3,-1.6,-0.27,16,37,43.2,116,27,25.9,32.3,42,16.7,22.2,64,2,3.1,4,0.67,10.7,/en/squads/e0652b02/2022-2023/Juventus-Stats
1,6,8,2,0,1,0,7.0,0.17,-1.0,-0.17,22,58,37.9,163,28,28.2,30.8,39,30.8,30.1,91,5,5.5,2,0.33,10.0,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
1,8,12,1,0,0,0,12.6,0.4,0.6,0.08,28,51,54.9,235,36,17.9,26.5,37,24.3,31.6,56,7,12.5,10,1.25,17.4,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
1,6,21,0,1,2,1,17.7,0.42,-2.3,-0.38,19,49,38.8,104,30,30.8,32.5,39,43.6,34.6,82,4,4.9,8,1.33,17.2,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
2,13,5,1,0,3,0,7.6,0.19,2.6,0.2,48,101,47.5,340,51,22.6,29.6,58,41.4,39.3,93,5,5.4,14,1.08,16.2,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
1,6,8,0,0,1,0,5.4,0.27,-2.6,-0.43,18,56,32.1,151,20,30.5,32.8,25,40.0,37.6,44,3,6.8,11,1.83,17.0,/en/squads/5725cc7b/2022-2023/Marseille-Stats
2,12,11,1,0,3,0,14.4,0.24,3.4,0.28,75,144,52.1,338,48,30.8,32.7,95,42.1,36.4,163,11,6.7,21,1.75,21.3,/en/squads/dc56fe14/2022-2023/Milan-Stats
1,10,8,1,0,2,0,11.4,0.33,3.4,0.34,21,47,44.7,245,48,15.5,24.8,70,12.9,21.0,129,7,5.4,11,1.1,13.6,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
1,8,10,1,0,2,1,10.1,0.26,1.1,0.13,13,42,31.0,174,41,19.0,25.1,64,14.1,19.9,99,2,2.0,8,1.0,13.3,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
1,8,8,1,0,1,1,10.7,0.18,3.7,0.46,56,147,38.1,320,44,37.2,36.1,58,48.3,40.3,117,9,7.7,8,1.0,13.6,/en/squads/5e876ee6/2022-2023/Porto-Stats
2,8,17,2,0,3,0,14.4,0.35,-2.6,-0.33,14,52,26.9,277,34,16.6,25.4,48,12.5,24.4,92,6,6.5,5,0.63,17.8,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
1,6,9,0,0,2,0,9.4,0.31,0.4,0.07,29,73,39.7,111,11,54.1,42.4,32,40.6,39.9,89,2,2.2,8,1.33,16.2,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
2,6,22,2,1,3,0,18.2,0.3,-3.8,-0.64,31,105,29.5,168,25,42.9,35.7,57,57.9,46.8,67,2,3.0,7,1.17,20.2,/en/squads/86b7acd2/2022-2023/Rangers-Stats
2,12,13,0,1,2,0,18.6,0.31,5.6,0.47,26,95,27.4,322,80,22.0,30.0,91,26.4,29.5,147,10,6.8,8,0.67,11.5,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2,6,12,0,0,1,0,10.1,0.36,-1.9,-0.32,29,86,33.7,226,23,25.2,28.5,55,52.7,42.4,73,8,11.0,4,0.67,11.4,/en/squads/ad2be733/2022-2023/Sevilla-Stats
1,6,10,0,0,0,2,9.0,0.25,1.0,0.17,22,71,31.0,172,25,24.4,27.0,87,33.3,31.3,122,4,3.3,2,0.33,8.7,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
2,6,9,2,0,2,0,10.6,0.31,1.6,0.27,26,107,24.3,229,40,29.7,32.4,60,65.0,42.9,105,11,10.5,3,0.5,5.3,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
2,8,7,0,0,3,0,9.9,0.37,2.9,0.36,23,47,48.9,179,46,20.7,26.6,52,19.2,25.9,96,6,6.3,16,2.0,25.0,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
2,6,24,0,0,1,0,23.0,0.43,-1.0,-0.17,54,118,45.8,132,24,56.8,43.0,59,72.9,52.1,79,2,2.5,8,1.33,9.3,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
