players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
19,6,2834,3385,83.7,48341,15879,1278,1395,91.6,1295,1447,89.5,205,396,51.8,9,6.3,6.2,2.7,53,210,65,15,234,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,6,3047,3674,82.9,51306,16783,1518,1661,91.4,1166,1363,85.5,282,475,59.4,3,5.3,4.7,-2.3,65,235,58,19,286,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,6,3476,4033,86.2,59905,19061,1623,1796,90.4,1463,1613,90.7,323,444,72.7,10,8.2,10.5,1.8,71,343,84,18,358,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,10,5277,6096,86.6,92687,30813,2326,2542,91.5,2380,2622,90.8,482,702,68.7,19,15.5,13.5,3.5,129,464,106,11,541,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,10,4832,5740,84.2,82686,26948,2250,2505,89.8,1877,2100,89.4,525,769,68.3,16,12.0,12.5,4.0,103,373,99,18,455,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,6,2714,3217,84.4,47286,16001,1132,1275,88.8,1338,1488,89.9,187,300,62.3,1,6.6,7.4,-5.6,63,236,75,24,300,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,10,5015,5977,83.9,83375,27690,2517,2768,90.9,1953,2225,87.8,426,693,61.5,7,11.8,13.4,-4.8,115,418,105,16,512,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,8,2998,3805,78.8,57815,20432,1136,1345,84.5,1341,1536,87.3,411,702,58.5,7,5.2,4.1,1.8,47,193,39,10,239,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,6,2232,2821,79.1,40331,15054,965,1099,87.8,939,1110,84.6,249,433,57.5,2,3.2,3.3,-1.2,41,129,37,11,194,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,8,3388,4123,82.2,57515,19809,1627,1828,89.0,1314,1486,88.4,329,552,59.6,10,8.8,7.3,1.2,74,227,57,6,300,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,8,2827,3691,76.6,47000,16909,1390,1613,86.2,1148,1409,81.5,215,490,43.9,5,5.5,5.0,-0.5,51,190,37,4,258,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,6,1950,2478,78.7,34295,11982,866,1006,86.1,826,937,88.2,199,395,50.4,1,3.5,3.3,-2.5,38,127,27,6,142,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,13,4784,6011,79.6,91946,34311,1943,2202,88.2,2179,2534,86.0,599,1002,59.8,17,14.3,13.4,2.7,123,336,93,32,440,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,6,2553,3100,82.4,47736,16403,1039,1173,88.6,1132,1291,87.7,322,485,66.4,8,7.0,4.9,1.0,58,239,48,15,277,/en/squads/e0652b02/2022-2023/Juventus-Stats
20,6,2663,3241,82.2,45432,16050,1277,1436,88.9,1104,1246,88.6,227,407,55.8,4,6.3,6.1,-2.3,60,208,55,9,260,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
25,8,3786,4628,81.8,64379,23190,1749,1959,89.3,1502,1742,86.2,364,609,59.8,15,10.8,11.7,4.2,103,305,101,16,407,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
20,6,2173,2698,80.5,36803,13241,1066,1208,88.2,829,967,85.7,211,351,60.1,6,5.2,4.5,0.8,64,150,41,11,213,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
23,13,7695,8736,88.1,133458,36726,3649,3894,93.7,3242,3523,92.0,695,977,71.1,23,17.8,17.0,5.2,164,648,128,30,644,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
19,6,3072,3647,84.2,55131,15761,1258,1394,90.2,1381,1571,87.9,327,480,68.1,6,5.3,4.9,0.7,54,306,46,11,324,/en/squads/5725cc7b/2022-2023/Marseille-Stats
23,12,4306,5392,79.9,80341,29115,1785,2076,86.0,1823,2081,87.6,572,909,62.9,9,11.3,11.0,-2.3,99,311,77,26,378,/en/squads/dc56fe14/2022-2023/Milan-Stats
22,10,4938,5849,84.4,79554,26691,2449,2670,91.7,1963,2251,87.2,332,550,60.4,20,15.7,15.1,4.3,136,326,89,20,419,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
21,8,4570,5187,88.1,68541,22084,2466,2666,92.5,1536,1695,90.6,301,434,69.4,12,7.1,8.6,4.9,70,311,89,8,352,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
24,8,2857,3703,77.2,51436,19403,1289,1491,86.5,1168,1377,84.8,327,616,53.1,7,10.6,8.6,-3.6,85,173,60,16,249,/en/squads/5e876ee6/2022-2023/Porto-Stats
