players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,6,6,540,6,16,2.67,37,21,62.2,2,0,4,1,16.7,2,2,0,0,0.0,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
2,6,6,540,6,9,1.5,27,18,70.4,1,2,3,1,16.7,1,1,0,0,0.0,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2,6,6,540,6,12,2.0,30,18,63.3,2,1,3,0,0.0,1,1,0,0,0.0,/en/squads/206d90db/2022-2023/Barcelona-Stats
3,10,10,900,10,6,0.6,36,30,83.3,8,1,1,7,70.0,1,0,0,1,,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
1,10,10,900,10,13,1.3,31,18,67.7,6,3,1,2,20.0,3,3,0,0,0.0,/en/squads/a77c513e/2022-2023/Benfica-Stats
1,6,6,540,6,15,2.5,31,16,58.1,0,2,4,0,0.0,2,2,0,0,0.0,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
2,10,10,900,10,9,0.9,37,28,75.7,5,1,4,3,30.0,0,0,0,0,,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
1,8,8,720,8,11,1.37,45,34,80.0,3,2,3,5,62.5,3,2,0,1,0.0,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
1,6,6,540,6,11,1.83,35,25,77.1,1,1,4,1,16.7,3,3,0,0,0.0,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
2,8,8,720,8,7,0.87,36,28,83.3,3,3,2,3,37.5,2,1,1,0,50.0,/en/squads/add600ae/2022-2023/Dortmund-Stats
1,8,8,720,8,13,1.62,41,27,73.2,3,1,4,2,25.0,4,2,1,1,33.3,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
2,6,6,540,6,12,2.0,38,26,71.1,0,3,3,2,33.3,2,1,1,0,50.0,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
1,13,13,1170,13,11,0.85,57,47,80.7,7,3,3,8,61.5,0,0,0,0,,/en/squads/d609edc0/2022-2023/Internazionale-Stats
2,6,6,540,6,13,2.17,32,19,65.6,1,0,5,0,0.0,2,2,0,0,0.0,/en/squads/e0652b02/2022-2023/Juventus-Stats
1,6,6,540,6,8,1.33,24,15,75.0,1,2,3,2,33.3,3,2,1,0,33.3,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
1,8,8,720,8,12,1.5,28,15,60.7,5,0,3,3,37.5,2,1,1,0,50.0,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
1,6,6,540,6,21,3.5,42,22,50.0,1,0,5,1,16.7,0,0,0,0,,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
2,13,13,1170,13,5,0.38,37,32,89.2,8,5,0,8,61.5,1,1,0,0,0.0,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
1,6,6,540,6,8,1.33,20,12,60.0,2,0,4,1,16.7,0,0,0,0,,/en/squads/5725cc7b/2022-2023/Marseille-Stats
2,12,12,1080,12,11,0.92,52,40,80.8,5,3,4,5,41.7,2,1,1,0,50.0,/en/squads/dc56fe14/2022-2023/Milan-Stats
1,10,10,900,10,8,0.8,30,21,76.7,7,1,2,4,40.0,2,1,1,0,50.0,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
1,8,8,720,8,10,1.25,35,26,74.3,4,2,2,0,0.0,1,1,0,0,0.0,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
1,8,8,720,8,8,1.0,38,28,81.6,4,1,3,4,50.0,4,1,3,0,75.0,/en/squads/5e876ee6/2022-2023/Porto-Stats
2,8,8,720,8,17,2.12,39,22,61.5,4,1,3,2,25.0,2,2,0,0,0.0,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
1,6,6,540,6,9,1.5,30,21,70.0,1,3,2,1,16.7,0,0,0,0,,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
2,6,6,540,6,22,3.67,51,28,60.8,0,0,6,0,0.0,3,2,1,0,33.3,/en/squads/86b7acd2/2022-2023/Rangers-Stats
2,12,12,1080,12,13,1.08,58,44,77.6,8,2,2,5,41.7,1,0,1,0,100.0,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2,6,6,540,6,12,2.0,30,18,60.0,1,2,3,2,33.3,0,0,0,0,,/en/squads/ad2be733/2022-2023/Sevilla-Stats
1,6,6,540,6,10,1.67,38,30,73.7,1,3,2,0,0.0,0,0,0,0,,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
2,6,6,537,6,9,1.51,29,20,75.9,2,1,3,2,33.3,2,2,0,0,0.0,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
2,8,8,720,8,7,0.87,30,23,76.7,3,3,2,3,37.5,0,0,0,0,,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
2,6,6,540,6,24,4.0,55,31,56.4,0,0,6,0,0.0,0,0,0,0,,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
