players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
19,6,3385,3106,261,64,7,19,63,103,26,11,3,0,2834,18,42,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,6,3674,3362,292,62,6,30,151,133,39,26,6,1,3047,20,44,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,6,4033,3734,291,93,15,27,154,104,40,20,15,0,3476,8,57,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,10,6096,5665,405,107,26,33,127,182,38,23,13,1,5277,26,75,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,10,5740,5301,423,103,10,54,152,184,49,21,12,0,4832,16,99,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,6,3217,2965,248,47,8,9,121,116,32,10,8,0,2714,4,56,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,10,5977,5527,423,132,15,36,194,170,53,28,21,0,5015,27,93,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,8,3805,3408,383,104,5,39,105,156,28,20,2,0,2998,14,77,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,6,2821,2519,300,96,4,33,73,96,15,5,3,0,2232,2,65,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,8,4123,3758,357,102,8,54,92,151,27,8,15,0,3388,8,71,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,8,3691,3310,364,107,6,20,107,168,26,14,9,1,2827,17,68,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,6,2478,2255,216,51,5,23,61,81,21,15,3,1,1950,7,40,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,13,6011,5410,573,165,10,62,249,213,65,21,36,0,4784,28,129,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,6,3100,2828,255,74,7,37,142,93,27,14,10,0,2553,17,50,/en/squads/e0652b02/2022-2023/Juventus-Stats
20,6,3241,3004,224,59,11,20,90,81,31,11,14,0,2663,13,53,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
25,8,4628,4241,373,89,19,40,184,168,59,12,45,0,3786,14,73,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
20,6,2698,2443,239,55,8,18,84,88,30,6,4,0,2173,16,51,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
23,13,8736,8227,494,134,22,70,240,206,78,22,25,7,7695,15,138,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
19,6,3647,3350,271,88,5,29,116,115,30,7,9,1,3072,26,53,/en/squads/5725cc7b/2022-2023/Marseille-Stats
23,12,5392,4849,524,161,14,32,169,209,36,15,18,0,4306,19,111,/en/squads/dc56fe14/2022-2023/Milan-Stats
22,10,5849,5367,463,144,33,47,168,174,58,22,20,0,4938,19,91,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
21,8,5187,4803,367,135,21,19,95,111,39,15,15,0,4570,17,74,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
24,8,3703,3292,397,121,11,18,113,168,35,19,8,0,2857,14,74,/en/squads/5e876ee6/2022-2023/Porto-Stats
22,8,4438,4088,330,83,21,28,114,144,32,7,19,0,3767,20,65,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
19,6,2223,1931,284,60,4,9,88,153,24,18,3,0,1527,8,56,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
22,6,2452,2153,284,69,3,15,84,110,20,1,14,0,1850,15,46,/en/squads/86b7acd2/2022-2023/Rangers-Stats
22,12,7601,7062,525,139,22,74,169,206,64,19,17,0,6655,14,111,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
24,6,3189,2897,284,79,7,33,91,115,17,2,12,0,2635,8,56,/en/squads/ad2be733/2022-2023/Sevilla-Stats
20,6,2927,2664,254,59,16,12,45,77,15,8,6,1,2461,9,50,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
25,6,2812,2510,298,105,4,22,61,98,20,8,9,1,2250,4,43,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
25,8,4270,3908,342,92,13,26,166,138,45,26,8,0,3459,20,72,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
22,6,1806,1534,265,67,0,13,94,88,22,8,8,0,1328,7,43,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
