players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
19,53.2,6,4006,479,1360,1802,871,138,4005,89,39,43.8,35,39.3,2570,10632,5067,80,68,20,83,52,2806,231,/en/squads/19c3f8c4/2022-2023/Ajax-Stats
22,56.5,6,4301,288,1098,2077,1153,148,4299,89,40,44.9,42,47.2,2849,13512,6392,111,104,27,86,59,3024,281,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
26,64.8,6,4658,323,977,2308,1402,194,4658,130,51,39.2,65,50.0,3126,16679,8903,167,135,36,84,63,3448,357,/en/squads/206d90db/2022-2023/Barcelona-Stats
24,56.1,10,7288,705,2305,3211,1838,294,7287,232,121,52.2,88,37.9,4893,25909,13199,249,162,64,155,114,5241,538,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
24,52.9,10,6876,588,1981,3199,1777,254,6871,201,99,49.3,85,42.3,4463,22971,11004,187,182,43,155,83,4804,449,/en/squads/a77c513e/2022-2023/Benfica-Stats
22,44.2,6,3833,317,1046,1780,1035,141,3832,76,34,44.7,30,39.5,2677,13492,6993,98,76,15,79,69,2708,300,/en/squads/b81aa4fa/2022-2023/Celtic-Stats
26,57.3,10,7105,539,1883,3368,1928,272,7103,208,89,42.8,90,43.3,5033,23433,11627,211,220,47,153,91,4985,510,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
25,45.6,8,4651,615,1704,2088,900,105,4649,153,67,43.8,68,44.4,3048,16394,6987,109,77,27,93,70,2949,238,/en/squads/f1e6c5f1/2022-2023/Club-Brugge-Stats
20,46.8,6,3485,538,1444,1430,643,78,3485,89,36,40.4,43,48.3,2216,11635,5843,107,87,15,93,69,2217,194,/en/squads/edd0d381/2022-2023/Dinamo-Zagreb-Stats
26,47.9,8,5038,598,1815,2230,1047,162,5038,160,69,43.1,74,46.3,3162,16843,8732,159,124,45,104,71,3365,299,/en/squads/add600ae/2022-2023/Dortmund-Stats
22,43.3,8,4589,441,1570,2170,891,125,4588,130,44,33.8,70,53.8,2613,13679,6578,140,104,25,120,87,2798,256,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
25,37.7,6,3102,397,1238,1273,620,97,3102,95,41,43.2,40,42.1,1371,8191,4190,73,52,21,64,36,1931,141,/en/squads/18050b20/2022-2023/FC-Copenhagen-Stats
22,45.6,13,7429,1028,2866,2971,1661,270,7428,163,78,47.9,62,38.0,4207,20379,10227,204,163,39,163,106,4747,436,/en/squads/d609edc0/2022-2023/Internazionale-Stats
26,48.3,6,3720,364,1025,1767,960,127,3720,100,42,42.0,40,40.0,2304,11852,5940,120,97,31,75,68,2538,275,/en/squads/e0652b02/2022-2023/Juventus-Stats
20,51.3,6,3907,382,1232,1865,837,135,3905,97,41,42.3,43,44.3,2046,12558,7070,138,93,42,93,49,2645,258,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
25,54.9,8,5473,397,1444,2578,1500,257,5472,148,62,41.9,68,45.9,3020,15605,7685,150,132,48,133,85,3756,399,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
20,43.3,6,3364,376,1087,1578,743,101,3363,101,43,42.6,45,44.6,2212,12095,5961,107,97,22,82,55,2159,210,/en/squads/187832f5/2022-2023/Maccabi-Haifa-Stats
23,59.8,13,9902,650,2217,4861,2903,371,9897,256,151,59.0,68,26.6,6338,33355,18299,332,263,95,135,98,7628,634,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
19,59.2,6,4280,266,918,2187,1209,111,4279,119,46,38.7,63,52.9,3299,18102,8568,129,134,19,102,60,3051,323,/en/squads/5725cc7b/2022-2023/Marseille-Stats
23,48.0,12,6736,739,2282,3104,1426,231,6733,266,115,43.2,112,42.1,3683,21372,11242,217,145,57,183,121,4253,366,/en/squads/dc56fe14/2022-2023/Milan-Stats
22,56.4,10,6947,633,2106,3408,1519,298,6939,248,114,46.0,95,38.3,4691,23225,12389,260,166,80,138,82,4908,415,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
21,56.8,8,5947,558,1832,2760,1411,210,5946,202,99,49.0,74,36.6,4836,26522,12412,184,197,55,102,91,4543,351,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
24,47.5,8,4608,613,1703,1929,1025,215,4605,145,62,42.8,65,44.8,2838,13924,7252,144,82,41,126,53,2832,248,/en/squads/5e876ee6/2022-2023/Porto-Stats
22,50.0,8,5175,543,1698,2323,1190,175,5175,112,58,51.8,39,34.8,3642,17613,8524,126,109,33,113,62,3740,335,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
19,40.0,6,3016,338,873,1411,779,108,3015,100,33,33.0,52,52.0,1681,9870,4686,86,78,20,112,63,1512,169,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
22,38.5,6,3046,455,1224,1291,561,68,3045,89,30,33.7,50,56.2,1707,8592,3860,62,51,17,82,54,1838,137,/en/squads/86b7acd2/2022-2023/Rangers-Stats
22,53.7,12,8840,845,2587,3955,2376,309,8837,270,120,44.4,113,41.9,5616,29146,14677,284,207,94,140,86,6617,492,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
24,50.7,6,3745,455,1427,1531,806,102,3745,79,34,43.0,33,41.8,2092,9099,4185,74,60,18,73,43,2611,230,/en/squads/ad2be733/2022-2023/Sevilla-Stats
20,42.3,6,3603,658,1828,1401,396,64,3603,103,32,31.1,57,55.3,2274,11751,5899,104,68,19,71,52,2444,139,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
25,45.3,6,3470,572,1549,1484,469,67,3470,108,49,45.4,47,43.5,2097,9705,4974,78,56,16,90,88,2240,138,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
25,50.6,8,5113,491,1547,2430,1175,166,5111,135,52,38.5,54,40.0,3027,16071,7784,152,114,27,113,62,3431,353,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
22,29.5,6,2475,403,1000,919,585,98,2474,70,24,34.3,37,52.9,1135,5833,2672,69,38,9,74,55,1314,125,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
