players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
20,6.0,6,55,21,38.2,9.17,3.5,0.11,0.29,17.0,1,0,1,6.2,5.4,0.1,-0.2,0.6,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,10.3,19,120,42,35.0,11.61,4.06,0.15,0.43,15.1,1,1,1,13.4,12.7,0.11,5.6,5.3,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,10.3,20,136,52,38.2,13.16,5.03,0.15,0.38,16.4,2,0,1,16.7,15.7,0.12,3.3,4.3,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,10.0,19,158,55,34.8,15.8,5.5,0.12,0.35,17.0,5,0,0,16.9,16.9,0.11,2.1,2.1,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,12.0,21,166,48,28.9,13.83,4.0,0.11,0.38,16.6,5,3,3,19.0,16.7,0.1,2.0,1.3,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,6.0,7,71,27,38.0,11.83,4.5,0.1,0.26,16.8,1,0,0,7.8,7.8,0.11,-0.8,-0.8,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,6.0,6,89,20,22.5,14.83,3.33,0.07,0.3,17.0,2,0,1,8.3,7.5,0.09,-2.3,-1.5,/en/squads/69d84c29/2023-2024/Braga-Stats
23,6.0,5,45,21,46.7,7.5,3.5,0.09,0.19,17.9,0,1,1,4.9,4.1,0.09,0.1,-0.1,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,13.0,17,170,61,35.9,13.08,4.69,0.09,0.26,17.3,3,1,1,17.2,16.4,0.1,-0.2,-0.4,/en/squads/add600ae/2023-2024/Dortmund-Stats
24,8.0,10,82,26,31.7,10.25,3.25,0.11,0.35,18.4,1,1,2,9.1,7.8,0.1,0.9,1.2,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
24,6.0,8,90,30,33.3,15.0,5.0,0.09,0.27,17.2,4,0,1,10.6,9.8,0.12,-2.6,-1.8,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
20,6.0,10,90,25,27.8,15.0,4.17,0.1,0.36,16.6,2,1,2,9.8,8.2,0.1,0.2,0.8,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
