players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
20,6.0,2106,2623,80.3,39400,14156,860,960,89.6,923,1049,88.0,267,464,57.5,4,4.0,4.2,0.0,37,145,39,8,188,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,10.3,4853,5688,85.3,77778,25361,2462,2692,91.5,1950,2157,90.4,290,532,54.5,16,10.5,10.5,5.5,99,351,83,9,449,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,10.3,5106,6091,83.8,85001,28135,2562,2781,92.1,1969,2263,87.0,437,749,58.3,11,12.0,10.3,-1.0,107,355,102,22,413,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,10.0,4822,5686,84.8,87258,27841,2078,2305,90.2,2195,2449,89.6,483,725,66.6,18,14.7,14.2,3.3,117,405,89,13,476,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,12.0,6193,7143,86.7,110977,34107,2601,2833,91.8,2939,3200,91.8,561,865,64.9,16,14.4,16.0,1.6,134,456,105,12,559,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,6.0,2390,3017,79.2,40848,15142,1132,1299,87.1,924,1111,83.2,232,398,58.3,4,5.3,6.0,-1.3,50,184,38,6,210,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,6.0,2848,3371,84.5,49659,16910,1315,1434,91.7,1168,1289,90.6,287,472,60.8,6,5.6,8.3,0.4,71,241,60,21,276,/en/squads/69d84c29/2023-2024/Braga-Stats
23,6.0,2872,3405,84.3,49021,16050,1308,1447,90.4,1325,1478,89.6,197,344,57.3,4,3.7,3.9,0.3,37,159,34,5,225,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,13.0,4890,6080,80.4,86729,33369,2236,2575,86.8,2037,2324,87.7,487,829,58.7,14,12.0,11.3,2.0,134,375,85,16,453,/en/squads/add600ae/2023-2024/Dortmund-Stats
