players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
20,24.5,43.2,6,66,540,6.0,6,4,10,6,0,1,15,2,6.2,5.4,4.0,9.5,79,188,1.0,0.67,1.67,1.0,1.67,1.03,0.67,1.7,0.91,1.58,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,25.2,56.5,10,110,930,10.3,19,16,35,18,1,1,13,0,13.4,12.7,10.5,23.1,196,449,1.84,1.55,3.39,1.74,3.29,1.3,1.01,2.32,1.23,2.24,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,29.4,49.1,10,110,930,10.3,20,11,31,20,0,1,25,1,16.7,15.7,12.0,27.7,171,413,1.94,1.06,3.0,1.94,3.0,1.61,1.16,2.77,1.52,2.68,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,26.5,54.2,10,110,900,10.0,19,18,37,19,0,0,30,2,16.9,16.9,14.7,31.6,228,476,1.9,1.8,3.7,1.9,3.7,1.69,1.47,3.16,1.69,3.16,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,27.6,54.4,12,132,1080,12.0,21,16,37,18,3,3,15,1,19.0,16.7,14.4,31.0,293,559,1.75,1.33,3.08,1.5,2.83,1.58,1.2,2.78,1.39,2.59,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,26.3,49.0,6,66,540,6.0,7,4,11,7,0,0,9,2,7.8,7.8,5.3,13.2,104,210,1.17,0.67,1.83,1.17,1.83,1.31,0.89,2.19,1.31,2.19,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,27.7,53.2,6,66,540,6.0,6,6,12,6,0,1,10,1,8.3,7.5,5.6,13.1,112,276,1.0,1.0,2.0,1.0,2.0,1.38,0.93,2.32,1.25,2.19,/en/squads/69d84c29/2023-2024/Braga-Stats
23,26.3,47.2,6,66,540,6.0,5,4,9,4,1,1,16,3,4.9,4.1,3.7,7.9,72,225,0.83,0.67,1.5,0.67,1.33,0.82,0.62,1.44,0.69,1.31,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,27.2,45.5,13,143,1170,13.0,17,14,31,16,1,1,23,0,17.2,16.4,12.0,28.4,245,453,1.31,1.08,2.38,1.23,2.31,1.32,0.92,2.25,1.26,2.19,/en/squads/add600ae/2023-2024/Dortmund-Stats
24,27.0,38.8,8,88,720,8.0,10,6,16,9,1,2,18,2,9.1,7.8,6.3,14.0,110,202,1.25,0.75,2.0,1.13,1.87,1.14,0.79,1.92,0.97,1.76,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
24,24.1,54.5,6,66,540,6.0,8,5,13,8,0,1,14,0,10.6,9.8,6.9,16.7,118,310,1.33,0.83,2.17,1.33,2.17,1.77,1.14,2.91,1.64,2.78,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
20,28.5,53.2,6,66,540,6.0,10,6,16,9,1,2,12,0,9.8,8.2,6.5,14.8,99,271,1.67,1.0,2.67,1.5,2.5,1.64,1.09,2.72,1.37,2.46,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
22,29.0,52.5,8,88,750,8.3,10,6,16,7,3,3,17,0,16.2,13.9,10.6,24.5,147,322,1.2,0.72,1.92,0.84,1.56,1.94,1.27,3.21,1.67,2.94,/en/squads/d609edc0/2023-2024/Internazionale-Stats
21,28.8,44.0,8,88,720,8.0,8,5,13,6,2,2,24,0,10.6,9.0,6.8,15.8,117,328,1.0,0.62,1.62,0.75,1.37,1.32,0.85,2.17,1.13,1.98,/en/squads/7213da33/2023-2024/Lazio-Stats
20,27.2,44.2,6,66,540,6.0,6,4,10,5,1,1,25,1,6.1,5.3,4.3,9.6,93,185,1.0,0.67,1.67,0.83,1.5,1.01,0.72,1.73,0.88,1.6,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
