players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
20,24.5,6,540,90,100,6.0,66,83,40,25,18,25,0.5,6,17,-11,-1.83,6.2,11.1,-4.9,-0.81,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,25.2,10,930,93,100,10.3,110,85,70,40,21,77,1.7,19,8,11,1.06,13.4,8.5,4.9,0.47,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,29.4,10,930,93,100,10.3,110,82,64,45,27,61,2.0,23,13,10,0.97,16.7,12.7,3.9,0.38,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,26.5,10,900,90,100,10.0,110,81,67,41,21,67,1.9,20,14,6,0.6,16.9,11.3,5.6,0.56,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,27.6,12,1080,90,100,12.0,132,85,90,41,16,67,2.0,21,13,8,0.67,19.0,15.0,4.0,0.33,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,26.3,6,540,90,100,6.0,66,79,35,29,21,37,0.67,7,11,-4,-0.67,7.8,15.9,-8.1,-1.34,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,27.7,6,540,90,100,6.0,66,82,37,28,18,44,0.67,6,12,-6,-1.0,8.3,10.0,-1.7,-0.28,/en/squads/69d84c29/2023-2024/Braga-Stats
23,26.3,6,540,90,100,6.0,66,78,39,25,27,43,0.67,5,15,-10,-1.67,4.9,11.7,-6.8,-1.13,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,27.2,13,1170,90,100,13.0,143,83,92,51,19,89,1.85,17,11,6,0.46,17.2,23.6,-6.4,-0.49,/en/squads/add600ae/2023-2024/Dortmund-Stats
24,27.0,8,720,90,100,8.0,88,83,53,34,16,56,1.0,10,14,-4,-0.5,9.1,12.8,-3.7,-0.46,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
24,24.1,6,540,90,100,6.0,66,81,39,28,22,39,1.0,9,10,-1,-0.17,10.6,8.0,2.6,0.43,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
20,28.5,6,540,90,100,6.0,66,81,36,30,20,30,0.83,10,13,-3,-0.5,9.8,10.2,-0.4,-0.07,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
22,29.0,8,750,94,100,8.3,88,83,47,41,23,47,1.88,10,7,3,0.36,16.2,8.6,7.6,0.91,/en/squads/d609edc0/2023-2024/Internazionale-Stats
21,28.8,8,720,90,100,8.0,88,79,49,39,24,45,1.63,8,10,-2,-0.25,10.6,11.7,-1.1,-0.14,/en/squads/7213da33/2023-2024/Lazio-Stats
