players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
20,6.0,99,56,49,38,12,53,118,44.9,65,82,26,56,46,145,111,5,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,10.3,142,77,34,73,35,67,150,44.7,83,100,21,79,69,211,127,1,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,10.3,142,98,83,39,20,80,175,45.7,95,154,39,115,85,227,210,4,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,10.0,161,110,61,68,32,76,156,48.7,80,118,34,84,76,237,168,5,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,12.0,195,131,100,71,24,92,212,43.4,120,144,39,105,107,302,184,3,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,6.0,129,78,70,46,13,73,145,50.3,72,74,23,51,52,181,114,2,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,6.0,109,61,52,42,15,56,112,50.0,56,65,19,46,45,154,95,1,/en/squads/69d84c29/2023-2024/Braga-Stats
23,6.0,86,49,45,31,10,50,107,46.7,57,82,30,52,45,131,124,0,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,13.0,270,156,160,93,17,155,274,56.6,119,177,50,127,116,386,295,5,/en/squads/add600ae/2023-2024/Dortmund-Stats
24,8.0,150,87,91,36,23,86,166,51.8,80,109,40,69,74,224,195,4,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
24,6.0,99,67,41,39,19,51,92,55.4,41,64,17,47,50,149,58,2,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
20,6.0,120,76,57,43,20,64,129,49.6,65,69,19,50,61,181,118,5,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
22,8.3,109,61,53,46,10,42,104,40.4,62,88,24,64,60,169,170,2,/en/squads/d609edc0/2023-2024/Internazionale-Stats
21,8.0,112,70,43,59,10,50,135,37.0,85,96,34,62,72,184,129,0,/en/squads/7213da33/2023-2024/Lazio-Stats
20,6.0,113,76,56,48,9,63,104,60.6,41,65,14,51,48,161,115,2,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
25,10.3,117,72,38,56,23,59,111,53.2,52,65,14,51,50,167,98,3,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
24,6.0,76,50,39,31,6,32,86,37.2,54,83,24,59,57,133,97,5,/en/squads/19538871/2023-2024/Manchester-United-Stats
23,6.0,106,61,54,37,15,48,91,52.7,43,65,20,45,42,148,107,1,/en/squads/dc56fe14/2023-2024/Milan-Stats
23,8.0,120,64,58,52,10,60,129,46.5,69,89,27,62,75,195,152,1,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
23,6.0,100,71,52,35,13,54,110,49.1,56,88,33,55,37,137,123,1,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
22,8.0,131,84,58,58,15,63,124,50.8,61,99,25,74,65,196,104,1,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
21,12.0,192,120,93,71,28,96,214,44.9,118,114,24,90,98,290,157,7,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
25,8.3,161,93,86,54,21,60,131,45.8,71,81,22,59,69,230,142,4,/en/squads/5e876ee6/2023-2024/Porto-Stats
23,8.0,154,91,88,47,19,80,177,45.2,97,104,31,73,75,229,136,6,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
23,6.0,119,72,64,43,12,58,128,45.3,70,98,22,76,60,179,135,1,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
23,13.3,199,118,107,68,24,81,175,46.3,94,136,52,84,95,294,220,3,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
26,8.0,143,85,62,54,27,60,117,51.3,57,88,22,66,64,207,132,1,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
22,6.0,100,47,42,38,20,49,113,43.4,64,89,45,44,50,150,123,4,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
24,6.0,114,70,55,54,5,57,115,49.6,58,64,24,40,44,158,91,0,/en/squads/ad2be733/2023-2024/Sevilla-Stats
21,6.0,111,62,63,36,12,57,130,43.8,73,66,19,47,47,158,154,6,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
21,6.0,93,49,53,32,8,40,100,40.0,60,85,41,44,36,129,156,3,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
23,6.0,95,61,44,36,15,40,114,35.1,74,110,34,76,59,154,99,2,/en/squads/4b682260/2023-2024/Young-Boys-Stats
