players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,6.0,17,1,1,2,1,12.4,0.33,-3.6,-0.59,40,111,36.0,230,30,41.7,41.7,42,35.7,33.2,68,9,13.2,3,0.5,13.8,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
2,10.3,8,1,0,1,0,7.2,0.22,-0.8,-0.08,43,109,39.4,273,47,33.3,25.2,63,28.6,28.4,99,14,14.1,16,1.55,15.0,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
1,10.3,13,0,0,2,1,11.8,0.25,-0.2,-0.02,34,99,34.3,207,46,32.9,33.5,71,43.7,36.8,140,11,7.9,3,0.29,9.9,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
2,10.0,14,1,0,1,0,13.6,0.33,-0.4,-0.04,41,89,46.1,302,36,24.8,24.3,62,22.6,28.7,109,5,4.6,14,1.4,11.7,/en/squads/206d90db/2023-2024/Barcelona-Stats
2,12.0,13,3,0,1,0,16.1,0.34,3.1,0.26,47,107,43.9,402,48,24.9,28.9,81,8.6,19.1,113,4,3.5,13,1.08,18.9,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
1,6.0,11,2,0,2,0,14.6,0.37,3.6,0.6,23,58,39.7,140,24,26.4,28.5,55,38.2,35.3,72,3,4.2,6,1.0,12.1,/en/squads/a77c513e/2023-2024/Benfica-Stats
1,6.0,12,0,0,1,2,10.6,0.33,0.6,0.1,26,71,36.6,173,27,28.9,31.0,40,52.5,37.9,82,1,1.2,9,1.5,17.5,/en/squads/69d84c29/2023-2024/Braga-Stats
1,6.0,15,0,1,2,0,13.3,0.31,-1.7,-0.28,11,30,36.7,192,36,12.0,23.8,52,13.5,22.4,84,1,1.2,1,0.17,5.9,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
2,13.0,11,2,0,1,1,17.0,0.24,7.0,0.54,70,154,45.5,392,43,28.1,29.7,120,36.7,34.5,208,8,3.8,1,0.08,8.7,/en/squads/add600ae/2023-2024/Dortmund-Stats
1,8.0,14,1,0,3,0,13.3,0.3,-0.7,-0.09,44,123,35.8,221,41,36.7,34.6,67,62.7,48.1,138,6,4.3,3,0.38,9.5,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
2,6.0,10,2,0,2,2,9.5,0.36,1.5,0.25,7,30,23.3,213,21,12.2,22.5,36,11.1,18.4,42,1,2.4,12,2.0,10.5,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
1,6.0,13,0,0,0,0,11.7,0.47,-1.3,-0.21,33,71,46.5,198,28,27.3,29.3,43,39.5,35.7,66,3,4.5,30,5.0,23.7,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
2,8.3,7,0,0,0,0,9.1,0.27,2.1,0.26,17,57,29.8,303,38,16.8,23.7,54,11.1,23.8,116,7,6.0,6,0.72,18.3,/en/squads/d609edc0/2023-2024/Internazionale-Stats
1,8.0,10,0,0,1,0,11.1,0.38,1.1,0.14,18,45,40.0,186,31,17.7,27.4,58,20.7,24.2,88,3,3.4,7,0.88,17.0,/en/squads/7213da33/2023-2024/Lazio-Stats
1,6.0,11,2,0,1,0,10.0,0.25,-1.0,-0.16,40,86,46.5,165,27,41.8,36.5,45,37.8,31.7,83,7,8.4,7,1.17,14.6,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
2,10.3,13,0,0,1,1,9.8,0.38,-2.2,-0.21,37,67,55.2,381,47,15.0,25.8,40,25.0,29.4,61,4,6.6,14,1.35,19.9,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
1,6.0,15,2,2,1,0,12.9,0.29,-2.1,-0.34,39,94,41.5,190,26,42.6,34.6,39,33.3,26.8,77,2,2.6,2,0.33,9.0,/en/squads/19538871/2023-2024/Manchester-United-Stats
