players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
20,43.2,6.0,3278,494,1266,1360,681,97,3277,105,56,53.3,41,39.0,2083,10082,4855,79,66,18,92,59,2081,186,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,56.5,10.3,6715,520,1725,3356,1691,269,6714,205,95,46.3,93,45.4,4466,23342,11399,196,143,64,172,99,4800,442,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,49.1,10.3,7187,685,2364,3224,1642,272,7186,146,67,45.9,70,47.9,4057,17966,9189,171,137,56,127,52,5079,412,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,54.2,10.0,6761,642,1849,3067,1904,290,6761,241,119,49.4,87,36.1,4343,22464,11925,228,168,74,143,90,4780,472,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,54.4,12.0,8340,795,2787,3726,1916,305,8337,251,147,58.6,88,35.1,5035,28069,15012,293,202,77,167,105,6145,553,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,49.0,6.0,3757,435,1236,1657,902,130,3756,128,60,46.9,54,42.2,2195,11675,5191,104,91,25,77,71,2377,209,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,53.2,6.0,4021,377,1101,1912,1037,162,4020,103,53,51.5,42,40.8,2590,12771,6277,112,94,24,79,53,2832,273,/en/squads/69d84c29/2023-2024/Braga-Stats
23,47.2,6.0,4078,524,1633,1776,695,74,4077,117,45,38.5,59,50.4,2438,11234,5084,72,62,10,113,53,2851,220,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,45.5,13.0,7670,997,2768,3335,1664,285,7669,244,114,46.7,109,44.7,4764,26938,12953,245,157,63,207,109,4837,449,/en/squads/add600ae/2023-2024/Dortmund-Stats
