players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
24,38.8,8.0,4370,591,1784,1628,1005,144,4368,130,64,49.2,61,46.9,2316,10923,5739,110,76,23,120,60,2661,200,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
24,54.5,6.0,4277,359,1326,1963,1023,158,4276,131,77,58.8,44,33.6,2743,12725,6814,118,87,30,96,50,3069,309,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
20,53.2,6.0,3787,327,1108,1747,979,140,3785,120,50,41.7,51,42.5,2386,12154,6245,99,97,22,106,43,2357,271,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
22,52.5,8.3,5531,674,2093,2387,1099,176,5528,128,54,42.2,57,44.5,2994,16006,8187,147,111,24,121,56,3837,320,/en/squads/d609edc0/2023-2024/Internazionale-Stats
21,44.0,8.0,5037,523,1690,2384,998,131,5035,126,65,51.6,51,40.5,2901,15020,7440,117,105,28,106,42,3570,326,/en/squads/7213da33/2023-2024/Lazio-Stats
20,44.2,6.0,3251,391,1094,1565,622,97,3250,89,32,36.0,47,52.8,2163,13031,5215,93,68,19,76,56,1990,184,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
25,69.6,10.3,8916,495,1666,4377,2930,429,8913,218,103,47.2,84,38.5,5587,32294,18072,346,265,103,116,95,7232,627,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
24,46.3,6.0,3444,391,1159,1528,801,126,3443,125,56,44.8,58,46.4,2022,11554,5556,102,74,33,86,49,2224,213,/en/squads/19538871/2023-2024/Manchester-United-Stats
23,43.7,6.0,3117,357,1019,1355,785,142,3116,141,70,49.6,51,36.2,1973,12183,6355,132,86,29,94,49,1951,202,/en/squads/dc56fe14/2023-2024/Milan-Stats
23,53.5,8.0,5420,572,1619,2569,1280,200,5419,172,79,45.9,71,41.3,3171,17012,8268,169,113,41,104,68,3770,349,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
23,45.5,6.0,3218,356,1020,1419,817,110,3218,110,29,26.4,60,54.5,1796,10738,5009,92,88,13,82,50,2005,229,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
22,51.8,8.0,4861,489,1540,2121,1242,189,4859,179,93,52.0,73,40.8,2927,16393,8639,174,115,57,140,71,3121,343,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
21,64.3,12.0,9093,713,2430,4087,2651,405,9090,311,144,46.3,143,46.0,7123,38226,18849,378,255,133,181,110,6674,664,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
25,47.9,8.3,4678,587,1670,2054,1001,199,4677,158,69,43.7,69,43.7,2994,14682,7104,132,73,33,126,50,3010,287,/en/squads/5e876ee6/2023-2024/Porto-Stats
23,46.5,8.0,4780,602,1834,1972,1022,162,4780,114,61,53.5,37,32.5,2924,14807,7644,151,111,37,107,56,3160,230,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
23,43.0,6.0,3332,458,1264,1415,704,122,3330,110,52,47.3,49,44.5,2177,12277,6316,116,80,26,86,66,1922,201,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
23,53.1,13.3,9364,899,2711,4451,2288,348,9362,275,135,49.1,113,41.1,6485,31845,16185,298,232,104,146,131,7012,554,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
26,52.3,8.0,4889,443,1285,2360,1288,194,4888,177,85,48.0,72,40.7,3166,15836,6738,141,100,54,117,81,3159,331,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
22,40.7,6.0,2954,418,1144,1164,681,135,2954,124,60,48.4,47,37.9,1441,7425,3360,90,56,33,87,53,1664,189,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
24,48.8,6.0,3367,374,1158,1572,674,94,3366,102,39,38.2,55,53.9,2054,11384,5042,79,75,15,83,47,2100,176,/en/squads/ad2be733/2023-2024/Sevilla-Stats
21,44.3,6.0,3366,517,1464,1367,564,102,3366,74,39,52.7,34,45.9,2242,10894,4994,73,55,20,84,59,2183,152,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
21,33.8,6.0,2897,429,1139,1199,588,100,2897,64,26,40.6,28,43.8,1487,7107,3951,84,46,14,71,34,1647,164,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
23,43.3,6.0,3157,412,1138,1324,736,80,3156,116,54,46.6,54,46.6,1746,8634,4305,85,73,18,83,48,1896,141,/en/squads/4b682260/2023-2024/Young-Boys-Stats
