players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
2,6,6,540,6.0,17,2.83,36,20,55.6,1,0,5,0,0.0,1,1,0,0,0.0,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
2,10,10,930,10.3,8,0.77,28,20,75.0,5,2,3,4,40.0,1,1,0,0,0.0,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
1,10,10,930,10.3,13,1.26,49,37,73.5,6,2,2,2,20.0,0,0,0,0,,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
2,10,10,900,10.0,14,1.4,41,27,68.3,6,1,3,2,20.0,1,1,0,0,0.0,/en/squads/206d90db/2023-2024/Barcelona-Stats
2,12,12,1080,12.0,13,1.08,40,27,75.0,7,3,2,4,33.3,3,3,0,0,0.0,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
1,6,6,540,6.0,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0,/en/squads/a77c513e/2023-2024/Benfica-Stats
1,6,6,540,6.0,12,2.0,32,22,62.5,1,1,4,0,0.0,0,0,0,0,,/en/squads/69d84c29/2023-2024/Braga-Stats
1,6,6,540,6.0,15,2.5,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
2,13,13,1170,13.0,11,0.85,59,48,84.7,7,3,3,6,46.2,3,2,1,0,33.3,/en/squads/add600ae/2023-2024/Dortmund-Stats
1,8,8,720,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
2,6,6,540,6.0,10,1.67,21,13,61.9,2,0,4,1,16.7,2,2,0,0,0.0,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
1,6,6,540,6.0,13,2.17,25,12,48.0,1,2,3,0,0.0,0,0,0,0,,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
2,8,8,750,8.3,7,0.84,34,27,79.4,4,3,1,4,50.0,0,0,0,0,,/en/squads/d609edc0/2023-2024/Internazionale-Stats
1,8,8,720,8.0,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,,/en/squads/7213da33/2023-2024/Lazio-Stats
1,6,6,540,6.0,11,1.83,32,21,71.9,2,2,2,0,0.0,2,2,0,0,0.0,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
2,10,10,930,10.3,13,1.26,27,15,51.9,8,2,0,1,10.0,0,0,0,0,,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
1,6,6,540,6.0,15,2.5,35,19,62.9,1,1,4,1,16.7,4,2,1,1,33.3,/en/squads/19538871/2023-2024/Manchester-United-Stats
2,6,6,540,6.0,8,1.33,27,19,74.1,2,2,2,2,33.3,1,1,0,0,0.0,/en/squads/dc56fe14/2023-2024/Milan-Stats
1,8,8,720,8.0,13,1.62,45,33,71.1,3,2,3,2,25.0,0,0,0,0,,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
2,6,6,540,6.0,7,1.17,32,25,81.3,1,2,3,1,16.7,1,1,0,0,0.0,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
1,8,8,720,8.0,13,1.62,34,21,61.8,2,4,2,1,12.5,0,0,0,0,,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
1,12,12,1080,12.0,15,1.25,52,37,71.2,5,2,5,3,25.0,0,0,0,0,,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
1,8,8,750,8.3,9,1.08,28,20,67.9,5,0,3,2,25.0,0,0,0,0,,/en/squads/5e876ee6/2023-2024/Porto-Stats
2,8,8,720,8.0,12,1.5,30,19,60.0,4,1,3,0,0.0,0,0,0,0,,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
1,6,6,540,6.0,8,1.33,33,25,81.8,1,1,4,2,33.3,2,2,0,0,0.0,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
3,13,13,1200,13.3,15,1.13,63,47,79.4,9,4,0,4,30.8,3,2,1,0,33.3,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
1,8,8,720,8.0,6,0.75,25,19,76.0,3,3,2,4,50.0,0,0,0,0,,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
1,6,6,540,6.0,15,2.5,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
2,6,6,540,6.0,12,2.0,27,16,63.0,0,2,4,0,0.0,2,2,0,0,0.0,/en/squads/ad2be733/2023-2024/Sevilla-Stats
1,6,6,540,6.0,12,2.0,37,25,67.6,3,0,3,2,33.3,1,0,0,1,,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
1,6,6,540,6.0,10,1.67,29,18,65.5,0,2,4,0,0.0,1,0,1,0,100.0,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
2,6,6,540,6.0,13,2.17,44,31,75.0,1,1,4,1,16.7,2,2,0,0,0.0,/en/squads/4b682260/2023-2024/Young-Boys-Stats
