players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
20,6.0,15,2,1,58,43,12,98,46,56,0,1,1,283,47,72,39.5,/en/squads/c2e6b53b/2023-2024/Antwerp-Stats
23,10.3,13,0,0,130,109,15,126,69,77,0,1,0,435,120,96,55.6,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
22,10.3,25,1,1,115,85,14,173,85,98,1,0,1,500,86,118,42.2,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
25,10.0,30,2,1,104,115,11,177,76,110,0,1,0,464,120,97,55.3,/en/squads/206d90db/2023-2024/Barcelona-Stats
23,12.0,15,1,0,122,121,20,166,107,131,2,3,0,570,110,105,51.2,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
22,6.0,9,2,0,49,75,9,93,52,78,0,4,0,340,75,88,46.0,/en/squads/a77c513e/2023-2024/Benfica-Stats
23,6.0,10,1,0,62,66,6,134,45,61,1,0,2,279,60,90,40.0,/en/squads/69d84c29/2023-2024/Braga-Stats
23,6.0,16,3,1,51,71,10,60,45,49,1,2,0,269,63,47,57.3,/en/squads/b81aa4fa/2023-2024/Celtic-Stats
23,13.0,23,0,0,133,117,21,191,116,156,1,3,1,669,143,119,54.6,/en/squads/add600ae/2023-2024/Dortmund-Stats
24,8.0,18,2,2,79,52,10,108,74,87,1,1,0,376,97,130,42.7,/en/squads/18050b20/2023-2024/FC-Copenhagen-Stats
24,6.0,14,0,0,73,48,13,113,50,67,1,2,2,315,44,41,51.8,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats
20,6.0,12,0,0,72,71,13,135,61,76,2,0,0,367,90,108,45.5,/en/squads/ecd11ca2/2023-2024/Galatasaray-Stats
22,8.3,17,0,0,83,115,15,159,60,61,2,0,0,411,121,97,55.5,/en/squads/d609edc0/2023-2024/Internazionale-Stats
21,8.0,24,0,0,84,92,10,105,72,70,2,0,0,365,56,59,48.7,/en/squads/7213da33/2023-2024/Lazio-Stats
20,6.0,25,1,1,75,83,18,102,48,76,1,2,0,298,82,77,51.6,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
25,10.3,10,0,0,74,125,10,161,50,72,3,0,1,431,89,62,58.9,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
24,6.0,13,2,1,65,57,7,83,57,50,0,4,0,286,81,52,60.9,/en/squads/19538871/2023-2024/Manchester-United-Stats
23,6.0,17,0,0,71,73,7,103,42,61,0,1,0,267,62,59,51.2,/en/squads/dc56fe14/2023-2024/Milan-Stats
23,8.0,14,0,0,93,97,15,152,75,64,0,0,1,374,118,112,51.3,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
23,6.0,11,0,0,66,80,6,80,37,71,0,1,0,291,60,55,52.2,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
22,8.0,13,0,0,86,81,16,156,65,84,2,0,0,437,97,113,46.2,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
21,12.0,30,0,0,134,126,32,229,98,120,1,0,0,613,101,126,44.5,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
25,8.3,15,0,0,94,117,13,93,69,93,1,0,1,381,96,94,50.5,/en/squads/5e876ee6/2023-2024/Porto-Stats
23,8.0,18,0,0,88,98,18,130,75,91,0,0,1,381,70,78,47.3,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
23,6.0,16,0,0,79,54,10,81,60,72,1,2,0,348,81,100,44.8,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
23,13.3,22,0,0,129,133,17,213,95,118,1,3,0,523,140,106,56.9,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
26,8.0,18,0,0,125,70,15,130,64,85,1,0,0,429,152,131,53.7,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
22,6.0,21,0,0,82,58,17,99,50,47,0,2,1,304,80,80,50.0,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
24,6.0,16,2,1,75,67,9,117,44,70,1,2,1,302,82,90,47.7,/en/squads/ad2be733/2023-2024/Sevilla-Stats
21,6.0,15,0,0,70,55,13,57,47,62,0,1,0,278,53,63,45.7,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
21,6.0,16,0,0,81,52,13,104,36,49,0,1,0,285,89,93,48.9,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
23,6.0,15,1,1,87,50,18,95,59,61,0,2,0,290,64,71,47.4,/en/squads/4b682260/2023-2024/Young-Boys-Stats
