players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
3,6,6,540,6,17,2.83,40,23,60.0,0,2,4,0,0.0,1,1,0,0,0.0,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
2,6,6,540,6,17,2.83,41,23,61.0,1,0,5,1,16.7,1,1,0,0,0.0,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
1,6,6,540,6,4,0.67,17,14,76.5,1,4,1,3,50.0,0,0,0,0,,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
2,10,10,900,10,6,0.6,31,25,83.9,6,3,1,6,60.0,1,1,0,0,0.0,/en/squads/206d90db/2017-2018/Barcelona-Stats
1,8,8,720,8,10,1.25,27,17,63.0,5,0,3,4,50.0,0,0,0,0,,/en/squads/d3d9424a/2017-2018/Basel-Stats
2,12,12,1080,12,12,1.0,43,31,72.1,8,2,2,4,33.3,0,0,0,0,,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
3,6,6,540,6,14,2.33,31,18,64.5,0,0,6,0,0.0,4,3,1,0,25.0,/en/squads/a77c513e/2017-2018/Benfica-Stats
1,8,8,540,8,13,2.17,48,37,72.9,4,2,2,1,12.5,0,0,0,0,,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
1,6,6,540,6,10,1.67,37,27,75.7,3,0,3,1,16.7,1,1,0,0,0.0,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
1,6,6,540,6,18,3.0,39,23,56.4,1,0,5,1,16.7,1,1,0,0,0.0,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
1,8,8,720,8,12,1.5,32,20,65.6,3,3,2,2,25.0,1,1,0,0,0.0,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
1,6,6,540,6,13,2.17,36,23,63.9,0,2,4,0,0.0,0,0,0,0,,/en/squads/add600ae/2017-2018/Dortmund-Stats
2,6,6,540,6,14,2.33,28,14,50.0,1,0,5,0,0.0,0,0,0,0,,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
2,10,10,900,10,12,1.2,37,26,70.3,5,3,2,3,30.0,1,1,0,0,0.0,/en/squads/e0652b02/2017-2018/Juventus-Stats
1,13,13,1170,13,16,1.23,42,27,69.0,7,4,2,6,46.2,3,3,0,0,0.0,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2,10,10,900,10,12,1.2,36,23,72.2,6,0,4,4,40.0,3,2,1,0,33.3,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2,8,8,720,8,5,0.62,36,31,86.1,5,1,2,4,50.0,0,0,0,0,,/en/squads/19538871/2017-2018/Manchester-United-Stats
2,6,6,540,6,16,2.67,27,12,48.1,0,2,4,0,0.0,2,2,0,0,0.0,/en/squads/fd6114db/2017-2018/Monaco-Stats
1,6,6,540,6,16,2.67,47,30,68.1,0,3,3,0,0.0,2,1,1,0,50.0,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
1,6,6,540,6,11,1.83,29,17,62.1,2,0,4,1,16.7,1,0,1,0,100.0,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
2,6,6,540,6,13,2.17,39,27,66.7,0,1,5,1,16.7,0,0,0,0,,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
1,8,8,720,8,9,1.13,37,28,78.4,5,0,3,4,50.0,1,1,0,0,0.0,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
2,8,8,720,8,15,1.87,35,20,60.0,3,2,3,2,25.0,1,1,0,0,0.0,/en/squads/5e876ee6/2017-2018/Porto-Stats
1,6,6,540,6,14,2.33,47,34,74.5,0,2,4,1,16.7,2,2,0,0,0.0,/en/squads/44b65410/2017-2018/Qarabag-Stats
1,6,6,540,6,11,1.83,27,16,63.0,2,1,3,0,0.0,1,1,0,0,0.0,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
2,13,13,1170,13,16,1.23,53,38,69.8,9,2,2,3,23.1,0,0,0,0,,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
1,12,12,1080,12,19,1.58,63,46,69.8,6,2,4,5,41.7,0,0,0,0,,/en/squads/cf74a709/2017-2018/Roma-Stats
2,10,10,900,10,15,1.5,41,27,63.4,3,5,2,3,30.0,1,0,0,1,,/en/squads/ad2be733/2017-2018/Sevilla-Stats
1,8,8,720,8,11,1.37,44,32,79.5,5,0,3,0,0.0,3,2,1,0,33.3,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
2,6,6,540,6,13,2.17,36,23,66.7,1,3,2,0,0.0,1,1,0,0,0.0,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
1,6,6,540,6,9,1.5,28,21,67.9,2,1,3,0,0.0,0,0,0,0,,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
2,8,8,720,8,8,1.0,33,25,81.8,5,2,1,2,25.0,3,2,0,1,0.0,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
