round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,1,Tue,2017-09-12,20:45,Barcelona,0.9,3–0,0.7,Juventus,78656,Camp Nou,Damir Skomina,/en/matches/9badc434/Barcelona-Juventus-September-12-2017-Champions-League,,9badc434
Group stage,1,Tue,2017-09-12,20:45,Bayern Munich,4.2,3–0,0.8,Anderlecht,70000,Allianz Arena,Paolo Tagliavento,/en/matches/be4af035/Bayern-Munich-Anderlecht-September-12-2017-Champions-League,,be4af035
Group stage,1,Tue,2017-09-12,19:45,Benfica,2.1,1–2,1.6,CSKA Moscow,38323,Estádio do Sport Lisboa e Benfica,Alberto Undiano,/en/matches/cbbb5b20/Benfica-CSKA-Moscow-September-12-2017-Champions-League,,cbbb5b20
Group stage,1,Tue,2017-09-12,19:45,Celtic,0.4,0–5,2.5,Paris S-G,57562,Celtic Park,Daniele Orsato,/en/matches/855684cf/Celtic-Paris-Saint-Germain-September-12-2017-Champions-League,,855684cf
Group stage,1,Tue,2017-09-12,19:45,Chelsea,2.0,6–0,0.3,Qarabağ,41150,Stamford Bridge,Tasos Sidiropoulos,/en/matches/0f310e33/Chelsea-Qarabag-September-12-2017-Champions-League,,0f310e33
Group stage,1,Tue,2017-09-12,19:45,Manchester Utd,3.4,3–0,0.6,Basel,73854,Old Trafford,Ruddy Buquet,/en/matches/a27a806e/Manchester-United-Basel-September-12-2017-Champions-League,,a27a806e
Group stage,1,Tue,2017-09-12,21:45,Olympiacos,1.1,2–3,2.6,Sporting CP,30168,Stadio Georgios Karaiskáki,Viktor Kassai,/en/matches/b5bad8aa/Olympiacos-Sporting-CP-September-12-2017-Champions-League,,b5bad8aa
Group stage,1,Tue,2017-09-12,20:45,Roma,0.5,0–0,2.4,Atlético Madrid,36064,Stadio Olimpico,Milorad Mažić,/en/matches/4414b952/Roma-Atletico-Madrid-September-12-2017-Champions-League,,4414b952
Group stage,1,Wed,2017-09-13,20:45,Feyenoord,0.3,0–4,1.3,Manchester City,43500,Stadion Feijenoord,Szymon Marciniak,/en/matches/7bff5ce6/Feyenoord-Manchester-City-September-13-2017-Champions-League,,7bff5ce6
Group stage,1,Wed,2017-09-13,19:45,Liverpool,2.4,2–2,1.2,Sevilla,52332,Anfield,Danny Makkelie,/en/matches/9528d840/Liverpool-Sevilla-September-13-2017-Champions-League,,9528d840
Group stage,1,Wed,2017-09-13,20:45,NK Maribor,1.1,1–1,1.8,Spartak Moscow,12566,Ljudski vrt,Deniz Aytekin,/en/matches/6f1c5701/NK-Maribor-Spartak-Moscow-September-13-2017-Champions-League,,6f1c5701
Group stage,1,Wed,2017-09-13,19:45,Porto,1.5,1–3,0.9,Beşiktaş,42429,Estádio Do Dragão,Anthony Taylor,/en/matches/48b4bd06/Porto-Besiktas-September-13-2017-Champions-League,,48b4bd06
Group stage,1,Wed,2017-09-13,20:45,RB Leipzig,0.9,1–1,1.1,Monaco,40068,Red Bull Arena,Michael Oliver,/en/matches/8b5cb1bc/RB-Leipzig-Monaco-September-13-2017-Champions-League,,8b5cb1bc
Group stage,1,Wed,2017-09-13,20:45,Real Madrid,3.9,3–0,0.2,APOEL FC,71060,Estadio Santiago Bernabéu,Benoît Bastien,/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League,,fd3ebb28
Group stage,1,Wed,2017-09-13,21:45,Shakhtar,1.4,2–1,1.9,Napoli,32679,L'viv Arena,Felix Zwayer,/en/matches/0159736c/Shakhtar-Donetsk-Napoli-September-13-2017-Champions-League,,0159736c
Group stage,1,Wed,2017-09-13,19:45,Tottenham,1.2,3–1,0.8,Dortmund,67343,Wembley Stadium,Gianluca Rocchi,/en/matches/ab1ad65c/Tottenham-Hotspur-Dortmund-September-13-2017-Champions-League,,ab1ad65c
Group stage,2,Tue,2017-09-26,21:45,APOEL FC,1.0,0–3,1.8,Tottenham,16324,Neo GSP,Pavel Královec,/en/matches/e0532f21/APOEL-FC-Tottenham-Hotspur-September-26-2017-Champions-League,,e0532f21
Group stage,2,Tue,2017-09-26,21:45,Beşiktaş,1.0,2–0,1.1,RB Leipzig,36641,Vodafone Arena,Sergey Karasev,/en/matches/99045b59/Besiktas-RB-Leipzig-September-26-2017-Champions-League,,99045b59
Group stage,2,Tue,2017-09-26,20:45,Dortmund,1.2,1–3,3.2,Real Madrid,65849,Signal Iduna Park,Björn Kuipers,/en/matches/2c58d390/Dortmund-Real-Madrid-September-26-2017-Champions-League,,2c58d390
Group stage,2,Tue,2017-09-26,19:45,Manchester City,3.2,2–0,0.5,Shakhtar,45310,Academy Stadium,Jorge de Sousa,/en/matches/a9d00ea8/Manchester-City-Shakhtar-Donetsk-September-26-2017-Champions-League,,a9d00ea8
Group stage,2,Tue,2017-09-26,20:45,Monaco,0.6,0–3,2.9,Porto,11703,Stade Louis II,Slavko Vinčić,/en/matches/47ab800e/Monaco-Porto-September-26-2017-Champions-League,,47ab800e
Group stage,2,Tue,2017-09-26,20:45,Napoli,0.9,3–1,1.6,Feyenoord,22577,Stadio San Paolo,William Collum,/en/matches/68d31e1c/Napoli-Feyenoord-September-26-2017-Champions-League,,68d31e1c
Group stage,2,Tue,2017-09-26,20:45,Sevilla,3.9,3–0,0.4,NK Maribor,34705,Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakov,/en/matches/27a54c3e/Sevilla-NK-Maribor-September-26-2017-Champions-League,,27a54c3e
Group stage,2,Tue,2017-09-26,21:45,Spartak Moscow,0.2,1–1,2.8,Liverpool,43376,Otkrytie Arena,Clément Turpin,/en/matches/40930cdb/Spartak-Moscow-Liverpool-September-26-2017-Champions-League,,40930cdb
Group stage,2,Wed,2017-09-27,20:45,Anderlecht,0.6,0–3,1.2,Celtic,19898,Stade Constant Vanden Stock,Jesús Gil,/en/matches/d4759e88/Anderlecht-Celtic-September-27-2017-Champions-League,,d4759e88
Group stage,2,Wed,2017-09-27,20:45,Atlético Madrid,1.4,1–2,2.5,Chelsea,60643,Estadio Wanda Metropolitano,Cüneyt Çakιr,/en/matches/1df64d2e/Atletico-Madrid-Chelsea-September-27-2017-Champions-League,,1df64d2e
Group stage,2,Wed,2017-09-27,20:45,Basel,3.2,5–0,0.4,Benfica,34111,St. Jakob-Park,Craig Thomson,/en/matches/8985adaa/Basel-Benfica-September-27-2017-Champions-League,,8985adaa
Group stage,2,Wed,2017-09-27,20:45,Juventus,2.3,2–0,0.5,Olympiacos,33460,Allianz Stadium,Tobias Stieler,/en/matches/2665036e/Juventus-Olympiacos-September-27-2017-Champions-League,,2665036e
Group stage,2,Wed,2017-09-27,20:45,Paris S-G,2.0,3–0,1.0,Bayern Munich,46252,Parc des Princes,Antonio Matéu Lahoz,/en/matches/af194ea3/Paris-Saint-Germain-Bayern-Munich-September-27-2017-Champions-League,,af194ea3
Group stage,2,Wed,2017-09-27,20:00,Qarabağ,0.9,1–2,1.9,Roma,67200,Bakı Olimpiya Stadionu,Artur Soares Dias,/en/matches/e5d01fff/Qarabag-Roma-September-27-2017-Champions-League,,e5d01fff
Group stage,2,Wed,2017-09-27,19:45,Sporting CP,0.7,0–1,0.9,Barcelona,48575,Estádio José Alvalade,Ovidiu Hațegan,/en/matches/14e9aad9/Sporting-CP-Barcelona-September-27-2017-Champions-League,,14e9aad9
Group stage,2,Thu,2017-09-28,00:45,CSKA Moscow,0.6,1–4,4.3,Manchester Utd,29073,Stadion CSKA,Jonas Eriksson,/en/matches/f6e20683/CSKA-Moscow-Manchester-United-September-28-2017-Champions-League,,f6e20683
Group stage,3,Tue,2017-10-17,21:45,APOEL FC,1.0,1–1,2.1,Dortmund,15604,Neo GSP,Aliaksei Kulbakov,/en/matches/d541dc1c/APOEL-FC-Dortmund-October-17-2017-Champions-League,,d541dc1c
Group stage,3,Tue,2017-10-17,20:45,Feyenoord,1.6,1–2,1.3,Shakhtar,43500,Stadion Feijenoord,Alberto Undiano,/en/matches/27bb60f5/Feyenoord-Shakhtar-Donetsk-October-17-2017-Champions-League,,27bb60f5
Group stage,3,Tue,2017-10-17,19:45,Manchester City,2.7,2–1,2.2,Napoli,48520,Etihad Stadium,Antonio Matéu Lahoz,/en/matches/81806683/Manchester-City-Napoli-October-17-2017-Champions-League,,81806683
Group stage,3,Tue,2017-10-17,20:45,Monaco,0.7,1–2,1.2,Beşiktaş,7403,Stade Louis II,Milorad Mažić,/en/matches/2f23aaa2/Monaco-Besiktas-October-17-2017-Champions-League,,2f23aaa2
Group stage,3,Tue,2017-10-17,20:45,NK Maribor,0.4,0–7,4.6,Liverpool,12506,Ljudski vrt,Viktor Kassai,/en/matches/d40c6462/NK-Maribor-Liverpool-October-17-2017-Champions-League,,d40c6462
Group stage,3,Tue,2017-10-17,20:45,RB Leipzig,2.5,3–2,1.1,Porto,41496,Red Bull Arena,Paolo Tagliavento,/en/matches/8ed0b9c6/RB-Leipzig-Porto-October-17-2017-Champions-League,,8ed0b9c6
Group stage,3,Tue,2017-10-17,20:45,Real Madrid,2.9,1–1,0.9,Tottenham,76589,Estadio Santiago Bernabéu,Szymon Marciniak,/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,,971e1bcb
