players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
21,6,13,,0,63,67,20,62,104,63,0,1,0,274,67,73,47.9,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,6,6,,0,69,58,17,86,88,69,0,1,0,377,74,83,47.1,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,6,7,,1,79,70,20,117,90,80,1,0,1,347,84,86,49.4,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,10,19,,1,103,136,28,104,108,115,0,1,0,568,86,84,50.6,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,8,14,,0,99,80,26,88,131,81,1,0,0,466,89,120,42.6,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,12,23,,0,139,130,26,363,137,138,1,0,0,710,175,148,54.2,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,6,13,,1,65,82,7,138,77,60,0,4,2,343,65,85,43.3,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,8,20,,0,101,117,16,130,140,101,2,0,2,463,113,119,48.7,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,6,13,,0,79,62,10,59,89,58,0,1,0,408,114,95,54.5,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,6,6,,0,50,49,11,52,102,72,0,1,2,317,36,60,37.5,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,8,10,,0,95,72,23,104,111,97,2,1,0,431,70,82,46.1,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,6,10,,0,53,61,12,124,78,68,0,0,0,296,68,69,49.6,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,6,17,,1,90,70,12,79,100,80,1,0,0,321,49,74,39.8,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,10,27,,1,143,131,20,160,110,103,2,1,1,526,126,112,52.9,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,13,22,,1,157,108,30,225,155,143,3,3,1,756,216,236,47.8,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,10,19,,0,92,90,38,172,129,102,2,3,0,614,116,92,55.8,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,8,10,,0,97,82,16,139,98,87,2,0,0,476,132,97,57.6,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,6,14,,0,87,76,14,119,72,66,0,2,1,373,117,101,53.7,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,6,9,,0,61,58,8,51,70,68,0,2,0,297,44,82,34.9,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,6,13,,0,70,74,27,105,81,59,4,1,0,351,52,38,57.8,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,6,15,,0,88,70,11,83,89,66,0,0,1,275,40,54,42.6,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,8,13,,1,82,91,22,106,83,81,1,1,0,460,77,64,54.6,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,8,14,,0,111,95,10,118,120,117,0,1,0,445,126,125,50.2,/en/squads/5e876ee6/2017-2018/Porto-Stats
20,6,14,,1,73,59,14,39,78,93,0,2,1,294,60,78,43.5,/en/squads/44b65410/2017-2018/Qarabag-Stats
19,6,11,,1,88,82,27,89,76,90,1,1,0,403,86,102,45.7,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
23,13,21,,0,129,149,51,282,149,152,3,0,1,702,131,135,49.2,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
20,12,17,,1,114,132,23,253,140,134,1,0,2,646,186,116,61.6,/en/squads/cf74a709/2017-2018/Roma-Stats
22,10,19,,0,99,118,27,193,119,102,2,1,1,584,142,159,47.2,/en/squads/ad2be733/2017-2018/Sevilla-Stats
20,8,17,,1,85,97,15,88,103,84,0,3,0,371,62,68,47.7,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
20,6,12,,0,66,63,10,77,91,66,0,1,0,324,78,60,56.5,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
21,6,19,,0,95,80,12,74,83,75,0,0,2,318,85,75,53.1,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
26,8,13,,1,116,76,13,140,92,85,0,3,0,400,97,91,51.6,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
