players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
21,29.7,31.7,6,66,540,6,2,1,3,2,0,0,13,,3.9,3.9,2.9,6.8,63,126,0.33,0.17,0.5,0.33,0.5,0.65,0.48,1.13,0.65,1.13,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,26.1,42.5,6,66,540,6,1,1,2,1,0,0,6,,5.4,5.4,4.2,9.6,88,244,0.17,0.17,0.33,0.17,0.33,0.89,0.7,1.6,0.89,1.6,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,27.0,51.8,6,66,540,6,5,4,9,4,1,1,7,,11.3,10.5,8.2,18.7,158,295,0.83,0.67,1.5,0.67,1.33,1.88,1.36,3.24,1.76,3.11,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,27.8,64.2,10,110,900,10,12,11,23,12,0,0,19,,13.7,13.7,9.1,22.8,198,512,1.2,1.1,2.3,1.2,2.3,1.37,0.91,2.28,1.37,2.28,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,25.4,35.9,8,88,720,8,13,6,19,12,1,1,14,,10.4,9.6,6.6,16.2,126,198,1.62,0.75,2.37,1.5,2.25,1.3,0.82,2.12,1.2,2.02,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,27.5,58.8,12,132,1080,12,24,17,41,23,1,1,23,,27.4,26.6,20.7,47.3,329,728,2.0,1.42,3.42,1.92,3.33,2.29,1.72,4.01,2.22,3.94,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,26.8,56.8,6,66,540,6,1,1,2,1,0,0,13,,6.2,6.2,4.9,11.1,137,250,0.17,0.17,0.33,0.17,0.33,1.04,0.81,1.85,1.04,1.85,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,30.2,47.8,8,88,720,8,12,8,20,10,2,2,20,,8.6,7.0,6.1,13.1,135,262,1.5,1.0,2.5,1.25,2.25,1.08,0.76,1.84,0.88,1.64,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,28.1,43.5,6,66,540,6,7,4,11,6,1,1,13,,5.7,5.1,3.3,8.4,101,201,1.17,0.67,1.83,1.0,1.67,0.96,0.55,1.51,0.85,1.4,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,26.1,43.0,6,66,540,6,5,4,9,5,0,0,6,,4.7,4.7,4.4,9.1,112,159,0.83,0.67,1.5,0.83,1.5,0.79,0.73,1.52,0.79,1.52,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,26.9,45.9,8,88,720,8,15,9,24,13,2,2,10,,15.5,13.9,12.1,26.1,178,343,1.87,1.13,3.0,1.62,2.75,1.94,1.52,3.45,1.74,3.26,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,26.2,58.3,6,66,540,6,7,6,13,7,0,0,10,,9.6,9.6,7.7,17.3,133,316,1.17,1.0,2.17,1.17,2.17,1.6,1.29,2.88,1.6,2.88,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,25.1,39.0,6,66,540,6,5,4,9,5,0,1,17,,5.4,4.6,3.4,8.0,81,140,0.83,0.67,1.5,0.83,1.5,0.9,0.57,1.46,0.76,1.33,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,29.5,49.4,10,110,900,10,14,9,23,13,1,2,27,,16.9,15.3,11.5,26.8,191,400,1.4,0.9,2.3,1.3,2.2,1.69,1.15,2.84,1.53,2.68,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,25.6,50.0,13,143,1170,13,41,35,76,40,1,3,22,,33.0,30.6,25.4,56.0,280,612,3.15,2.69,5.85,3.08,5.77,2.53,1.96,4.49,2.35,4.31,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,25.9,65.8,10,110,900,10,20,16,36,19,1,2,19,,15.7,14.2,12.0,26.2,296,568,2.0,1.6,3.6,1.9,3.5,1.57,1.2,2.77,1.42,2.62,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,26.5,56.9,8,88,720,8,12,7,19,10,2,3,10,,18.0,15.6,12.0,27.6,190,346,1.5,0.87,2.37,1.25,2.12,2.25,1.5,3.75,1.95,3.45,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,26.0,47.2,6,66,540,6,6,4,10,5,1,1,14,,5.9,5.2,4.4,9.5,89,277,1.0,0.67,1.67,0.83,1.5,0.99,0.73,1.71,0.86,1.59,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,28.5,33.8,6,66,540,6,3,3,6,3,0,0,9,,4.1,4.1,3.9,8.0,94,150,0.5,0.5,1.0,0.5,1.0,0.69,0.65,1.34,0.69,1.34,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,27.9,54.7,6,66,540,6,11,6,17,8,3,4,13,,10.1,6.9,4.4,11.3,129,318,1.83,1.0,2.83,1.33,2.33,1.68,0.73,2.41,1.16,1.89,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,26.9,36.8,6,66,540,6,4,3,7,4,0,0,15,,3.4,3.4,2.9,6.3,85,168,0.67,0.5,1.17,0.67,1.17,0.57,0.48,1.05,0.57,1.05,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,26.2,53.3,8,88,720,8,26,18,44,25,1,1,13,,17.2,16.4,11.8,28.3,210,366,3.25,2.25,5.5,3.12,5.37,2.15,1.48,3.63,2.06,3.53,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,26.6,45.1,8,88,720,8,14,13,27,14,0,0,14,,10.9,10.9,8.0,19.0,159,277,1.75,1.62,3.38,1.75,3.38,1.37,1.01,2.37,1.37,2.37,/en/squads/5e876ee6/2017-2018/Porto-Stats
