players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
21,6,95,63,61,29,5,38,115,33.0,77,85,36,49,104,199,179,6,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,6,100,69,48,46,6,47,125,37.6,78,73,20,53,88,188,99,9,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,6,118,80,59,45,14,48,129,37.2,81,72,17,55,90,208,93,3,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,10,163,115,72,64,27,55,174,31.6,119,93,27,66,108,271,132,3,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,8,124,81,65,47,12,53,147,36.1,94,96,32,64,131,255,214,1,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,12,202,138,85,82,35,74,203,36.5,129,119,27,92,137,339,157,6,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,6,92,60,40,46,6,43,98,43.9,55,67,12,55,77,169,82,5,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,8,155,101,74,75,6,62,179,34.6,117,87,31,56,140,295,219,5,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,6,96,58,50,38,8,39,144,27.1,105,74,20,54,89,185,189,3,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,6,118,72,53,58,7,44,120,36.7,76,63,13,50,102,220,153,5,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,8,130,97,62,49,19,45,129,34.9,84,69,12,57,111,241,119,4,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,6,106,68,48,37,21,32,94,34.0,62,56,16,40,78,184,112,3,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,6,114,80,64,42,8,22,78,28.2,56,87,15,72,100,214,113,4,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,10,163,103,83,57,23,53,165,32.1,112,90,22,68,110,273,213,5,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,13,233,143,109,98,26,78,234,33.3,156,154,40,114,155,388,304,8,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,10,158,102,64,74,20,63,194,32.5,131,94,21,73,129,287,181,6,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,8,144,87,60,70,14,36,106,34.0,70,89,26,63,98,242,151,3,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,6,117,66,50,57,10,42,91,46.2,49,66,16,50,72,189,123,2,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,6,108,68,70,36,2,44,131,33.6,87,69,29,40,70,178,206,11,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,6,92,59,41,40,11,28,117,23.9,89,61,18,43,81,173,83,4,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,6,97,66,52,41,4,28,89,31.5,61,69,27,42,89,186,155,3,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,8,127,81,63,44,20,42,115,36.5,73,94,21,73,83,210,159,3,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,8,165,117,88,68,9,47,136,34.6,89,84,26,58,120,285,175,3,/en/squads/5e876ee6/2017-2018/Porto-Stats
20,6,123,93,76,41,6,46,114,40.4,68,60,28,32,78,201,144,1,/en/squads/44b65410/2017-2018/Qarabag-Stats
19,6,119,90,47,61,11,42,109,38.5,67,58,10,48,76,195,139,2,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
23,13,235,152,114,92,29,94,250,37.6,156,157,54,103,149,384,248,4,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
20,12,206,134,99,83,24,79,217,36.4,138,134,45,89,140,346,217,9,/en/squads/cf74a709/2017-2018/Roma-Stats
22,10,170,102,73,71,26,68,193,35.2,125,95,28,67,119,289,202,1,/en/squads/ad2be733/2017-2018/Sevilla-Stats
20,8,128,84,70,46,12,42,131,32.1,89,90,24,66,103,231,171,4,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
20,6,106,66,51,45,10,46,114,40.4,68,72,24,48,91,197,162,2,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
21,6,111,75,52,51,8,44,95,46.3,51,74,25,49,83,194,112,2,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
26,8,125,85,52,55,18,51,128,39.8,77,76,22,54,92,217,188,1,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
