players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
21,6,2,50,13,26.0,8.33,2.17,0.04,0.15,19.1,2,0,0,3.9,3.9,0.08,-1.9,-1.9,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,6,1,58,21,36.2,9.67,3.5,0.02,0.05,19.0,4,0,0,5.4,5.4,0.09,-4.4,-4.4,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,6,5,105,33,31.4,17.5,5.5,0.04,0.12,19.1,3,1,1,11.3,10.5,0.1,-6.3,-6.5,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,10,12,129,53,41.1,12.9,5.3,0.09,0.23,18.4,14,0,0,13.7,13.7,0.11,-1.7,-1.7,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,8,13,82,35,42.7,10.25,4.37,0.15,0.34,18.3,8,1,1,10.4,9.6,0.12,2.6,2.4,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,12,24,225,82,36.4,18.75,6.83,0.1,0.28,16.2,12,1,1,27.4,26.6,0.12,-3.4,-3.6,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,6,1,88,17,19.3,14.67,2.83,0.01,0.06,20.5,3,0,0,6.2,6.2,0.07,-5.2,-5.2,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,8,12,80,34,42.5,10.0,4.25,0.13,0.29,19.1,4,2,2,8.6,7.0,0.09,3.4,3.0,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,6,7,71,22,31.0,11.83,3.67,0.08,0.27,19.6,2,1,1,5.7,5.1,0.07,1.3,0.9,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,6,5,53,21,39.6,8.83,3.5,0.09,0.24,19.1,2,0,0,4.7,4.7,0.09,0.3,0.3,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,8,15,123,41,33.3,15.37,5.12,0.11,0.32,17.8,3,2,2,15.5,13.9,0.12,-0.5,-0.9,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,6,7,86,23,26.7,14.33,3.83,0.08,0.3,17.5,4,0,0,9.6,9.6,0.12,-2.6,-2.6,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,6,5,54,23,42.6,9.0,3.83,0.09,0.22,20.5,3,0,1,5.4,4.6,0.09,-0.4,0.4,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,10,14,125,48,38.4,12.5,4.8,0.1,0.27,17.2,7,1,2,16.9,15.3,0.13,-2.9,-2.3,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,13,41,201,87,43.3,15.46,6.69,0.2,0.46,16.1,4,1,3,33.0,30.6,0.16,8.0,9.4,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,10,20,133,43,32.3,13.3,4.3,0.14,0.44,17.9,4,1,2,15.7,14.2,0.11,4.3,4.8,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,8,12,109,38,34.9,13.62,4.75,0.09,0.26,17.8,11,2,3,18.0,15.6,0.15,-6.0,-5.6,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,6,6,67,21,31.3,11.17,3.5,0.07,0.24,18.6,2,1,1,5.9,5.2,0.09,0.1,-0.2,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,6,3,62,16,25.8,10.33,2.67,0.05,0.19,21.5,1,0,0,4.1,4.1,0.07,-1.1,-1.1,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,6,11,69,27,39.1,11.5,4.5,0.12,0.3,20.0,3,3,4,10.1,6.9,0.1,0.9,1.1,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,6,4,46,13,28.3,7.67,2.17,0.09,0.31,19.9,2,0,0,3.4,3.4,0.08,0.6,0.6,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,8,26,121,52,43.0,15.12,6.5,0.21,0.48,17.0,7,1,1,17.2,16.4,0.14,8.8,8.6,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,8,14,101,33,32.7,12.62,4.12,0.14,0.42,17.6,2,0,0,10.9,10.9,0.12,3.1,3.1,/en/squads/5e876ee6/2017-2018/Porto-Stats
20,6,2,38,10,26.3,6.33,1.67,0.05,0.2,22.1,3,0,0,2.4,2.4,0.06,-0.4,-0.4,/en/squads/44b65410/2017-2018/Qarabag-Stats
19,6,9,90,27,30.0,15.0,4.5,0.09,0.3,19.7,3,1,1,9.6,8.8,0.1,-0.6,-0.8,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
23,13,33,221,85,38.5,17.0,6.54,0.13,0.34,16.5,4,4,4,33.0,29.9,0.14,0.0,-0.9,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
20,12,20,171,61,35.7,14.25,5.08,0.1,0.28,18.4,8,3,3,19.1,16.7,0.1,0.9,0.3,/en/squads/cf74a709/2017-2018/Roma-Stats
22,10,15,157,52,33.1,15.7,5.2,0.08,0.25,17.9,2,2,2,16.1,14.5,0.09,-1.1,-1.5,/en/squads/ad2be733/2017-2018/Sevilla-Stats
20,8,11,86,33,38.4,10.75,4.12,0.13,0.33,17.7,3,0,0,9.9,9.9,0.12,1.1,1.1,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
20,6,9,76,24,31.6,12.67,4.0,0.12,0.38,19.9,5,0,0,6.8,6.8,0.09,2.2,2.2,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
21,6,7,57,20,35.1,9.5,3.33,0.12,0.35,19.1,3,0,0,7.3,7.3,0.13,-0.3,-0.3,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
