players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
1,6,11,0,0,3,0,9.1,0.28,-1.9,-0.31,24,46,52.2,153,36,21.6,27.1,33,39.4,37.5,48,0,0.0,3,0.5,10.7,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
2,6,13,0,1,1,1,13.3,0.36,1.3,0.22,33,97,34.0,117,17,54.7,44.4,50,66.0,50.9,90,5,5.6,2,0.33,10.3,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
1,8,9,1,0,1,0,9.0,0.23,0.0,0.0,25,54,46.3,135,36,17.8,25.9,66,45.5,38.7,127,10,7.9,11,1.38,13.7,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
2,8,15,1,0,1,0,12.7,0.35,-2.3,-0.28,36,120,30.0,214,38,35.0,30.8,62,72.6,52.6,105,6,5.7,4,0.5,16.7,/en/squads/5e876ee6/2017-2018/Porto-Stats
1,6,14,2,0,3,1,13.9,0.26,0.9,0.15,39,145,26.9,170,29,54.1,40.5,61,86.9,57.6,103,9,8.7,2,0.33,8.7,/en/squads/44b65410/2017-2018/Qarabag-Stats
1,6,11,1,0,3,0,7.8,0.28,-3.2,-0.54,35,90,38.9,174,32,35.1,34.0,41,70.7,51.1,81,2,2.5,7,1.17,15.2,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
2,13,16,0,0,2,1,18.5,0.35,3.5,0.27,41,117,35.0,236,66,32.6,35.5,70,57.1,47.2,184,8,4.3,7,0.54,11.1,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
1,12,19,0,1,2,2,18.8,0.31,1.8,0.15,65,121,53.7,324,66,26.2,31.2,79,45.6,41.2,115,4,3.5,25,2.08,19.6,/en/squads/cf74a709/2017-2018/Roma-Stats
2,10,15,0,0,3,1,12.1,0.33,-1.9,-0.19,51,113,45.1,176,46,35.8,33.8,79,63.3,45.4,111,4,3.6,8,0.8,16.1,/en/squads/ad2be733/2017-2018/Sevilla-Stats
1,8,11,2,0,1,0,14.9,0.28,3.9,0.49,85,186,45.7,374,58,41.2,36.2,63,50.8,42.5,127,10,7.9,6,0.75,13.5,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
2,6,13,1,0,2,0,13.0,0.34,0.0,0.01,44,92,47.8,120,34,46.7,39.6,57,63.2,49.6,86,6,7.0,2,0.33,12.7,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
1,6,9,0,1,1,2,7.9,0.28,0.9,0.14,48,122,39.3,156,16,58.3,39.9,42,73.8,49.6,72,3,4.2,4,0.67,10.3,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
2,8,8,2,0,0,0,10.9,0.27,2.9,0.36,48,119,40.3,204,43,42.2,38.0,57,57.9,47.5,120,4,3.3,8,1.0,16.4,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
