players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
3,6,17,1,0,2,0,13.3,0.31,-3.7,-0.61,64,146,43.8,122,19,64.8,46.4,69,97.1,65.1,118,4,3.4,5,0.83,12.8,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
2,6,17,1,1,1,0,13.7,0.32,-3.3,-0.55,48,119,40.3,134,19,57.5,45.5,56,75.0,52.5,60,0,0.0,7,1.17,14.7,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
1,6,4,0,0,1,1,4.6,0.27,1.6,0.26,22,72,30.6,79,16,45.6,36.8,46,78.3,50.6,57,2,3.5,2,0.33,16.7,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
2,10,6,1,0,3,0,10.0,0.3,4.0,0.4,34,92,37.0,284,46,21.5,28.3,65,47.7,44.3,104,5,4.8,7,0.7,17.6,/en/squads/206d90db/2017-2018/Barcelona-Stats
1,8,10,0,0,2,0,9.9,0.37,-0.1,-0.01,34,128,26.6,192,45,43.8,36.4,70,62.9,46.2,93,6,6.5,15,1.88,18.0,/en/squads/d3d9424a/2017-2018/Basel-Stats
2,12,12,0,0,0,0,13.5,0.32,1.5,0.12,59,143,41.3,315,56,35.9,28.0,67,44.8,39.4,99,2,2.0,14,1.17,18.5,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
3,6,14,3,1,1,2,12.1,0.29,0.1,0.02,33,88,37.5,137,27,38.7,33.4,47,74.5,50.8,54,1,1.9,15,2.5,16.7,/en/squads/a77c513e/2017-2018/Benfica-Stats
1,8,13,0,0,0,2,14.5,0.31,3.5,0.43,75,201,37.3,213,36,60.1,44.6,83,88.0,54.6,131,11,8.4,7,1.17,13.4,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
1,6,10,1,0,0,0,13.0,0.33,3.0,0.5,29,106,27.4,125,14,63.2,46.4,40,67.5,53.2,97,3,3.1,3,0.5,11.9,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
1,6,18,1,0,2,2,16.8,0.42,0.8,0.13,39,114,34.2,198,34,42.9,35.5,55,52.7,41.3,92,2,2.2,4,0.67,13.5,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
1,8,12,1,0,1,0,8.8,0.25,-3.2,-0.4,26,88,29.5,170,43,38.2,36.1,58,39.7,42.3,65,3,4.6,3,0.38,13.5,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
1,6,13,0,0,0,0,12.8,0.36,-0.2,-0.04,13,66,19.7,223,42,23.8,30.8,34,38.2,43.4,56,6,10.7,8,1.33,15.4,/en/squads/add600ae/2017-2018/Dortmund-Stats
2,6,14,0,0,3,0,9.8,0.36,-4.2,-0.71,35,131,26.7,184,29,47.3,35.4,55,80.0,56.1,65,4,6.2,4,0.67,12.2,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
2,10,12,1,1,0,1,13.1,0.34,2.1,0.21,47,107,43.9,192,35,31.3,33.8,84,56.0,43.9,121,1,0.8,7,0.7,14.6,/en/squads/e0652b02/2017-2018/Juventus-Stats
1,13,16,3,1,1,1,14.0,0.27,-1.0,-0.07,44,215,20.5,336,53,46.1,37.7,95,63.2,50.2,164,12,7.3,13,1.0,13.8,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2,10,12,2,0,0,0,13.9,0.31,1.9,0.19,34,72,47.2,303,48,17.8,26.7,50,36.0,40.4,70,5,7.1,18,1.8,16.0,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2,8,5,0,0,1,0,9.5,0.26,4.5,0.56,64,163,39.3,186,27,57.0,40.4,71,80.3,55.5,92,1,1.1,5,0.63,12.9,/en/squads/19538871/2017-2018/Manchester-United-Stats
2,6,16,2,0,0,1,10.9,0.37,-4.1,-0.69,21,73,28.8,121,24,47.1,39.8,39,41.0,40.2,67,3,4.5,5,0.83,13.7,/en/squads/fd6114db/2017-2018/Monaco-Stats
1,6,16,1,0,1,0,16.8,0.32,0.8,0.13,51,127,40.2,138,33,49.3,38.3,78,75.6,51.6,137,3,2.2,2,0.33,10.1,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
