players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
21,6,2034,1721,293,80,3,10,62,106,15,9,2,1,1467,20,39,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,6,3007,2712,278,67,8,55,86,115,17,3,4,7,2413,17,51,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,6,3367,3044,303,70,9,16,117,142,36,9,23,0,2732,20,50,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,10,7313,6818,467,140,29,60,104,188,58,30,14,1,6340,28,88,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,8,3124,2766,332,86,18,17,88,137,21,7,11,1,2308,26,67,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,12,7631,7018,587,158,32,88,363,239,99,32,52,2,6375,26,145,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,6,3652,3292,353,104,3,17,138,150,32,10,18,1,2990,7,67,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,8,3638,3197,425,134,5,46,130,148,39,9,22,0,2703,16,65,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,6,2860,2589,261,75,3,17,59,112,18,5,11,0,2158,10,64,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,6,3091,2816,264,73,8,21,52,94,18,6,6,2,2586,11,42,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,8,4221,3834,364,82,10,41,104,165,39,6,11,0,3490,23,72,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,6,3912,3617,283,72,15,28,124,112,46,33,9,1,3295,12,61,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,6,2605,2303,290,90,3,48,79,106,19,13,4,0,1965,12,59,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,10,5379,4884,475,151,16,79,160,163,55,17,29,0,4434,20,82,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,13,7361,6710,621,158,30,56,225,268,71,25,24,1,5831,30,125,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,10,8064,7576,450,109,39,50,172,209,60,3,28,0,7053,38,115,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,8,4961,4569,376,81,17,32,139,160,51,21,20,0,4103,16,90,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,6,2716,2362,340,95,5,28,119,154,30,14,11,1,1967,14,54,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,6,2388,2100,280,67,3,18,51,99,14,7,4,0,1855,8,42,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,6,3905,3573,305,86,23,22,105,134,36,19,12,1,3262,27,72,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,6,2357,2074,272,85,7,23,83,98,20,11,8,0,1841,11,51,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,8,5108,4736,350,108,43,40,106,126,33,5,15,0,4458,22,91,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,8,3641,3221,410,106,10,29,118,185,34,16,14,0,2748,10,80,/en/squads/5e876ee6/2017-2018/Porto-Stats
20,6,2906,2640,252,73,2,22,39,88,10,3,3,1,2330,14,42,/en/squads/44b65410/2017-2018/Qarabag-Stats
19,6,3298,2937,334,90,17,15,89,148,38,13,16,0,2534,27,61,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
23,13,8371,7727,593,170,30,146,282,225,99,22,39,1,7204,51,141,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
20,12,6270,5639,608,177,18,72,253,248,73,22,30,1,5042,23,112,/en/squads/cf74a709/2017-2018/Roma-Stats
22,10,6304,5743,534,136,11,22,193,226,68,31,24,0,5197,27,111,/en/squads/ad2be733/2017-2018/Sevilla-Stats
20,8,4082,3669,398,126,11,39,88,154,36,4,21,0,3370,15,69,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
20,6,3058,2768,280,74,7,25,77,120,10,4,3,1,2458,10,40,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
21,6,2594,2305,277,98,4,19,74,108,14,1,8,2,2014,12,36,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
26,8,4286,3879,394,106,15,42,140,168,47,18,16,1,3492,13,85,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
