players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
21,6.0,7,69,28,40.6,11.5,4.67,0.09,0.21,19.3,2,1,1,8.1,7.3,0.11,-1.1,-1.3,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,8.0,11,91,41,45.1,11.37,5.12,0.12,0.27,17.2,3,0,0,11.7,11.7,0.13,-0.7,-0.7,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,8.0,7,95,31,32.6,11.87,3.87,0.07,0.23,18.1,3,0,0,9.2,9.2,0.1,-2.2,-2.2,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,8.0,18,137,55,40.1,17.12,6.87,0.09,0.22,18.5,8,6,7,20.4,15.4,0.11,-2.4,-3.4,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,10.0,25,162,57,35.2,16.2,5.7,0.14,0.39,18.1,8,3,3,21.8,19.4,0.12,3.2,2.6,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,6.0,7,64,22,34.4,10.67,3.67,0.11,0.32,19.8,6,0,0,5.2,5.2,0.08,1.8,1.8,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,13.0,23,140,52,37.1,10.77,4.0,0.13,0.35,16.5,2,5,6,26.0,21.3,0.16,-3.0,-3.3,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,6.0,8,54,16,29.6,9.0,2.67,0.11,0.38,17.2,2,2,2,8.5,6.9,0.15,-0.5,-0.9,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,10.0,19,118,49,41.5,11.8,4.9,0.14,0.35,17.9,5,2,2,14.4,12.8,0.11,4.6,4.2,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,6.0,4,43,21,48.8,7.17,3.5,0.07,0.14,17.3,2,1,1,6.3,5.6,0.13,-2.3,-2.6,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,6.0,5,61,14,23.0,10.17,2.33,0.07,0.29,20.5,1,1,1,5.6,4.8,0.08,-0.6,-0.8,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,8.0,15,73,31,42.5,9.12,3.87,0.18,0.42,17.1,5,2,2,11.6,10.0,0.14,3.4,3.0,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,6.0,7,81,20,24.7,13.5,3.33,0.09,0.35,15.4,5,0,0,8.3,8.3,0.11,-1.3,-1.3,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,8.3,17,122,48,39.3,14.64,5.76,0.12,0.31,17.7,3,2,2,15.8,14.3,0.12,1.2,0.7,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,6.0,6,65,17,26.2,10.83,2.83,0.08,0.29,18.5,5,1,1,6.4,5.6,0.09,-0.4,-0.6,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,8.0,12,89,35,39.3,11.12,4.37,0.1,0.26,18.1,3,3,3,13.1,10.7,0.12,-1.1,-1.7,/en/squads/7213da33/2020-2021/Lazio-Stats
29,10.0,14,109,43,39.4,10.9,4.3,0.12,0.3,16.2,1,1,1,14.7,14.0,0.13,-0.7,-1.0,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,6.0,5,39,15,38.5,6.5,2.5,0.08,0.2,18.8,1,2,2,4.9,3.3,0.08,0.1,-0.3,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,13.0,24,167,71,42.5,12.85,5.46,0.13,0.31,17.1,7,2,2,22.5,21.0,0.13,1.5,1.0,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,6.0,14,82,32,39.0,13.67,5.33,0.12,0.31,18.8,4,4,4,11.5,8.3,0.1,2.5,1.7,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,6.0,2,47,11,23.4,7.83,1.83,0.0,0.0,21.0,1,2,3,5.9,3.5,0.08,-3.9,-3.5,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,6.0,4,61,21,34.4,10.17,3.5,0.03,0.1,17.9,3,2,2,7.1,5.5,0.09,-3.1,-3.5,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,6.0,2,44,10,22.7,7.33,1.67,0.05,0.2,18.1,1,0,0,4.1,4.1,0.09,-2.1,-2.1,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
23,12.0,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
26,10.3,15,79,35,44.3,7.65,3.39,0.14,0.31,18.7,1,4,4,12.5,9.4,0.13,2.5,1.6,/en/squads/5e876ee6/2020-2021/Porto-Stats
20,8.0,11,99,30,30.3,12.38,3.75,0.1,0.33,17.0,0,1,1,10.6,9.8,0.1,0.4,0.2,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
19,6.0,9,103,39,37.9,17.17,6.5,0.09,0.23,18.0,5,0,0,11.2,11.2,0.11,-2.2,-2.2,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
25,12.0,18,161,61,37.9,13.42,5.08,0.1,0.26,17.9,2,2,2,19.2,17.6,0.11,-1.2,-1.6,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
26,6.0,3,71,25,35.2,11.83,4.17,0.01,0.04,18.3,3,2,2,7.6,6.0,0.09,-4.6,-5.0,/en/squads/b3072e00/2020-2021/Rennes-Stats
25,8.0,13,128,49,38.3,16.0,6.12,0.09,0.24,17.6,6,1,1,12.1,11.3,0.09,0.9,0.7,/en/squads/ad2be733/2020-2021/Sevilla-Stats
23,6.0,4,41,17,41.5,6.83,2.83,0.1,0.24,20.3,1,0,0,4.7,4.7,0.12,-0.7,-0.7,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
21,6.0,3,59,14,23.7,9.83,2.33,0.05,0.21,19.8,1,0,0,5.6,5.6,0.09,-2.6,-2.6,/en/squads/98ce363d/2020-2021/Zenit-Stats
