players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
21,56.0,6.0,4074,445,1457,1741,922,118,4073,107,71,66.4,36,33.6,2458,11957,6320,112,77,26,77,57,2597,252,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,46.5,8.0,5004,414,1562,2245,1239,167,5004,132,71,53.8,61,46.2,2500,13097,6282,141,122,45,137,73,3138,309,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,49.1,8.0,5045,463,1398,2284,1404,193,5045,144,98,68.1,46,31.9,2475,13206,7116,157,118,31,115,59,3233,351,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,62.1,8.0,6940,395,1271,3304,2403,288,6933,187,115,61.5,72,38.5,4466,21740,11770,224,187,73,89,96,5494,480,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,59.6,10.0,7454,578,2014,3451,2054,286,7451,221,136,61.5,85,38.5,4573,25822,14496,271,203,64,156,92,5328,579,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,42.8,6.0,3468,388,1192,1515,800,90,3468,95,50,52.6,45,47.4,2117,10902,5293,122,94,26,91,44,2129,188,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,51.8,13.0,8892,834,2640,4241,2085,268,8886,218,135,61.9,83,38.1,5291,24754,12995,254,215,77,208,104,6202,524,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,50.2,6.0,3889,353,1140,1706,1083,111,3887,99,63,63.6,36,36.4,2390,12611,6165,117,94,19,73,62,2644,245,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,49.5,10.0,7041,695,2112,3099,1884,229,7039,172,94,54.7,78,45.3,4035,21883,11455,178,187,49,144,55,5032,457,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,42.5,6.0,3583,457,1449,1542,622,91,3582,60,37,61.7,23,38.3,2124,9875,4948,92,69,18,85,43,2382,180,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
