players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
20,44.2,6.0,3708,436,1516,1633,594,78,3707,87,48,55.2,39,44.8,2355,10515,5501,69,62,11,103,53,2522,175,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,42.0,8.0,4765,649,1954,2099,754,103,4763,109,68,62.4,41,37.6,2315,11836,6065,111,83,14,64,53,3243,212,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,50.3,6.0,3923,326,1087,1931,924,157,3923,79,45,57.0,34,43.0,2149,10448,5834,101,46,27,78,36,2762,284,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,55.1,8.3,6053,439,1413,3230,1463,232,6051,146,90,61.6,56,38.4,3739,18393,9482,151,133,49,108,56,4427,435,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,37.5,6.0,3115,386,1079,1369,694,113,3114,91,58,63.7,33,36.3,1718,8987,3930,80,73,16,106,49,1759,199,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,44.8,8.0,4898,563,1789,2163,991,129,4895,120,74,61.7,46,38.3,2421,14596,7637,125,117,29,98,56,3264,268,/en/squads/7213da33/2020-2021/Lazio-Stats
29,52.0,10.0,6997,640,1982,3483,1607,227,6996,185,102,55.1,83,44.9,4418,21750,11459,213,190,57,183,98,4687,435,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,38.8,6.0,3093,562,1367,1258,498,70,3091,85,54,63.5,31,36.5,1478,7593,3563,78,50,18,106,54,1678,157,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,60.2,13.0,10559,567,1913,5962,2764,380,10557,270,162,60.0,108,40.0,6689,32817,18288,322,291,92,153,117,8220,694,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,51.0,6.0,3860,335,989,1887,1017,146,3856,109,68,62.4,41,37.6,1950,10958,5972,128,88,41,92,64,2602,233,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,50.0,6.0,3745,421,1357,1773,643,59,3742,98,52,53.1,46,46.9,2167,9810,4859,79,60,14,71,41,2565,189,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,42.3,6.0,3189,447,1176,1341,716,101,3187,96,62,64.6,34,35.4,1606,8643,4469,89,59,17,100,56,1755,171,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,49.0,6.0,3723,416,1338,1804,614,74,3723,74,50,67.6,24,32.4,2116,10135,4895,67,50,14,74,55,2477,187,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
23,48.3,12.0,7686,980,2838,3474,1457,251,7682,297,175,58.9,122,41.1,4378,22437,11608,215,157,67,195,111,5161,394,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
26,39.8,10.3,5228,739,2090,2127,1075,164,5224,182,109,59.9,73,40.1,2574,12609,6076,118,88,30,173,74,3015,246,/en/squads/5e876ee6/2020-2021/Porto-Stats
20,52.4,8.0,5396,518,1668,2593,1183,178,5395,112,64,57.1,48,42.9,3047,14864,7304,102,116,26,147,63,3478,323,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
19,48.8,6.0,3724,299,1075,1740,948,142,3724,92,45,48.9,47,51.1,1870,9916,5292,103,85,28,88,49,2151,292,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
25,57.6,12.0,9464,779,2526,4695,2321,302,9462,221,147,66.5,74,33.5,5869,29677,14611,281,213,84,151,101,7102,542,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
26,49.5,6.0,3765,346,1183,1766,844,104,3763,95,57,60.0,38,40.0,2023,11068,5454,102,88,24,101,43,2505,214,/en/squads/b3072e00/2020-2021/Rennes-Stats
25,60.3,8.0,5842,441,1495,2857,1534,196,5841,127,76,59.8,51,40.2,3210,16215,8377,137,116,30,126,87,4180,312,/en/squads/ad2be733/2020-2021/Sevilla-Stats
23,45.3,6.0,3682,487,1513,1695,520,58,3682,104,73,70.2,31,29.8,2000,10296,4640,86,67,19,58,74,2571,147,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
21,46.2,6.0,3678,392,1238,1582,896,103,3678,76,45,59.2,31,40.8,1936,10022,5007,90,79,18,92,60,2375,205,/en/squads/98ce363d/2020-2021/Zenit-Stats
