players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
21,24.7,56.0,6,66,540,6.0,7,5,12,6,1,1,11,1,8.1,7.3,5.7,13.0,112,255,1.17,0.83,2.0,1.0,1.83,1.35,0.95,2.29,1.21,2.16,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,27.5,46.5,8,88,720,8.0,11,10,21,11,0,0,11,1,11.7,11.7,10.0,21.7,141,313,1.37,1.25,2.62,1.37,2.62,1.46,1.25,2.72,1.46,2.72,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,27.0,49.1,8,88,720,8.0,7,6,13,7,0,0,17,1,9.2,9.2,7.8,16.9,157,355,0.87,0.75,1.62,0.87,1.62,1.14,0.97,2.12,1.14,2.12,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,26.0,62.1,8,88,720,8.0,18,12,30,12,6,7,12,1,20.4,15.4,13.6,29.0,224,484,2.25,1.5,3.75,1.5,3.0,2.55,1.7,4.25,1.92,3.62,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,27.0,59.6,10,110,900,10.0,25,18,43,22,3,3,20,1,21.8,19.4,15.2,34.6,271,585,2.5,1.8,4.3,2.2,4.0,2.18,1.52,3.7,1.94,3.46,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,29.5,42.8,6,66,540,6.0,7,5,12,7,0,0,18,0,5.2,5.2,4.4,9.6,122,195,1.17,0.83,2.0,1.17,2.0,0.87,0.74,1.6,0.87,1.6,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,26.2,51.8,13,143,1170,13.0,23,16,39,18,5,6,20,0,26.0,21.3,18.8,40.2,254,526,1.77,1.23,3.0,1.38,2.62,2.0,1.45,3.45,1.64,3.09,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,25.8,50.2,6,66,540,6.0,8,4,12,6,2,2,10,1,8.5,6.9,5.4,12.3,117,250,1.33,0.67,2.0,1.0,1.67,1.42,0.9,2.31,1.15,2.05,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,25.8,49.5,10,110,900,10.0,19,11,30,17,2,2,9,0,14.4,12.8,9.9,22.7,178,463,1.9,1.1,3.0,1.7,2.8,1.44,0.99,2.43,1.28,2.27,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,24.4,42.5,6,66,540,6.0,4,1,5,3,1,1,9,1,6.3,5.6,3.8,9.5,92,180,0.67,0.17,0.83,0.5,0.67,1.06,0.64,1.7,0.94,1.58,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,27.8,44.2,6,66,540,6.0,5,3,8,4,1,1,16,0,5.6,4.8,3.5,8.3,69,181,0.83,0.5,1.33,0.67,1.17,0.93,0.58,1.51,0.8,1.38,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,27.0,42.0,8,88,720,8.0,15,9,24,13,2,2,12,0,11.6,10.0,7.6,17.6,111,214,1.87,1.13,3.0,1.62,2.75,1.44,0.95,2.39,1.25,2.19,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,28.3,50.3,6,66,540,6.0,7,6,13,7,0,0,22,1,8.3,8.3,5.9,14.2,101,289,1.17,1.0,2.17,1.17,2.17,1.39,0.98,2.37,1.39,2.37,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,27.6,55.1,8,88,750,8.3,17,14,31,15,2,2,22,1,15.8,14.3,11.2,25.4,151,437,2.04,1.68,3.72,1.8,3.48,1.9,1.34,3.24,1.71,3.05,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,27.8,37.5,6,66,540,6.0,6,4,10,5,1,1,10,0,6.4,5.6,3.8,9.4,80,201,1.0,0.67,1.67,0.83,1.5,1.06,0.64,1.7,0.93,1.57,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,29.0,44.8,8,88,720,8.0,12,8,20,9,3,3,23,0,13.1,10.7,9.3,20.0,125,268,1.5,1.0,2.5,1.13,2.12,1.63,1.16,2.79,1.34,2.5,/en/squads/7213da33/2020-2021/Lazio-Stats
29,26.0,52.0,10,110,900,10.0,14,10,24,13,1,1,17,0,14.7,14.0,10.8,24.8,213,439,1.4,1.0,2.4,1.3,2.3,1.47,1.08,2.56,1.4,2.48,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,28.5,38.8,6,66,540,6.0,5,3,8,3,2,2,12,0,4.9,3.3,3.0,6.2,78,157,0.83,0.5,1.33,0.5,1.0,0.81,0.49,1.3,0.55,1.04,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,26.1,60.2,13,143,1170,13.0,24,18,42,22,2,2,18,0,22.5,21.0,16.9,37.9,322,698,1.85,1.38,3.23,1.69,3.08,1.73,1.3,3.03,1.61,2.92,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,25.7,51.0,6,66,540,6.0,14,7,21,10,4,4,13,1,11.5,8.3,6.8,15.1,128,235,2.33,1.17,3.5,1.67,2.83,1.91,1.13,3.04,1.38,2.51,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,27.5,50.0,6,66,540,6.0,2,0,2,0,2,3,15,1,5.9,3.5,3.2,6.7,79,191,0.33,0.0,0.33,0.0,0.0,0.98,0.53,1.51,0.59,1.12,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,25.5,42.3,6,66,540,6.0,4,2,6,2,2,2,12,1,7.1,5.5,4.5,10.0,89,174,0.67,0.33,1.0,0.33,0.67,1.18,0.75,1.92,0.91,1.66,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,28.7,49.0,6,66,540,6.0,2,2,4,2,0,0,11,1,4.1,4.1,3.1,7.2,67,189,0.33,0.33,0.67,0.33,0.67,0.69,0.52,1.2,0.69,1.2,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
23,27.3,48.3,12,132,1080,12.0,21,16,37,18,3,4,31,4,21.4,18.3,15.1,33.4,215,402,1.75,1.33,3.08,1.5,2.83,1.78,1.26,3.04,1.52,2.78,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
26,27.0,39.8,10,110,930,10.3,15,6,21,11,4,4,23,2,12.5,9.4,6.7,16.1,118,251,1.45,0.58,2.03,1.06,1.65,1.21,0.65,1.86,0.91,1.56,/en/squads/5e876ee6/2020-2021/Porto-Stats
20,24.8,52.4,8,88,720,8.0,11,10,21,10,1,1,21,0,10.6,9.8,8.8,18.5,102,323,1.37,1.25,2.62,1.25,2.5,1.32,1.1,2.42,1.22,2.32,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
19,24.9,48.8,6,66,540,6.0,9,6,15,9,0,0,11,0,11.2,11.2,8.2,19.4,103,297,1.5,1.0,2.5,1.5,2.5,1.87,1.37,3.24,1.87,3.24,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
25,27.9,57.6,12,132,1080,12.0,18,13,31,16,2,2,24,0,19.2,17.6,13.2,30.9,281,546,1.5,1.08,2.58,1.33,2.42,1.6,1.1,2.7,1.47,2.57,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
26,25.7,49.5,6,66,540,6.0,3,1,4,1,2,2,17,1,7.6,6.0,4.9,10.9,102,215,0.5,0.17,0.67,0.17,0.33,1.26,0.82,2.08,1.0,1.82,/en/squads/b3072e00/2020-2021/Rennes-Stats
25,27.9,60.3,8,88,720,8.0,13,8,21,12,1,1,20,1,12.1,11.3,8.1,19.4,137,314,1.62,1.0,2.62,1.5,2.5,1.51,1.01,2.52,1.42,2.43,/en/squads/ad2be733/2020-2021/Sevilla-Stats
