players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,6,6,540,6.0,7,1.17,28,22,78.6,2,1,3,0,0.0,1,1,0,0,0,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
2,8,8,720,8.0,12,1.5,38,26,73.7,3,2,3,3,37.5,2,2,0,0,0,/en/squads/922493f3/2020-2021/Atalanta-Stats
1,8,8,720,8.0,11,1.37,24,14,62.5,2,3,3,2,25.0,2,2,0,0,0,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2,8,8,720,8.0,10,1.25,29,19,79.3,5,1,2,3,37.5,4,4,0,0,0,/en/squads/206d90db/2020-2021/Barcelona-Stats
2,10,10,900,10.0,10,1.0,48,38,79.2,8,1,1,3,30.0,0,0,0,0,,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
1,6,6,540,6.0,18,3.0,36,18,55.6,1,0,5,0,0.0,2,2,0,0,0,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
2,13,13,1170,13.0,4,0.31,36,32,88.9,9,3,1,9,69.2,0,0,0,0,,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2,6,6,540,6.0,10,1.67,28,19,67.9,2,2,2,1,16.7,1,1,0,0,0,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
2,10,10,900,10.0,13,1.3,40,28,75.0,5,2,3,3,30.0,3,3,0,0,0,/en/squads/add600ae/2020-2021/Dortmund-Stats
3,6,6,540,6.0,13,2.17,40,27,72.5,1,1,4,1,16.7,2,2,0,0,0,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
1,6,6,540,6.0,17,2.83,36,20,61.1,0,1,5,0,0.0,3,3,0,0,0,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
1,8,8,720,8.0,13,1.62,35,22,62.9,2,2,4,2,25.0,0,0,0,0,,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
1,6,6,540,6.0,9,1.5,23,15,69.6,1,3,2,2,33.3,2,2,0,0,0,/en/squads/d609edc0/2020-2021/Internazionale-Stats
2,8,8,750,8.3,8,0.96,35,27,82.9,6,0,2,3,37.5,2,2,0,0,0,/en/squads/e0652b02/2020-2021/Juventus-Stats
2,6,6,540,6.0,11,1.83,43,32,81.4,1,2,3,1,16.7,4,3,0,1,0,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
2,8,8,720,8.0,13,1.62,35,23,68.6,2,4,2,0,0.0,2,2,0,0,0,/en/squads/7213da33/2020-2021/Lazio-Stats
3,10,10,900,10.0,6,0.6,38,32,86.8,6,2,2,7,70.0,1,1,0,0,0,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
1,6,6,540,6.0,10,1.67,35,25,71.4,0,3,3,1,16.7,0,0,0,0,,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
2,13,13,1170,13.0,5,0.38,24,19,79.2,11,1,1,8,61.5,0,0,0,0,,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2,6,6,540,6.0,10,1.67,24,15,58.3,3,0,3,1,16.7,0,0,0,0,,/en/squads/19538871/2020-2021/Manchester-United-Stats
1,6,6,540,6.0,13,2.17,25,13,56.0,1,0,5,0,0.0,2,2,0,0,0,/en/squads/5725cc7b/2020-2021/Marseille-Stats
2,6,6,540,6.0,13,2.17,36,23,66.7,0,2,4,0,0.0,1,1,0,0,0,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
1,6,6,540,6.0,10,1.67,34,24,79.4,1,0,5,1,16.7,3,3,0,0,0,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
1,12,12,1080,12.0,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,0,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
2,10,10,930,10.3,9,0.87,39,30,79.5,6,1,3,6,60.0,2,1,0,1,0,/en/squads/5e876ee6/2020-2021/Porto-Stats
1,8,8,720,8.0,16,2.0,37,21,64.9,4,0,4,1,12.5,4,3,1,0,25,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
1,6,6,540,6.0,17,2.83,32,16,53.1,1,1,4,0,0.0,2,2,0,0,0,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
1,12,12,1080,12.0,14,1.17,39,26,64.1,6,3,3,4,33.3,0,0,0,0,,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2,6,6,540,6.0,11,1.83,29,18,69.0,0,1,5,0,0.0,2,2,0,0,0,/en/squads/b3072e00/2020-2021/Rennes-Stats
3,8,8,720,8.0,13,1.62,34,21,73.5,4,2,2,2,25.0,4,4,0,0,0,/en/squads/ad2be733/2020-2021/Sevilla-Stats
2,6,6,540,6.0,12,2.0,37,26,70.3,2,2,2,3,50.0,1,1,0,0,0,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
1,6,6,540,6.0,13,2.17,28,15,64.3,0,1,5,0,0.0,3,3,0,0,0,/en/squads/98ce363d/2020-2021/Zenit-Stats
