round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,1,Tue,2020-10-20,21:00,Barcelona,2.8,5–1,1.3,Ferencváros,,Camp Nou,Sandro Schärer,/en/matches/1841ac16/Barcelona-Ferencvaros-October-20-2020-Champions-League,,1841ac16
Group stage,1,Tue,2020-10-20,20:00,Chelsea,0.4,0–0,0.2,Sevilla,,Stamford Bridge,Davide Massa,/en/matches/b9aeb47f/Chelsea-Sevilla-October-20-2020-Champions-League,,b9aeb47f
Group stage,1,Tue,2020-10-20,19:55,Dynamo Kyiv,0.5,0–2,2.0,Juventus,14850,NSK Olimpijs'kyj,Ovidiu Hațegan,/en/matches/96926e89/Dynamo-Kyiv-Juventus-October-20-2020-Champions-League,,96926e89
Group stage,1,Tue,2020-10-20,21:00,Lazio,1.7,3–1,1.3,Dortmund,1000,Stadio Olimpico,Clément Turpin,/en/matches/b81c6470/Lazio-Dortmund-October-20-2020-Champions-League,,b81c6470
Group stage,1,Tue,2020-10-20,21:00,Paris S-G,1.4,1–2,1.4,Manchester Utd,,Parc des Princes,Antonio Matéu Lahoz,/en/matches/58dadb06/Paris-Saint-Germain-Manchester-United-October-20-2020-Champions-League,,58dadb06
Group stage,1,Tue,2020-10-20,21:00,RB Leipzig,1.0,2–0,0.6,Başakşehir,999,Red Bull Arena,Jesús Gil,/en/matches/35265a95/RB-Leipzig-Istanbul-Basaksehir-October-20-2020-Champions-League,,35265a95
Group stage,1,Tue,2020-10-20,21:00,Rennes,2.7,1–1,1.4,Krasnodar,4973,Roazhon Park,Anastasios Sidiropoulos,/en/matches/462d4525/Rennes-Krasnodar-October-20-2020-Champions-League,,462d4525
Group stage,1,Tue,2020-10-20,19:55,Zenit,2.2,1–2,2.0,Club Brugge,16682,Gazprom Arena,Benoît Bastien,/en/matches/50571c8d/Zenit-Club-Brugge-October-20-2020-Champions-League,,50571c8d
Group stage,1,Wed,2020-10-21,21:00,Ajax,1.4,0–1,1.1,Liverpool,,Johan Cruyff ArenA,Felix Brych,/en/matches/51c298ad/Ajax-Liverpool-October-21-2020-Champions-League,,51c298ad
Group stage,1,Wed,2020-10-21,21:00,Bayern Munich,2.6,4–0,0.4,Atlético Madrid,,Allianz Arena,Michael Oliver,/en/matches/15e980a8/Bayern-Munich-Atletico-Madrid-October-21-2020-Champions-League,,15e980a8
