players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
21,6.0,3408,3117,272,91,3,15,93,104,32,7,9,0,2631,19,48,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,8.0,4052,3661,372,120,10,46,117,150,34,18,14,0,3158,19,101,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,8.0,4181,3751,412,104,7,37,162,171,57,13,34,0,3258,18,90,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,8.0,6151,5804,334,100,12,29,94,122,43,17,4,0,5515,13,75,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,10.0,6355,5874,465,142,8,64,228,187,59,31,22,0,5362,16,90,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,6.0,2773,2495,269,69,2,18,100,112,21,7,5,0,2146,9,54,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,13.0,7483,6886,570,162,12,38,185,256,54,18,23,1,6232,27,105,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,6.0,3324,3029,281,70,1,52,101,129,24,11,6,0,2661,14,60,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,10.0,5974,5567,398,105,12,49,121,163,43,23,13,1,5066,9,89,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,6.0,2931,2659,266,72,3,24,72,105,22,3,4,0,2397,6,35,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,6.0,3106,2813,283,91,5,27,69,106,23,15,2,0,2554,10,55,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,8.0,3961,3644,303,77,10,33,85,136,19,10,9,0,3260,14,59,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,6.0,3369,3102,255,59,5,28,133,127,31,11,13,0,2788,12,78,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,8.3,5227,4846,351,97,6,53,172,137,47,19,21,0,4454,30,79,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,6.0,2411,2107,292,94,4,15,74,107,25,0,13,0,1773,12,42,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,8.0,4028,3682,331,104,12,38,122,125,34,17,14,0,3295,15,71,/en/squads/7213da33/2020-2021/Lazio-Stats
29,10.0,5888,5400,471,120,8,54,156,209,46,4,32,0,4722,17,96,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,6.0,2329,2020,296,100,5,21,69,93,17,5,11,0,1700,13,63,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,13.0,9399,8894,483,120,10,56,199,221,73,29,13,3,8282,22,106,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,6.0,3233,2933,291,85,6,26,102,111,34,14,16,1,2618,9,60,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,6.0,3182,2880,290,94,0,24,85,117,22,7,12,1,2583,12,41,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,6.0,2548,2240,297,88,5,14,96,121,21,6,5,9,1797,11,59,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,6.0,3153,2835,290,78,1,32,90,127,20,8,8,0,2498,28,59,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
23,12.0,6236,5639,566,189,17,36,157,190,59,23,15,0,5198,31,118,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
26,10.3,4066,3507,544,187,3,33,136,229,40,12,20,1,3046,15,77,/en/squads/5e876ee6/2020-2021/Porto-Stats
20,8.0,4469,4036,411,131,3,33,114,183,33,17,10,1,3496,22,90,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
19,6.0,2946,2645,288,80,9,12,103,111,43,17,19,0,2172,13,58,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
25,12.0,8274,7690,565,151,9,130,211,237,66,21,19,2,7142,19,128,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
26,6.0,3151,2852,295,73,0,32,130,126,34,15,19,0,2518,4,53,/en/squads/b3072e00/2020-2021/Rennes-Stats
25,8.0,5040,4640,388,124,3,92,209,162,44,10,12,0,4212,12,84,/en/squads/ad2be733/2020-2021/Sevilla-Stats
23,6.0,3078,2817,258,97,4,28,39,70,13,4,4,0,2588,3,37,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
21,6.0,3026,2742,271,64,2,27,102,126,23,10,8,0,2394,13,48,/en/squads/98ce363d/2020-2021/Zenit-Stats
