players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
1,6.0,7,1,0,0,1,8.4,0.27,2.4,0.41,22,77,28.6,283,34,25.4,29.3,32,15.6,26.8,64,2,3.1,5,0.83,15.9,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
2,8.0,12,2,0,1,0,10.9,0.24,-1.1,-0.14,51,95,53.7,150,31,39.3,28.3,48,75.0,51.5,81,5,6.2,8,1.0,16.8,/en/squads/922493f3/2020-2021/Atalanta-Stats
1,8.0,11,2,0,0,1,9.7,0.32,-0.3,-0.04,41,119,34.5,147,30,55.8,38.8,61,60.7,41.9,93,3,3.2,4,0.5,14.3,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2,8.0,10,4,0,0,0,12.8,0.32,2.8,0.35,15,32,46.9,168,29,12.5,23.3,51,21.6,28.8,67,0,0.0,9,1.13,20.7,/en/squads/206d90db/2020-2021/Barcelona-Stats
2,10.0,10,0,0,1,0,15.2,0.33,5.2,0.52,32,68,47.1,341,68,17.3,27.5,57,15.8,28.8,111,3,2.7,28,2.8,21.1,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
1,6.0,18,2,0,2,0,12.1,0.28,-5.9,-0.98,37,92,40.2,141,29,48.9,39.4,43,53.5,43.8,71,3,4.2,12,2.0,15.5,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
2,13.0,4,0,0,2,0,7.3,0.2,3.3,0.25,48,115,41.7,315,53,24.4,25.1,81,46.9,37.4,158,7,4.4,5,0.38,8.0,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2,6.0,10,1,1,1,1,8.4,0.29,-0.6,-0.1,55,120,45.8,223,28,44.8,45.8,43,46.5,40.6,60,3,5.0,13,2.17,10.0,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
2,10.0,13,3,0,2,1,14.9,0.3,2.9,0.29,27,96,28.1,250,39,30.4,32.5,64,31.3,34.0,150,7,4.7,3,0.3,9.3,/en/squads/add600ae/2020-2021/Dortmund-Stats
3,6.0,13,2,0,2,0,16.0,0.38,3.0,0.51,26,58,44.8,147,26,27.2,28.1,48,37.5,36.4,81,2,2.5,1,0.17,8.5,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
1,6.0,17,3,0,0,1,14.2,0.31,-1.8,-0.3,39,76,51.3,202,33,29.7,31.0,40,40.0,34.7,48,0,0.0,4,0.67,15.1,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
1,8.0,13,0,0,1,0,14.1,0.42,1.1,0.14,33,86,38.4,292,29,27.1,29.2,50,14.0,23.8,107,6,5.6,4,0.5,12.6,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
