players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
1,6.0,9,2,0,1,1,6.8,0.21,-1.2,-0.2,14,29,48.3,151,21,18.5,26.8,24,4.2,19.3,48,1,2.1,10,1.67,20.5,/en/squads/d609edc0/2020-2021/Internazionale-Stats
2,8.3,8,2,1,0,0,10.4,0.25,2.4,0.29,10,21,47.6,146,31,9.6,22.2,53,13.2,23.7,67,3,4.5,10,1.2,17.2,/en/squads/e0652b02/2020-2021/Juventus-Stats
2,6.0,11,3,0,1,0,10.3,0.17,-0.7,-0.12,46,116,39.7,147,31,55.8,41.6,49,69.4,46.8,107,4,3.7,2,0.33,13.5,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
2,8.0,13,2,0,0,1,9.9,0.23,-2.1,-0.26,28,64,43.8,256,48,22.3,35.0,47,14.9,21.6,104,2,1.9,4,0.5,,/en/squads/7213da33/2020-2021/Lazio-Stats
3,10.0,6,1,0,0,0,12.2,0.3,6.2,0.62,49,120,40.8,307,50,30.0,37.9,80,35.0,35.0,120,6,5.0,15,1.5,13.0,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
1,6.0,10,0,0,3,0,9.4,0.27,-0.6,-0.11,50,107,46.7,177,29,41.8,35.2,70,47.1,35.0,143,10,7.0,5,0.83,12.6,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
2,13.0,5,0,0,1,0,6.5,0.28,1.5,0.12,31,71,43.7,307,58,18.9,21.8,51,25.5,32.2,85,4,4.7,19,1.46,,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2,6.0,10,0,1,1,1,7.8,0.34,-1.2,-0.19,24,51,47.1,95,21,35.8,32.4,45,37.8,30.5,70,2,2.9,4,0.67,14.5,/en/squads/19538871/2020-2021/Manchester-United-Stats
1,6.0,13,2,0,2,1,10.4,0.36,-1.6,-0.27,26,95,27.4,209,18,36.8,31.7,38,47.4,37.0,50,1,2.0,5,0.83,16.2,/en/squads/5725cc7b/2020-2021/Marseille-Stats
2,6.0,13,1,0,0,0,12.2,0.33,-0.8,-0.13,54,149,36.2,245,23,45.3,38.9,48,79.2,53.9,68,1,1.5,4,0.67,11.2,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
1,6.0,10,3,0,0,0,11.1,0.24,1.1,0.18,28,80,35.0,161,39,32.9,32.2,49,55.1,42.1,68,6,8.8,0,0.0,9.4,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
1,12.0,15,3,1,2,0,18.7,0.22,3.7,0.31,47,140,33.6,334,62,32.3,32.7,101,31.7,31.8,181,5,2.8,8,0.67,12.5,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
2,10.3,9,1,1,1,0,13.0,0.31,4.0,0.39,69,247,27.9,366,44,57.9,40.5,68,51.5,41.9,191,5,2.6,8,0.77,5.0,/en/squads/5e876ee6/2020-2021/Porto-Stats
1,8.0,16,3,1,1,1,16.7,0.35,1.7,0.22,26,75,34.7,261,43,25.7,30.4,41,19.5,23.9,81,5,6.2,14,1.75,18.6,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
1,6.0,17,2,0,3,1,12.4,0.33,-3.6,-0.6,11,36,30.6,94,19,34.0,32.1,31,12.9,24.9,67,3,4.5,3,0.5,13.4,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
1,12.0,14,0,1,0,1,15.3,0.4,2.3,0.19,27,109,24.8,370,68,22.2,30.3,85,31.8,33.4,116,11,9.5,21,1.75,18.2,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2,6.0,11,2,0,0,0,11.3,0.32,0.3,0.04,30,83,36.1,154,26,35.7,35.0,46,60.9,44.8,80,1,1.3,8,1.33,18.3,/en/squads/b3072e00/2020-2021/Rennes-Stats
3,8.0,13,4,1,0,0,12.1,0.24,-0.9,-0.11,28,64,43.8,183,26,24.0,25.5,37,54.1,40.1,80,3,3.8,9,1.13,14.0,/en/squads/ad2be733/2020-2021/Sevilla-Stats
2,6.0,12,1,1,2,1,11.3,0.28,0.3,0.05,26,100,26.0,181,29,34.8,26.4,60,61.7,45.9,124,2,1.6,2,0.33,14.0,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
1,6.0,13,3,0,1,0,12.7,0.35,-0.3,-0.05,25,60,41.7,151,43,29.8,32.6,39,38.5,34.2,90,4,4.4,2,0.33,10.6,/en/squads/98ce363d/2020-2021/Zenit-Stats
