players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
21,6.0,11,1,1,89,70,19,93,75,57,1,1,1,381,83,132,38.6,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,8.0,11,1,0,93,108,19,117,140,76,0,2,0,514,152,97,61.0,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,8.0,17,1,0,95,96,18,162,94,73,0,2,1,429,123,124,49.8,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,8.0,12,1,0,82,93,13,94,88,60,7,4,0,405,41,48,46.1,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,10.0,20,1,1,136,103,16,228,126,77,3,0,0,519,120,112,51.7,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,6.0,18,0,0,71,63,9,100,78,34,0,2,0,343,73,82,47.1,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,13.0,20,0,0,181,138,27,185,146,127,4,0,0,684,200,199,50.1,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,6.0,10,1,1,76,66,14,101,76,51,2,1,1,353,91,90,50.3,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,10.0,9,0,0,98,91,9,121,106,89,2,3,1,524,85,118,41.9,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,6.0,9,1,1,66,65,6,72,102,48,0,2,0,267,52,52,50.0,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,6.0,16,0,0,76,72,10,69,96,47,1,3,1,313,35,64,35.4,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,8.0,12,0,0,104,70,14,85,90,73,2,0,0,393,84,69,54.9,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,6.0,22,1,1,76,57,12,133,78,48,0,2,1,301,77,70,52.4,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,8.3,22,1,1,118,94,30,172,122,86,1,2,0,445,99,57,63.5,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,6.0,10,0,0,70,93,12,74,82,36,1,4,0,301,92,105,46.7,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,8.0,23,0,0,76,98,15,122,109,66,3,2,1,402,102,98,51.0,/en/squads/7213da33/2020-2021/Lazio-Stats
29,10.0,17,0,0,124,82,17,156,117,84,1,1,0,608,138,129,51.7,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,6.0,12,0,0,67,88,13,69,100,47,1,0,0,277,123,83,59.7,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,13.0,18,0,0,132,102,22,199,117,99,1,0,0,678,155,85,64.6,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,6.0,13,1,1,81,73,9,102,60,49,4,0,1,332,65,60,52.0,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,6.0,15,1,1,75,67,12,85,89,60,2,2,1,288,87,82,51.5,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,6.0,12,1,0,72,76,11,96,110,61,2,1,0,335,97,112,46.4,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,6.0,11,1,1,72,66,28,90,83,40,0,3,0,293,81,103,44.0,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
23,12.0,31,4,2,130,174,31,157,140,112,3,4,0,637,105,116,47.5,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
26,10.3,23,2,2,131,153,15,136,91,96,3,2,0,482,150,195,43.5,/en/squads/5e876ee6/2020-2021/Porto-Stats
20,8.0,21,0,0,129,106,22,114,108,99,0,4,1,498,136,108,55.7,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
19,6.0,11,0,0,91,74,13,103,97,62,0,2,1,394,81,123,39.7,/en/squads/50f2a074/2020-2021/Red-Bull-Salzburg-Stats
25,12.0,24,0,0,125,138,19,211,151,104,2,0,1,634,122,121,50.2,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
26,6.0,17,1,1,102,58,4,130,65,46,2,2,0,304,78,98,44.3,/en/squads/b3072e00/2020-2021/Rennes-Stats
25,8.0,20,1,0,87,113,12,209,79,61,1,4,0,443,137,106,56.4,/en/squads/ad2be733/2020-2021/Sevilla-Stats
23,6.0,7,0,0,52,78,3,39,81,39,0,1,1,263,56,88,38.9,/en/squads/e89d5a28/2020-2021/Shakhtar-Donetsk-Stats
21,6.0,13,0,0,70,52,13,102,93,57,0,3,0,315,111,105,51.4,/en/squads/98ce363d/2020-2021/Zenit-Stats
