players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
24,25.8,14,1260,90,100,14.0,154,83,96,58,18,104,2.07,31,10,21,1.5,27.0,13.5,13.5,0.96,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,27.1,12,1080,90,100,12.0,132,81,80,53,22,75,2.08,23,12,11,0.92,18.8,13.9,4.9,0.41,/en/squads/8602292d/Aston-Villa-Stats
24,27.7,10,900,90,100,10.0,110,80,59,50,22,66,1.5,22,11,11,1.1,24.5,10.9,13.6,1.36,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,28.5,10,930,93,100,10.3,110,82,61,48,25,66,2.1,22,14,8,0.77,14.5,13.0,1.6,0.15,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,25.1,14,1290,92,100,14.3,154,83,84,68,18,96,2.07,43,24,19,1.33,32.2,21.2,11.0,0.77,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,27.7,14,1260,90,100,14.0,154,82,94,60,21,91,1.86,31,18,13,0.93,33.6,14.4,19.2,1.37,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,25.8,12,1080,90,100,12.0,132,82,77,56,18,86,1.42,21,19,2,0.17,23.6,15.6,8.0,0.67,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,26.0,8,720,90,100,8.0,88,80,49,39,23,50,0.75,4,9,-5,-0.62,8.1,9.9,-1.8,-0.22,/en/squads/1d8099f8/Bologna-Stats
23,28.0,10,900,90,100,10.0,110,82,63,47,19,56,1.3,10,21,-11,-1.1,11.4,18.3,-6.9,-0.69,/en/squads/fb08dbb3/Brest-Stats
24,27.1,10,900,90,100,10.0,110,82,65,44,20,72,1.3,15,17,-2,-0.2,14.5,16.3,-1.8,-0.18,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
21,25.5,12,1080,90,100,12.0,132,83,86,44,18,71,1.42,13,19,-6,-0.5,11.5,16.4,-4.9,-0.41,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
25,27.3,8,720,90,100,8.0,88,83,54,34,17,56,1.38,12,19,-7,-0.87,7.0,16.4,-9.3,-1.17,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
25,26.5,14,1260,90,100,14.0,154,82,92,62,20,87,1.86,31,19,12,0.86,27.8,19.1,8.6,0.62,/en/squads/add600ae/2024-2025/Dortmund-Stats
29,24.8,12,1080,90,100,12.0,132,81,80,51,23,79,1.42,21,26,-5,-0.42,13.3,20.4,-7.2,-0.6,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
26,27.4,8,720,90,100,8.0,88,80,51,36,23,44,0.38,5,13,-8,-1.0,9.6,12.6,-3.0,-0.38,/en/squads/9024a00a/Girona-Stats
25,29.5,15,1380,92,100,15.3,165,82,93,73,23,89,2.2,26,16,10,0.65,24.3,20.2,4.1,0.27,/en/squads/d609edc0/2024-2025/Internazionale-Stats
26,24.8,10,930,93,100,10.3,110,81,65,44,30,50,1.5,12,11,1,0.1,11.8,17.2,-5.4,-0.52,/en/squads/e0652b02/2024-2025/Juventus-Stats
25,26.5,10,900,90,100,10.0,110,84,64,45,15,54,1.6,15,12,3,0.3,15.1,13.0,2.1,0.21,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
25,25.4,10,900,90,100,10.0,110,82,67,41,19,58,1.7,19,13,6,0.6,11.5,16.8,-5.2,-0.52,/en/squads/cb188c0c/Lille-Stats
27,26.8,10,930,93,100,10.3,110,86,67,43,18,62,2.4,18,6,12,1.16,20.7,11.3,9.3,0.9,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
26,26.7,10,900,90,100,10.0,110,82,75,35,24,65,1.1,21,20,1,0.1,21.0,16.1,5.0,0.5,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
26,26.1,10,900,90,100,10.0,110,81,66,42,22,55,1.6,15,13,2,0.2,13.8,13.8,0.1,0.01,/en/squads/dc56fe14/Milan-Stats
25,24.7,10,900,90,100,10.0,110,80,64,43,23,71,1.4,16,17,-1,-0.1,13.3,16.9,-3.6,-0.36,/en/squads/fd6114db/2024-2025/Monaco-Stats
28,25.9,12,1110,93,100,12.3,132,84,78,53,19,71,1.5,23,24,-1,-0.08,19.3,20.6,-1.3,-0.1,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
22,24.2,17,1560,92,100,17.3,187,85,124,62,20,115,2.0,38,15,23,1.33,35.6,18.2,17.4,1.01,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
23,25.3,8,720,90,100,8.0,88,82,51,38,19,31,0.38,8,15,-7,-0.87,12.3,12.7,-0.4,-0.05,/en/squads/acbb6a5b/RB-Leipzig-Stats
24,22.5,8,720,90,100,8.0,88,79,48,39,24,45,0.38,5,27,-22,-2.75,6.6,19.4,-12.7,-1.59,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
23,26.8,14,1290,92,100,14.3,154,84,93,60,20,84,1.71,29,22,7,0.49,28.0,22.9,5.1,0.36,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
24,26.5,8,720,90,100,8.0,88,82,54,34,22,53,0.75,13,22,-9,-1.13,9.3,14.9,-5.5,-0.69,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
21,24.2,8,720,90,100,8.0,88,81,51,36,21,59,0.88,8,16,-8,-1.0,8.3,15.5,-7.2,-0.9,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
23,28.5,8,720,90,100,8.0,88,84,50,38,15,54,0.0,7,27,-20,-2.5,7.0,21.6,-14.7,-1.83,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
26,26.2,8,720,90,100,8.0,88,83,53,36,17,56,0.5,7,21,-14,-1.75,6.3,13.3,-7.0,-0.88,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
27,23.8,10,900,90,100,10.0,110,80,66,44,25,68,1.2,13,15,-2,-0.2,12.8,17.9,-5.1,-0.51,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
23,23.5,8,720,90,100,8.0,88,82,52,35,19,61,0.75,5,14,-9,-1.13,6.2,16.2,-10.0,-1.25,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
23,25.2,8,720,90,100,8.0,88,82,51,37,18,46,1.25,13,17,-4,-0.5,14.1,11.1,3.0,0.38,/en/squads/598bc722/Stuttgart-Stats
24,24.8,8,720,90,100,8.0,88,79,48,40,25,46,0.0,3,24,-21,-2.62,5.6,19.1,-13.4,-1.68,/en/squads/4b682260/2024-2025/Young-Boys-Stats
