players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
24,14.0,5647,6760,83.5,93556,31012,2787,3082,90.4,2417,2713,89.1,347,685,50.7,18,18.1,22.1,-0.1,137,476,122,29,535,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,12.0,4617,5511,83.8,78594,28437,2124,2357,90.1,2171,2429,89.4,274,530,51.7,18,14.9,13.4,3.1,118,339,95,21,397,/en/squads/8602292d/Aston-Villa-Stats
24,10.0,4633,5529,83.8,75124,23931,2341,2572,91.0,1814,2046,88.7,321,549,58.5,19,18.9,20.0,0.1,138,332,136,45,517,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,10.3,4794,5690,84.3,77611,24769,2379,2638,90.2,1895,2139,88.6,345,589,58.6,17,12.1,10.9,4.9,100,338,101,26,419,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,14.3,7645,8853,86.4,128971,40462,3527,3839,91.9,3334,3704,90.0,576,900,64.0,30,23.9,18.6,6.1,161,646,137,20,744,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,14.0,8412,9700,86.7,134765,42218,4342,4684,92.7,3207,3535,90.7,596,948,62.9,16,21.6,28.4,-5.6,216,812,234,36,892,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,12.0,4290,5426,79.1,76957,28606,1885,2167,87.0,1817,2110,86.1,481,839,57.3,9,13.7,12.8,-4.7,123,328,103,26,390,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,8.0,2831,3597,78.7,54185,18088,1103,1284,85.9,1342,1556,86.2,349,569,61.3,3,5.8,6.6,-2.8,64,188,49,17,269,/en/squads/1d8099f8/Bologna-Stats
23,10.0,3212,4178,76.9,62251,22892,1357,1585,85.6,1387,1654,83.9,432,790,54.7,3,8.3,7.1,-5.3,94,268,66,24,270,/en/squads/fb08dbb3/Brest-Stats
