players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
24,14.0,27,0,0,156,135,23,231,101,115,3,4,0,521,162,151,51.8,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,12.0,19,0,0,123,125,16,137,89,101,2,1,0,485,124,95,56.6,/en/squads/8602292d/Aston-Villa-Stats
24,10.0,19,1,0,103,89,25,239,72,77,3,1,0,469,124,101,55.1,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,10.3,18,1,0,102,96,12,171,97,122,0,5,0,454,74,91,44.8,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,14.3,14,2,0,125,161,14,213,86,147,3,4,1,592,132,149,47.0,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,14.0,22,0,0,135,127,21,320,122,138,4,1,0,657,173,141,55.1,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,12.0,28,1,0,130,103,37,176,136,144,4,2,0,547,175,144,54.9,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,8.0,28,0,0,115,104,25,136,67,101,0,2,0,359,100,105,48.8,/en/squads/1d8099f8/Bologna-Stats
23,10.0,20,0,0,113,116,14,165,108,111,0,3,1,460,144,131,52.4,/en/squads/fb08dbb3/Brest-Stats
24,10.0,10,1,0,92,79,18,138,97,104,2,3,1,374,101,97,51.0,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
21,12.0,19,2,0,104,98,12,121,102,113,1,3,2,465,102,105,49.3,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
25,8.0,19,0,0,84,80,15,106,85,96,0,4,0,323,83,95,46.6,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
25,14.0,24,0,0,172,129,33,252,130,160,8,0,1,658,140,129,52.0,/en/squads/add600ae/2024-2025/Dortmund-Stats
29,12.0,18,2,0,120,108,20,139,106,113,3,5,4,444,105,125,45.7,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
26,8.0,25,1,1,116,94,12,129,60,82,1,4,4,296,62,62,50.0,/en/squads/9024a00a/Girona-Stats
25,15.3,33,0,0,143,168,42,197,138,134,6,1,1,583,182,147,55.3,/en/squads/d609edc0/2024-2025/Internazionale-Stats
26,10.3,15,2,1,113,92,25,187,75,116,1,2,0,415,100,116,46.3,/en/squads/e0652b02/2024-2025/Juventus-Stats
25,10.0,23,2,2,118,83,14,178,81,97,0,1,0,412,116,108,51.8,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
25,10.0,23,2,2,101,108,16,95,84,86,1,2,0,443,103,95,52.0,/en/squads/cb188c0c/Lille-Stats
27,10.3,19,1,0,107,82,14,166,97,89,3,1,0,448,72,90,44.4,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
26,10.0,11,0,0,79,71,10,194,51,72,3,2,0,379,64,50,56.1,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
26,10.0,28,2,2,107,112,14,132,80,92,0,1,0,389,109,79,58.0,/en/squads/dc56fe14/Milan-Stats
25,10.0,23,3,2,118,124,28,134,127,108,1,3,0,464,119,136,46.7,/en/squads/fd6114db/2024-2025/Monaco-Stats
28,12.3,24,1,0,127,117,16,245,130,154,1,1,0,560,157,156,50.2,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
22,17.3,19,1,1,155,172,27,253,145,203,0,0,1,833,166,159,51.1,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
23,8.0,15,0,0,89,70,19,130,66,94,0,0,1,318,93,76,55.0,/en/squads/acbb6a5b/RB-Leipzig-Stats
24,8.0,16,1,0,92,81,14,107,73,100,1,1,0,353,57,92,38.3,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
23,14.3,34,1,1,162,148,14,234,129,163,3,5,0,545,86,81,51.5,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
24,8.0,13,0,0,77,106,19,170,80,70,1,1,0,316,75,115,39.5,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
21,8.0,13,1,0,85,72,10,91,83,78,2,2,1,330,76,104,42.2,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
23,8.0,17,1,1,72,102,12,76,98,84,1,2,0,330,68,72,48.6,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
26,8.0,13,0,0,81,55,8,77,75,71,0,1,1,316,94,99,48.7,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
27,10.0,17,0,0,104,147,13,115,84,103,2,3,1,409,73,81,47.4,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
23,8.0,17,1,1,105,86,18,101,77,105,0,0,0,342,78,114,40.6,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
23,8.0,13,0,0,91,96,17,176,69,78,1,0,0,379,82,77,51.6,/en/squads/598bc722/Stuttgart-Stats
24,8.0,24,0,0,116,74,15,118,81,86,0,2,2,333,85,88,49.1,/en/squads/4b682260/2024-2025/Young-Boys-Stats
