players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
24,14.0,208,115,80,87,41,86,161,53.4,75,139,35,104,101,309,216,15,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,12.0,180,101,81,68,31,92,183,50.3,91,117,41,76,89,269,181,10,/en/squads/8602292d/Aston-Villa-Stats
24,10.0,130,77,56,45,29,72,153,47.1,81,88,18,70,72,202,147,7,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,10.3,195,122,104,64,27,105,192,54.7,87,103,24,79,97,292,184,9,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,14.3,229,147,80,103,46,100,220,45.5,120,169,45,124,86,315,249,8,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,14.0,231,138,79,95,57,118,237,49.8,119,160,38,122,122,353,177,15,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,12.0,259,144,138,94,27,129,263,49.0,134,148,38,110,136,395,285,7,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,8.0,165,101,78,66,21,78,151,51.7,73,97,21,76,67,232,143,3,/en/squads/1d8099f8/Bologna-Stats
23,10.0,189,111,81,70,38,95,209,45.5,114,109,33,76,108,297,223,10,/en/squads/fb08dbb3/Brest-Stats
24,10.0,201,104,93,71,37,102,174,58.6,72,115,32,83,97,298,246,9,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
21,12.0,190,113,102,67,21,108,208,51.9,100,106,33,73,102,292,261,8,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
25,8.0,160,96,98,47,15,87,168,51.8,81,98,34,64,85,245,232,4,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
25,14.0,269,160,130,95,44,141,274,51.5,133,152,44,108,130,399,249,13,/en/squads/add600ae/2024-2025/Dortmund-Stats
29,12.0,190,113,103,64,23,102,206,49.5,104,139,52,87,106,296,243,8,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
26,8.0,135,82,68,53,14,73,131,55.7,58,86,29,57,60,195,135,4,/en/squads/9024a00a/Girona-Stats
25,15.3,208,134,132,50,26,100,210,47.6,110,178,68,110,138,346,402,12,/en/squads/d609edc0/2024-2025/Internazionale-Stats
26,10.3,176,116,88,67,21,87,162,53.7,75,131,53,78,75,251,195,12,/en/squads/e0652b02/2024-2025/Juventus-Stats
25,10.0,148,97,72,56,20,66,148,44.6,82,91,34,57,81,229,178,8,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
25,10.0,145,86,67,49,29,67,130,51.5,63,99,22,77,84,229,203,8,/en/squads/cb188c0c/Lille-Stats
27,10.3,147,89,53,66,28,73,168,43.5,95,126,43,83,97,244,162,10,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
26,10.0,122,72,35,49,38,70,129,54.3,59,85,30,55,51,173,110,10,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
26,10.0,149,92,67,58,24,68,147,46.3,79,85,19,66,80,229,179,8,/en/squads/dc56fe14/Milan-Stats
25,10.0,170,108,83,73,14,72,149,48.3,77,116,23,93,127,297,213,12,/en/squads/fd6114db/2024-2025/Monaco-Stats
28,12.3,242,154,98,111,33,117,226,51.8,109,129,40,89,130,372,235,11,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
22,17.3,336,203,161,124,51,157,300,52.3,143,185,50,135,145,481,376,14,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
23,8.0,143,94,56,56,31,53,132,40.2,79,99,30,69,66,209,184,7,/en/squads/acbb6a5b/RB-Leipzig-Stats
24,8.0,169,100,92,57,20,90,185,48.6,95,110,24,86,73,242,157,10,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
23,14.3,246,163,122,78,46,108,204,52.9,96,122,40,82,129,375,233,1,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
24,8.0,126,70,78,38,10,64,126,50.8,62,84,26,58,80,206,166,12,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
21,8.0,130,78,78,35,17,60,147,40.8,87,97,36,61,83,213,192,8,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
23,8.0,132,84,81,40,11,64,141,45.4,77,113,44,69,98,230,273,7,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
26,8.0,119,71,67,35,17,56,129,43.4,73,105,41,64,75,194,219,10,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
27,10.0,173,103,86,71,16,90,170,52.9,80,97,26,71,84,257,187,10,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
23,8.0,156,105,90,50,16,77,155,49.7,78,98,27,71,77,233,232,6,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
23,8.0,144,78,60,63,21,77,154,50.0,77,90,26,64,69,213,129,8,/en/squads/598bc722/Stuttgart-Stats
24,8.0,124,86,73,35,16,49,139,35.3,90,108,49,59,81,205,198,9,/en/squads/4b682260/2024-2025/Young-Boys-Stats
