players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
2,14,14,1260,14.0,10,0.71,42,30,81.0,9,2,3,6,42.9,4,2,2,0,50.0,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
1,12,12,1080,12.0,12,1.0,60,48,81.7,8,1,3,5,41.7,1,1,0,0,0.0,/en/squads/8602292d/Aston-Villa-Stats
2,10,10,900,10.0,11,1.1,27,16,63.0,4,3,3,5,50.0,1,1,0,0,0.0,/en/squads/922493f3/2024-2025/Atalanta-Stats
1,10,10,930,10.3,14,1.35,46,32,78.3,7,0,3,2,20.0,5,4,0,1,0.0,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
3,14,14,1290,14.3,24,1.67,59,36,66.1,9,2,3,4,28.6,4,4,0,0,0.0,/en/squads/206d90db/2024-2025/Barcelona-Stats
4,14,14,1260,14.0,18,1.29,40,22,57.5,8,2,4,4,28.6,1,1,0,0,0.0,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
1,12,12,1080,12.0,19,1.58,60,41,71.7,5,2,5,4,33.3,2,2,0,0,0.0,/en/squads/a77c513e/2024-2025/Benfica-Stats
2,8,8,720,8.0,9,1.13,34,24,76.5,1,3,4,2,25.0,2,1,1,0,50.0,/en/squads/1d8099f8/Bologna-Stats
2,10,10,900,10.0,21,2.1,52,32,65.4,4,1,5,2,20.0,3,3,0,0,0.0,/en/squads/fb08dbb3/Brest-Stats
1,10,10,900,10.0,17,1.7,54,38,72.2,3,4,3,3,30.0,3,2,0,1,0.0,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
1,12,12,1080,12.0,19,1.58,53,35,67.9,5,2,5,3,25.0,3,2,1,0,33.3,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
2,8,8,720,8.0,19,2.37,46,27,67.4,3,2,3,2,25.0,4,4,0,0,0.0,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
2,14,14,1260,14.0,19,1.36,58,40,67.2,8,2,4,5,35.7,0,0,0,0,,/en/squads/add600ae/2024-2025/Dortmund-Stats
2,12,12,1080,12.0,26,2.17,71,47,66.2,5,2,5,2,16.7,5,2,2,1,50.0,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
2,8,8,720,8.0,13,1.62,44,33,75.0,1,0,7,1,12.5,4,2,2,0,50.0,/en/squads/9024a00a/Girona-Stats
2,15,15,1380,15.3,16,1.04,71,56,78.9,10,3,2,8,53.3,1,1,0,0,0.0,/en/squads/d609edc0/2024-2025/Internazionale-Stats
2,10,10,929,10.3,11,1.07,48,36,79.2,4,3,3,3,30.0,2,1,1,0,50.0,/en/squads/e0652b02/2024-2025/Juventus-Stats
