players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
2,10,10,900,10.0,12,1.2,34,22,67.6,5,1,4,5,50.0,1,1,0,0,0.0,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
1,10,10,900,10.0,13,1.3,45,32,75.6,5,2,3,1,10.0,2,2,0,0,0.0,/en/squads/cb188c0c/Lille-Stats
2,10,10,930,10.3,6,0.58,44,37,86.4,8,0,2,6,60.0,1,0,1,0,100.0,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
2,10,10,900,10.0,20,2.0,48,28,62.5,3,2,5,3,30.0,2,2,0,0,0.0,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
2,10,10,900,10.0,13,1.3,53,40,77.4,5,1,4,1,10.0,1,1,0,0,0.0,/en/squads/dc56fe14/Milan-Stats
2,10,10,900,10.0,17,1.7,49,32,71.4,4,2,4,2,20.0,3,3,0,0,0.0,/en/squads/fd6114db/2024-2025/Monaco-Stats
2,12,12,1110,12.3,24,1.95,65,41,64.6,5,3,4,1,8.3,1,1,0,0,0.0,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
2,17,17,1560,17.3,15,0.87,56,42,73.2,11,1,5,7,41.2,0,0,0,0,,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
2,8,8,720,8.0,15,1.87,39,25,61.5,1,0,7,0,0.0,0,0,0,0,,/en/squads/acbb6a5b/RB-Leipzig-Stats
2,8,8,717,8.0,27,3.39,56,29,53.6,1,0,7,0,0.0,1,1,0,0,0.0,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
2,14,14,1290,14.3,22,1.53,82,59,76.8,8,0,6,1,7.1,5,3,1,1,25.0,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
3,8,8,720,8.0,22,2.75,47,25,55.3,2,0,6,1,12.5,1,1,0,0,0.0,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
1,8,8,720,8.0,16,2.0,52,36,71.2,2,1,5,2,25.0,2,1,1,0,50.0,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
1,8,8,720,8.0,27,3.38,64,36,59.4,0,0,8,0,0.0,2,1,1,0,50.0,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
1,8,8,720,8.0,21,2.62,61,41,67.2,1,1,6,1,12.5,1,1,0,0,0.0,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
2,10,10,900,10.0,15,1.5,51,36,72.5,3,3,4,3,30.0,3,1,1,1,50.0,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
2,8,8,720,8.0,14,1.75,45,31,68.9,2,0,6,2,25.0,0,0,0,0,,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
2,8,8,720,8.0,17,2.12,32,15,46.9,3,1,4,1,12.5,0,0,0,0,,/en/squads/598bc722/Stuttgart-Stats
2,8,8,720,8.0,24,3.0,53,29,54.7,0,0,8,0,0.0,2,0,2,0,100.0,/en/squads/4b682260/2024-2025/Young-Boys-Stats
