players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,14.0,10,2,0,1,0,14.3,0.27,4.3,0.31,74,195,37.9,398,57,41.0,31.6,82,39.0,34.2,144,16,11.1,23,1.64,18.1,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
1,12.0,12,1,0,2,0,15.9,0.26,3.9,0.33,52,126,41.3,400,41,25.8,29.7,67,34.3,31.9,114,13,11.4,8,0.67,12.1,/en/squads/8602292d/Aston-Villa-Stats
2,10.0,11,1,0,2,0,8.5,0.31,-2.5,-0.25,46,124,37.1,238,28,34.5,31.3,62,67.7,50.3,68,2,2.9,15,1.5,7.0,/en/squads/922493f3/2024-2025/Atalanta-Stats
1,10.3,14,4,0,1,0,14.7,0.26,0.7,0.07,27,76,35.5,169,49,28.4,32.2,56,50.0,41.3,108,14,13.0,5,0.48,9.3,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
3,14.3,24,4,0,4,1,23.7,0.35,0.7,0.05,26,108,24.1,454,63,17.8,28.4,73,37.0,34.9,151,14,9.3,55,3.84,19.6,/en/squads/206d90db/2024-2025/Barcelona-Stats
4,14.0,18,1,0,3,0,13.7,0.32,-4.3,-0.31,60,143,42.0,503,53,26.4,28.6,51,19.6,26.7,95,1,1.1,36,2.57,24.5,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
1,12.0,19,2,0,1,0,14.0,0.23,-5.0,-0.42,21,94,22.3,249,67,27.7,30.9,87,28.7,30.3,173,8,4.6,8,0.67,12.4,/en/squads/a77c513e/2024-2025/Benfica-Stats
2,8.0,9,1,1,1,0,12.1,0.32,3.1,0.39,22,72,30.6,249,41,24.1,28.5,38,31.6,29.1,76,7,9.2,10,1.25,12.4,/en/squads/1d8099f8/Bologna-Stats
2,10.0,21,3,0,0,1,19.4,0.33,-0.6,-0.06,87,194,44.8,258,42,61.6,44.6,49,71.4,52.1,119,13,10.9,18,1.8,15.2,/en/squads/fb08dbb3/Brest-Stats
1,10.0,17,2,0,3,1,17.3,0.3,1.3,0.13,24,59,40.7,330,43,13.3,26.0,68,22.1,29.1,156,2,1.3,5,0.5,10.8,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
1,12.0,19,2,0,1,2,17.8,0.29,0.8,0.07,58,129,45.0,367,39,30.5,31.6,89,19.1,22.8,148,12,8.1,8,0.67,11.6,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
2,8.0,19,4,0,3,0,19.2,0.35,0.2,0.03,44,130,33.8,197,19,46.2,35.7,72,54.2,42.3,131,3,2.3,3,0.38,13.5,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
2,14.0,19,0,0,1,1,17.7,0.31,-0.3,-0.02,43,128,33.6,407,64,26.8,26.1,97,19.6,22.5,133,8,6.0,21,1.5,11.0,/en/squads/add600ae/2024-2025/Dortmund-Stats
2,12.0,26,2,0,5,4,26.3,0.33,4.3,0.36,48,156,30.8,399,45,32.8,32.2,88,28.4,29.3,174,11,6.3,8,0.67,11.8,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
2,8.0,13,2,0,1,4,13.7,0.25,4.7,0.58,22,73,30.1,227,29,22.9,29.5,62,33.9,33.7,96,5,5.2,2,0.25,9.3,/en/squads/9024a00a/Girona-Stats
2,15.3,16,1,0,2,1,18.2,0.25,3.2,0.21,67,159,42.1,564,67,22.3,27.7,119,27.7,28.5,233,14,6.0,3,0.2,8.1,/en/squads/d609edc0/2024-2025/Internazionale-Stats
2,10.3,11,1,0,0,0,15.9,0.3,4.9,0.48,39,109,35.8,280,58,26.4,28.4,62,56.5,41.8,133,8,6.0,5,0.48,8.3,/en/squads/e0652b02/2024-2025/Juventus-Stats
2,10.0,12,1,0,0,0,12.2,0.33,0.2,0.02,40,97,41.2,252,36,27.8,28.9,75,36.0,32.0,100,6,6.0,10,1.0,16.2,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
1,10.0,13,2,0,3,0,15.4,0.33,2.4,0.24,44,125,35.2,257,34,39.3,32.7,82,29.3,28.3,112,5,4.5,3,0.3,9.7,/en/squads/cb188c0c/Lille-Stats
2,10.3,6,0,0,0,0,12.5,0.27,6.5,0.63,45,120,37.5,323,37,30.3,32.4,72,30.6,30.5,104,6,5.8,14,1.35,14.0,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
2,10.0,20,2,0,0,0,16.7,0.32,-3.3,-0.33,18,45,40.0,252,36,14.7,23.2,41,19.5,28.6,64,5,7.8,19,1.9,18.2,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
2,10.0,13,1,0,1,0,12.0,0.22,-1.0,-0.1,26,73,35.6,297,38,17.8,26.2,71,28.2,29.3,100,7,7.0,17,1.7,17.7,/en/squads/dc56fe14/Milan-Stats
2,10.0,17,3,0,0,0,18.5,0.33,1.5,0.15,18,87,20.7,222,62,23.4,30.5,72,48.6,43.5,105,7,6.7,3,0.3,11.1,/en/squads/fd6114db/2024-2025/Monaco-Stats
2,12.3,24,1,0,2,0,22.4,0.34,-1.6,-0.13,73,163,44.8,429,53,29.6,31.2,77,46.8,38.9,158,13,8.2,11,0.89,12.4,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
2,17.3,15,0,1,2,1,17.2,0.32,3.2,0.18,46,160,28.8,400,63,26.8,28.7,101,52.5,37.2,178,16,9.0,18,1.04,10.9,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
2,8.0,15,0,0,2,1,11.7,0.31,-2.3,-0.29,14,51,27.5,241,38,17.4,26.9,70,12.9,25.0,112,6,5.4,5,0.63,21.1,/en/squads/acbb6a5b/RB-Leipzig-Stats
2,8.0,27,1,1,0,0,20.6,0.35,-6.4,-0.81,28,93,30.1,186,27,38.7,30.7,63,33.3,30.1,105,5,4.8,17,2.13,15.5,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
2,14.3,22,3,2,4,0,25.2,0.29,3.2,0.22,22,118,18.6,377,70,27.6,30.6,87,16.1,20.9,152,21,13.8,4,0.28,7.3,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
3,8.0,22,1,2,4,0,18.8,0.39,-3.2,-0.41,43,119,36.1,168,27,44.0,30.6,76,59.2,43.6,102,4,3.9,1,0.13,8.0,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
