players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
24,50.9,14.0,8123,677,2095,3635,2465,407,8118,268,122,45.5,126,47.0,4318,22692,12043,255,177,104,160,134,5578,523,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,47.3,12.0,6680,698,2159,3008,1579,287,6678,222,101,45.5,107,48.2,3779,21646,10829,173,143,60,149,125,4479,394,/en/squads/8602292d/Aston-Villa-Stats
24,53.3,10.0,6491,481,1615,2705,2244,321,6488,211,114,54.0,80,37.9,4696,24834,12688,278,215,75,132,85,4612,515,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,47.4,10.3,6707,547,2000,3055,1711,234,6707,154,67,43.5,72,46.8,4462,21619,10891,210,173,55,130,73,4762,419,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,61.3,14.3,10369,839,2575,5187,2693,392,10366,318,149,46.9,142,44.7,5900,29199,15258,290,231,95,169,127,7595,738,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,64.7,14.0,11268,633,2207,5302,3847,584,11263,286,130,45.5,141,49.3,7248,36202,18253,376,306,122,183,131,8354,889,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,44.7,12.0,6869,803,2492,2915,1518,293,6865,188,78,41.5,96,51.1,4161,19477,9882,207,140,58,176,116,4250,387,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,49.3,8.0,4516,488,1611,1985,966,163,4516,116,55,47.4,51,44.0,2668,13700,6418,131,75,39,121,73,2808,266,/en/squads/1d8099f8/Bologna-Stats
23,41.8,10.0,5312,640,1784,2353,1234,166,5312,172,79,45.9,75,43.6,2533,14188,6664,135,83,27,122,88,3182,266,/en/squads/fb08dbb3/Brest-Stats
24,50.9,10.0,6565,803,2458,2856,1307,181,6563,146,67,45.9,73,50.0,3893,17752,9207,147,100,39,125,67,4607,335,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
21,43.8,12.0,6963,892,2728,3026,1259,178,6961,133,53,39.8,68,51.1,3565,16816,8137,143,92,39,132,64,4918,348,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
25,37.9,8.0,3921,631,1623,1582,764,122,3921,135,68,50.4,56,41.5,1998,11559,5528,120,92,25,127,83,2273,183,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
