players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
24,14.0,30,179,76,42.5,12.79,5.43,0.16,0.37,14.7,5,2,5,27.0,23.0,0.13,3.0,5.0,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,12.0,22,152,61,40.1,12.67,5.08,0.14,0.34,17.4,7,1,2,18.8,17.2,0.12,3.2,3.8,/en/squads/8602292d/Aston-Villa-Stats
24,10.0,22,171,61,35.7,17.1,6.1,0.12,0.34,15.0,3,1,3,24.5,22.0,0.13,-2.5,-1.0,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,10.3,22,123,48,39.0,11.9,4.65,0.18,0.46,16.9,2,0,0,14.5,14.5,0.12,7.5,7.5,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,14.3,40,221,93,42.1,15.42,6.49,0.17,0.4,16.7,7,3,3,32.2,29.9,0.14,7.8,7.1,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,14.0,31,282,101,35.8,20.14,7.21,0.09,0.26,17.0,5,5,5,33.6,30.0,0.11,-2.6,-4.0,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,12.0,20,167,64,38.3,13.92,5.33,0.1,0.25,17.1,4,4,4,23.6,20.5,0.12,-3.6,-4.5,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,8.0,4,94,27,28.7,11.75,3.38,0.04,0.15,17.8,3,0,0,8.1,8.1,0.09,-4.1,-4.1,/en/squads/1d8099f8/Bologna-Stats
23,10.0,9,131,38,29.0,13.1,3.8,0.07,0.24,18.4,5,0,0,11.4,11.4,0.09,-2.4,-2.4,/en/squads/fb08dbb3/Brest-Stats
24,10.0,14,94,37,39.4,9.4,3.7,0.14,0.35,16.1,2,1,2,14.5,13.0,0.14,-0.5,0.0,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
