players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
21,12.0,11,121,43,35.5,10.08,3.58,0.07,0.21,19.6,1,2,2,11.5,9.9,0.09,-0.5,-0.9,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
25,8.0,12,75,24,32.0,9.37,3.0,0.16,0.5,18.4,3,0,0,7.0,7.0,0.1,5.0,5.0,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
25,14.0,31,191,75,39.3,13.64,5.36,0.13,0.32,16.3,2,7,8,27.8,21.4,0.11,3.2,2.6,/en/squads/add600ae/2024-2025/Dortmund-Stats
29,12.0,19,121,44,36.4,10.08,3.67,0.14,0.39,19.4,3,2,3,13.3,10.9,0.09,5.7,6.1,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
26,8.0,5,77,28,36.4,9.62,3.5,0.06,0.18,17.2,1,0,2,9.6,8.0,0.1,-4.6,-3.0,/en/squads/9024a00a/Girona-Stats
25,15.3,25,175,57,32.6,11.41,3.72,0.11,0.35,17.4,5,5,7,24.3,18.8,0.11,0.7,1.2,/en/squads/d609edc0/2024-2025/Internazionale-Stats
26,10.3,12,115,37,32.2,11.13,3.58,0.1,0.3,17.5,2,1,1,11.8,11.0,0.1,0.2,0.0,/en/squads/e0652b02/2024-2025/Juventus-Stats
25,10.0,14,151,55,36.4,15.1,5.5,0.09,0.24,17.8,5,1,1,15.1,14.5,0.1,-1.1,-1.5,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
25,10.0,17,93,36,38.7,9.3,3.6,0.16,0.42,16.4,3,2,2,11.5,10.0,0.11,5.5,5.0,/en/squads/cb188c0c/Lille-Stats
27,10.3,18,143,57,39.9,13.84,5.52,0.11,0.28,16.4,3,2,3,20.7,18.3,0.13,-2.7,-2.3,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
26,10.0,20,167,62,37.1,16.7,6.2,0.1,0.27,16.4,4,3,4,21.0,18.0,0.11,-1.0,-1.0,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
26,10.0,15,149,59,39.6,14.9,5.9,0.1,0.25,18.7,8,0,0,13.8,13.8,0.09,1.2,1.2,/en/squads/dc56fe14/Milan-Stats
25,10.0,16,118,43,36.4,11.8,4.3,0.13,0.35,17.0,4,1,1,13.3,12.6,0.11,2.7,2.4,/en/squads/fd6114db/2024-2025/Monaco-Stats
28,12.3,22,206,76,36.9,16.7,6.16,0.1,0.28,17.9,4,1,1,19.3,18.5,0.09,2.7,2.5,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
22,17.3,37,319,115,36.1,18.4,6.63,0.11,0.31,17.5,6,1,2,35.6,34.1,0.11,1.4,1.9,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
23,8.0,8,102,36,35.3,12.75,4.5,0.07,0.19,17.7,5,1,1,12.3,11.6,0.12,-4.3,-4.6,/en/squads/acbb6a5b/RB-Leipzig-Stats
24,8.0,5,74,22,29.7,9.25,2.75,0.07,0.23,18.3,1,0,1,6.6,5.9,0.08,-1.6,-0.9,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
23,14.3,29,209,83,39.7,14.58,5.79,0.13,0.34,17.3,5,1,3,28.0,25.6,0.13,1.0,2.4,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
24,8.0,13,93,30,32.3,11.62,3.75,0.13,0.4,17.8,1,1,1,9.3,8.5,0.09,3.7,3.5,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
21,8.0,8,74,20,27.0,9.25,2.5,0.09,0.35,19.0,1,1,2,8.3,6.7,0.09,-0.3,0.3,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
23,8.0,7,61,18,29.5,7.62,2.25,0.1,0.33,18.8,3,1,1,7.0,6.2,0.1,0.0,-0.2,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
26,8.0,6,75,21,28.0,9.37,2.62,0.08,0.29,17.7,1,0,0,6.3,6.3,0.08,-0.3,-0.3,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
27,10.0,13,122,41,33.6,12.2,4.1,0.09,0.27,18.3,5,2,2,12.8,11.3,0.09,0.2,-0.3,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
23,8.0,4,67,24,35.8,8.37,3.0,0.06,0.17,19.1,1,0,0,6.2,6.2,0.1,-2.2,-2.2,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
23,8.0,12,138,43,31.2,17.25,5.37,0.09,0.28,17.5,6,0,1,14.1,13.3,0.1,-2.1,-1.3,/en/squads/598bc722/Stuttgart-Stats
24,8.0,3,81,18,22.2,10.13,2.25,0.04,0.17,19.5,2,0,0,5.6,5.6,0.07,-2.6,-2.6,/en/squads/4b682260/2024-2025/Young-Boys-Stats
