from,rank,team,country,level,elo,to,season
2024-08-03,56.0,Frankfurt,GER,1,1696.98669434,2024-08-07,2024-2025
2024-08-08,55.0,Frankfurt,GER,1,1696.98669434,2024-08-11,2024-2025
2024-08-12,54.0,Frankfurt,GER,1,1696.98669434,2024-08-13,2024-2025
2024-08-14,55.0,Frankfurt,GER,1,1696.98669434,2024-08-17,2024-2025
2024-08-18,53.0,Frankfurt,GER,1,1696.98669434,2024-08-18,2024-2025
2024-08-19,54.0,Frankfurt,GER,1,1696.98669434,2024-08-20,2024-2025
2024-08-21,55.0,Frankfurt,GER,1,1696.98669434,2024-08-22,2024-2025
2024-08-23,55.0,Frankfurt,GER,1,1697.64892578,2024-08-24,2024-2025
2024-08-25,57.0,Frankfurt,GER,1,1693.56066895,2024-08-25,2024-2025
2024-08-26,56.0,Frankfurt,GER,1,1693.56066895,2024-08-27,2024-2025
2024-08-28,54.0,Frankfurt,GER,1,1693.56066895,2024-08-28,2024-2025
2024-08-29,55.0,Frankfurt,GER,1,1693.56066895,2024-08-29,2024-2025
2024-08-30,52.0,Frankfurt,GER,1,1693.96630859,2024-08-30,2024-2025
2024-08-31,53.0,Frankfurt,GER,1,1693.96630859,2024-08-31,2024-2025
2024-09-01,52.0,Frankfurt,GER,1,1702.8104248,2024-09-01,2024-2025
2024-09-02,51.0,Frankfurt,GER,1,1702.8104248,2024-09-14,2024-2025
2024-09-15,50.0,Frankfurt,GER,1,1711.29772949,2024-09-17,2024-2025
2024-09-18,50.0,Frankfurt,GER,1,1711.07141113,2024-09-18,2024-2025
2024-09-19,48.0,Frankfurt,GER,1,1714.56726074,2024-09-19,2024-2025
2024-09-20,49.0,Frankfurt,GER,1,1716.02404785,2024-09-21,2024-2025
2024-09-22,45.0,Frankfurt,GER,1,1723.2689209,2024-09-22,2024-2025
2024-09-23,46.0,Frankfurt,GER,1,1723.2689209,2024-09-25,2024-2025
2024-09-26,46.0,Frankfurt,GER,1,1723.53674316,2024-09-26,2024-2025
2024-09-27,48.0,Frankfurt,GER,1,1716.8963623,2024-09-28,2024-2025
2024-09-29,47.0,Frankfurt,GER,1,1716.8963623,2024-09-29,2024-2025
2024-09-30,45.0,Frankfurt,GER,1,1724.3203125,2024-10-01,2024-2025
2024-10-02,46.0,Frankfurt,GER,1,1725.69238281,2024-10-02,2024-2025
2024-10-03,48.0,Frankfurt,GER,1,1719.14599609,2024-10-03,2024-2025
2024-10-04,45.0,Frankfurt,GER,1,1730.84570312,2024-10-05,2024-2025
2024-10-06,46.0,Frankfurt,GER,1,1730.84570312,2024-10-06,2024-2025
2024-10-07,45.0,Frankfurt,GER,1,1734.63549805,2024-10-19,2024-2025
2024-10-20,44.0,Frankfurt,GER,1,1731.98242188,2024-10-21,2024-2025
2024-10-22,43.0,Frankfurt,GER,1,1731.98242188,2024-10-22,2024-2025
2024-10-23,42.0,Frankfurt,GER,1,1733.80847168,2024-10-23,2024-2025
2024-10-24,48.0,Frankfurt,GER,1,1726.36694336,2024-10-24,2024-2025
2024-10-25,49.0,Frankfurt,GER,1,1727.00170898,2024-10-26,2024-2025
2024-10-27,47.0,Frankfurt,GER,1,1727.00170898,2024-10-27,2024-2025
2024-10-28,45.0,Frankfurt,GER,1,1726.86242676,2024-11-02,2024-2025
2024-11-03,44.0,Frankfurt,GER,1,1733.66540527,2024-11-04,2024-2025
2024-11-05,43.0,Frankfurt,GER,1,1733.66540527,2024-11-05,2024-2025
2024-11-06,46.0,Frankfurt,GER,1,1726.43432617,2024-11-06,2024-2025
2024-11-07,45.0,Frankfurt,GER,1,1723.91247559,2024-11-07,2024-2025
2024-11-08,42.0,Frankfurt,GER,1,1734.36950684,2024-11-09,2024-2025
2024-11-10,40.0,Frankfurt,GER,1,1734.36950684,2024-11-10,2024-2025
2024-11-11,37.0,Frankfurt,GER,1,1745.11743164,2024-11-23,2024-2025
2024-11-24,37.0,Frankfurt,GER,1,1750.10595703,2024-11-24,2024-2025
2024-11-25,36.0,Frankfurt,GER,1,1750.10595703,2024-11-26,2024-2025
2024-11-27,36.0,Frankfurt,GER,1,1751.78259277,2024-11-27,2024-2025
2024-11-28,36.0,Frankfurt,GER,1,1746.54992676,2024-11-28,2024-2025
2024-11-29,35.0,Frankfurt,GER,1,1748.55883789,2024-11-30,2024-2025
2024-12-01,36.0,Frankfurt,GER,1,1748.55883789,2024-12-01,2024-2025
2024-12-02,32.0,Frankfurt,GER,1,1760.11853027,2024-12-07,2024-2025
2024-12-08,34.0,Frankfurt,GER,1,1755.13427734,2024-12-08,2024-2025
2024-12-09,36.0,Frankfurt,GER,1,1755.13427734,2024-12-10,2024-2025
2024-12-11,36.0,Frankfurt,GER,1,1756.1776123,2024-12-11,2024-2025
2024-12-12,38.0,Frankfurt,GER,1,1754.6126709,2024-12-12,2024-2025
2024-12-13,45.0,Frankfurt,GER,1,1740.61157227,2024-12-15,2024-2025
2024-12-16,44.0,Frankfurt,GER,1,1734.16088867,2024-12-16,2024-2025
2024-12-17,45.0,Frankfurt,GER,1,1734.16088867,2024-12-19,2024-2025
2024-12-20,45.0,Frankfurt,GER,1,1732.35510254,2024-12-21,2024-2025
2024-12-22,48.0,Frankfurt,GER,1,1718.16870117,2024-12-26,2024-2025
2024-12-27,49.0,Frankfurt,GER,1,1718.16870117,2024-12-29,2024-2025
2024-12-30,48.0,Frankfurt,GER,1,1718.16870117,2024-12-31,2024-2025
2025-01-01,48.0,Frankfurt,GER,1,1718.16870117,2025-01-05,2024-2025
2025-01-06,47.0,Frankfurt,GER,1,1718.16870117,2025-01-11,2024-2025
2025-01-12,48.0,Frankfurt,GER,1,1723.70214844,2025-01-14,2024-2025
2025-01-15,46.0,Frankfurt,GER,1,1733.55761719,2025-01-17,2024-2025
2025-01-18,43.0,Frankfurt,GER,1,1745.05371094,2025-01-18,2024-2025
2025-01-19,41.0,Frankfurt,GER,1,1745.05371094,2025-01-21,2024-2025
2025-01-22,43.0,Frankfurt,GER,1,1741.94506836,2025-01-22,2024-2025
2025-01-23,43.0,Frankfurt,GER,1,1738.78674316,2025-01-23,2024-2025
2025-01-24,41.0,Frankfurt,GER,1,1740.22131348,2025-01-26,2024-2025
2025-01-27,43.0,Frankfurt,GER,1,1737.57543945,2025-01-29,2024-2025
2025-01-30,44.0,Frankfurt,GER,1,1732.8392334,2025-01-30,2024-2025
2025-01-31,46.0,Frankfurt,GER,1,1727.55908203,2025-02-02,2024-2025
2025-02-03,44.0,Frankfurt,GER,1,1724.45410156,2025-02-03,2024-2025
2025-02-04,43.0,Frankfurt,GER,1,1724.45410156,2025-02-08,2024-2025
2025-02-09,46.0,Frankfurt,GER,1,1723.73779297,2025-02-09,2024-2025
2025-02-10,47.0,Frankfurt,GER,1,1723.73779297,2025-02-11,2024-2025
2025-02-12,43.0,Frankfurt,GER,1,1729.51196289,2025-02-12,2024-2025
2025-02-13,43.0,Frankfurt,GER,1,1730.23388672,2025-02-13,2024-2025
2025-02-14,42.0,Frankfurt,GER,1,1733.02197266,2025-02-16,2024-2025
2025-02-17,43.0,Frankfurt,GER,1,1736.67370605,2025-02-18,2024-2025
2025-02-19,43.0,Frankfurt,GER,1,1736.76330566,2025-02-19,2024-2025
2025-02-20,43.0,Frankfurt,GER,1,1737.41210938,2025-02-20,2024-2025
2025-02-21,44.0,Frankfurt,GER,1,1732.05737305,2025-02-23,2024-2025
2025-02-24,45.0,Frankfurt,GER,1,1725.84777832,2025-03-01,2024-2025
2025-03-02,50.0,Frankfurt,GER,1,1717.61010742,2025-03-02,2024-2025
2025-03-03,49.0,Frankfurt,GER,1,1717.61010742,2025-03-04,2024-2025
2025-03-05,50.0,Frankfurt,GER,1,1716.89074707,2025-03-05,2024-2025
2025-03-06,51.0,Frankfurt,GER,1,1716.89074707,2025-03-06,2024-2025
2025-03-07,43.0,Frankfurt,GER,1,1727.17114258,2025-03-07,2024-2025
2025-03-08,44.0,Frankfurt,GER,1,1727.17114258,2025-03-09,2024-2025
2025-03-10,49.0,Frankfurt,GER,1,1714.37805176,2025-03-11,2024-2025
2025-03-12,50.0,Frankfurt,GER,1,1714.37805176,2025-03-12,2024-2025
2025-03-13,46.0,Frankfurt,GER,1,1718.51025391,2025-03-13,2024-2025
2025-03-14,43.0,Frankfurt,GER,1,1734.69238281,2025-03-15,2024-2025
2025-03-16,44.0,Frankfurt,GER,1,1734.69238281,2025-03-16,2024-2025
2025-03-17,42.0,Frankfurt,GER,1,1741.359375,2025-03-29,2024-2025
2025-03-30,39.0,Frankfurt,GER,1,1747.68432617,2025-03-30,2024-2025
2025-03-31,40.0,Frankfurt,GER,1,1747.68432617,2025-04-05,2024-2025
2025-04-06,43.0,Frankfurt,GER,1,1734.64648438,2025-04-08,2024-2025
2025-04-09,44.0,Frankfurt,GER,1,1732.46130371,2025-04-09,2024-2025
2025-04-10,44.0,Frankfurt,GER,1,1730.70947266,2025-04-10,2024-2025
2025-04-11,43.0,Frankfurt,GER,1,1735.43310547,2025-04-13,2024-2025
2025-04-14,43.0,Frankfurt,GER,1,1740.76257324,2025-04-15,2024-2025
2025-04-16,43.0,Frankfurt,GER,1,1740.92590332,2025-04-16,2024-2025
2025-04-17,43.0,Frankfurt,GER,1,1740.59545898,2025-04-17,2024-2025
2025-04-18,46.0,Frankfurt,GER,1,1725.93054199,2025-04-20,2024-2025
2025-04-21,46.0,Frankfurt,GER,1,1725.14306641,2025-04-26,2024-2025
2025-04-27,43.0,Frankfurt,GER,1,1739.73693848,2025-05-04,2024-2025
2025-05-05,43.0,Frankfurt,GER,1,1739.47521973,2025-05-10,2024-2025
2025-05-11,42.0,Frankfurt,GER,1,1739.47521973,2025-05-11,2024-2025
2025-05-12,46.0,Frankfurt,GER,1,1734.56030273,2025-05-17,2024-2025
2025-05-18,43.0,Frankfurt,GER,1,1745.75439453,2025-05-18,2024-2025
2025-05-19,42.0,Frankfurt,GER,1,1745.75439453,2025-05-25,2024-2025
2025-05-26,43.0,Frankfurt,GER,1,1745.75439453,2025-05-28,2024-2025
2025-05-29,42.0,Frankfurt,GER,1,1745.75439453,2025-07-31,2024-2025
2024-08-07,10.0,Paris SG,FRA,1,1878.52502441,2024-08-13,2024-2025
2024-08-14,10.0,Paris SG,FRA,1,1880.65527344,2024-08-16,2024-2025
2024-08-17,9.0,Paris SG,FRA,1,1884.21508789,2024-08-17,2024-2025
2024-08-18,10.0,Paris SG,FRA,1,1884.21508789,2024-08-20,2024-2025
2024-08-21,9.0,Paris SG,FRA,1,1887.15917969,2024-08-22,2024-2025
2024-08-23,9.0,Paris SG,FRA,1,1887.5982666,2024-08-23,2024-2025
2024-08-24,8.0,Paris SG,FRA,1,1893.40515137,2024-08-27,2024-2025
2024-08-28,9.0,Paris SG,FRA,1,1893.40515137,2024-08-28,2024-2025
2024-08-29,9.0,Paris SG,FRA,1,1893.70947266,2024-08-29,2024-2025
2024-08-30,9.0,Paris SG,FRA,1,1886.70507812,2024-09-01,2024-2025
2024-09-02,9.0,Paris SG,FRA,1,1895.17529297,2024-09-14,2024-2025
2024-09-15,8.0,Paris SG,FRA,1,1899.04467773,2024-09-15,2024-2025
2024-09-16,9.0,Paris SG,FRA,1,1899.04467773,2024-09-17,2024-2025
2024-09-18,9.0,Paris SG,FRA,1,1896.88146973,2024-09-18,2024-2025
2024-09-19,9.0,Paris SG,FRA,1,1901.60705566,2024-09-19,2024-2025
2024-09-20,8.0,Paris SG,FRA,1,1906.53039551,2024-09-21,2024-2025
2024-09-22,8.0,Paris SG,FRA,1,1900.85827637,2024-09-22,2024-2025
2024-09-23,9.0,Paris SG,FRA,1,1900.85827637,2024-09-25,2024-2025
2024-09-26,9.0,Paris SG,FRA,1,1900.24719238,2024-09-26,2024-2025
2024-09-27,9.0,Paris SG,FRA,1,1902.77307129,2024-09-27,2024-2025
2024-09-28,9.0,Paris SG,FRA,1,1906.60302734,2024-09-28,2024-2025
2024-09-29,8.0,Paris SG,FRA,1,1906.60302734,2024-10-01,2024-2025
2024-10-02,8.0,Paris SG,FRA,1,1905.08166504,2024-10-02,2024-2025
2024-10-03,8.0,Paris SG,FRA,1,1907.69396973,2024-10-03,2024-2025
2024-10-04,8.0,Paris SG,FRA,1,1909.59460449,2024-10-06,2024-2025
2024-10-07,8.0,Paris SG,FRA,1,1905.28027344,2024-10-19,2024-2025
2024-10-20,8.0,Paris SG,FRA,1,1908.03186035,2024-10-22,2024-2025
2024-10-23,8.0,Paris SG,FRA,1,1902.63427734,2024-10-23,2024-2025
2024-10-24,7.0,Paris SG,FRA,1,1909.765625,2024-10-24,2024-2025
2024-10-25,9.0,Paris SG,FRA,1,1899.89416504,2024-10-27,2024-2025
2024-10-28,8.0,Paris SG,FRA,1,1909.6003418,2024-11-02,2024-2025
2024-11-03,8.0,Paris SG,FRA,1,1912.52563477,2024-11-05,2024-2025
2024-11-06,7.0,Paris SG,FRA,1,1915.53771973,2024-11-06,2024-2025
2024-11-07,9.0,Paris SG,FRA,1,1901.2824707,2024-11-07,2024-2025
2024-11-08,10.0,Paris SG,FRA,1,1899.57080078,2024-11-09,2024-2025
2024-11-10,8.0,Paris SG,FRA,1,1901.8371582,2024-11-10,2024-2025
2024-11-11,9.0,Paris SG,FRA,1,1901.8371582,2024-11-22,2024-2025
2024-11-23,8.0,Paris SG,FRA,1,1905.70800781,2024-11-23,2024-2025
2024-11-24,9.0,Paris SG,FRA,1,1905.70800781,2024-11-26,2024-2025
2024-11-27,10.0,Paris SG,FRA,1,1897.10864258,2024-11-27,2024-2025
2024-11-28,10.0,Paris SG,FRA,1,1896.5859375,2024-11-28,2024-2025
2024-11-29,10.0,Paris SG,FRA,1,1891.9967041,2024-11-30,2024-2025
2024-12-01,10.0,Paris SG,FRA,1,1883.74572754,2024-12-04,2024-2025
2024-12-05,11.0,Paris SG,FRA,1,1883.74572754,2024-12-06,2024-2025
2024-12-07,11.0,Paris SG,FRA,1,1877.82250977,2024-12-10,2024-2025
2024-12-11,11.0,Paris SG,FRA,1,1887.77685547,2024-12-11,2024-2025
2024-12-12,11.0,Paris SG,FRA,1,1887.05908203,2024-12-12,2024-2025
2024-12-13,11.0,Paris SG,FRA,1,1886.71704102,2024-12-15,2024-2025
2024-12-16,11.0,Paris SG,FRA,1,1891.8157959,2024-12-18,2024-2025
2024-12-19,9.0,Paris SG,FRA,1,1900.93969727,2024-12-20,2024-2025
2024-12-21,10.0,Paris SG,FRA,1,1900.93969727,2024-12-21,2024-2025
2024-12-22,9.0,Paris SG,FRA,1,1900.93969727,2024-12-31,2024-2025
2025-01-01,9.0,Paris SG,FRA,1,1900.93969727,2025-01-12,2024-2025
2025-01-13,9.0,Paris SG,FRA,1,1901.87341309,2025-01-18,2024-2025
2025-01-19,8.0,Paris SG,FRA,1,1906.58349609,2025-01-21,2024-2025
2025-01-22,7.0,Paris SG,FRA,1,1908.32824707,2025-01-22,2024-2025
2025-01-23,6.0,Paris SG,FRA,1,1915.9329834,2025-01-23,2024-2025
2025-01-24,6.0,Paris SG,FRA,1,1912.61645508,2025-01-25,2024-2025
2025-01-26,7.0,Paris SG,FRA,1,1904.9934082,2025-01-29,2024-2025
2025-01-30,6.0,Paris SG,FRA,1,1919.70544434,2025-01-30,2024-2025
2025-01-31,6.0,Paris SG,FRA,1,1915.50244141,2025-02-01,2024-2025
2025-02-02,6.0,Paris SG,FRA,1,1922.15893555,2025-02-07,2024-2025
2025-02-08,6.0,Paris SG,FRA,1,1927.69165039,2025-02-11,2024-2025
2025-02-12,5.0,Paris SG,FRA,1,1930.88476562,2025-02-12,2024-2025
2025-02-13,5.0,Paris SG,FRA,1,1928.37097168,2025-02-15,2024-2025
2025-02-16,6.0,Paris SG,FRA,1,1931.24133301,2025-02-18,2024-2025
2025-02-19,6.0,Paris SG,FRA,1,1930.65856934,2025-02-19,2024-2025
2025-02-20,5.0,Paris SG,FRA,1,1934.3762207,2025-02-23,2024-2025
2025-02-24,5.0,Paris SG,FRA,1,1938.5670166,2025-03-01,2024-2025
2025-03-02,5.0,Paris SG,FRA,1,1944.99291992,2025-03-04,2024-2025
2025-03-05,4.0,Paris SG,FRA,1,1945.78710938,2025-03-05,2024-2025
2025-03-06,5.0,Paris SG,FRA,1,1937.73779297,2025-03-06,2024-2025
2025-03-07,5.0,Paris SG,FRA,1,1939.03491211,2025-03-08,2024-2025
2025-03-09,5.0,Paris SG,FRA,1,1943.81384277,2025-03-11,2024-2025
2025-03-12,4.0,Paris SG,FRA,1,1956.39050293,2025-03-12,2024-2025
2025-03-13,5.0,Paris SG,FRA,1,1951.81616211,2025-03-13,2024-2025
2025-03-14,4.0,Paris SG,FRA,1,1953.05114746,2025-03-16,2024-2025
2025-03-17,5.0,Paris SG,FRA,1,1956.59875488,2025-03-29,2024-2025
2025-03-30,5.0,Paris SG,FRA,1,1959.07470703,2025-04-05,2024-2025
2025-04-06,3.0,Paris SG,FRA,1,1959.70422363,2025-04-08,2024-2025
2025-04-09,4.0,Paris SG,FRA,1,1959.70422363,2025-04-09,2024-2025
2025-04-10,3.0,Paris SG,FRA,1,1965.79760742,2025-04-10,2024-2025
2025-04-11,3.0,Paris SG,FRA,1,1964.96142578,2025-04-15,2024-2025
2025-04-16,3.0,Paris SG,FRA,1,1966.00109863,2025-04-17,2024-2025
2025-04-18,4.0,Paris SG,FRA,1,1963.83410645,2025-04-19,2024-2025
2025-04-20,4.0,Paris SG,FRA,1,1964.49377441,2025-04-20,2024-2025
2025-04-21,3.0,Paris SG,FRA,1,1964.49377441,2025-04-22,2024-2025
2025-04-23,4.0,Paris SG,FRA,1,1956.85778809,2025-04-25,2024-2025
2025-04-26,7.0,Paris SG,FRA,1,1934.97387695,2025-04-29,2024-2025
2025-04-30,4.0,Paris SG,FRA,1,1947.74511719,2025-05-01,2024-2025
2025-05-02,5.0,Paris SG,FRA,1,1947.74511719,2025-05-03,2024-2025
2025-05-04,7.0,Paris SG,FRA,1,1935.11254883,2025-05-07,2024-2025
2025-05-08,5.0,Paris SG,FRA,1,1946.46740723,2025-05-10,2024-2025
2025-05-11,4.0,Paris SG,FRA,1,1948.37597656,2025-05-15,2024-2025
2025-05-16,5.0,Paris SG,FRA,1,1948.37597656,2025-05-17,2024-2025
2025-05-18,5.0,Paris SG,FRA,1,1950.22802734,2025-05-18,2024-2025
2025-05-19,4.0,Paris SG,FRA,1,1950.22802734,2025-05-25,2024-2025
2025-05-26,5.0,Paris SG,FRA,1,1950.22802734,2025-05-31,2024-2025
2025-06-01,3.0,Paris SG,FRA,1,1974.84509277,2025-08-06,2024-2025
2024-08-02,40.0,Brugge,BEL,1,1728.80615234,2024-08-04,2024-2025
2024-08-05,46.0,Brugge,BEL,1,1715.04443359,2024-08-07,2024-2025
2024-08-08,49.0,Brugge,BEL,1,1711.73327637,2024-08-08,2024-2025
2024-08-09,51.0,Brugge,BEL,1,1707.0300293,2024-08-11,2024-2025
2024-08-12,56.0,Brugge,BEL,1,1696.16418457,2024-08-13,2024-2025
2024-08-14,59.0,Brugge,BEL,1,1693.22070312,2024-08-15,2024-2025
2024-08-16,58.0,Brugge,BEL,1,1694.11279297,2024-08-17,2024-2025
2024-08-18,56.0,Brugge,BEL,1,1694.11279297,2024-08-18,2024-2025
2024-08-19,53.0,Brugge,BEL,1,1698.2668457,2024-08-22,2024-2025
2024-08-23,53.0,Brugge,BEL,1,1700.47851562,2024-08-24,2024-2025
2024-08-25,52.0,Brugge,BEL,1,1700.47851562,2024-08-25,2024-2025
2024-08-26,51.0,Brugge,BEL,1,1702.99707031,2024-08-27,2024-2025
2024-08-28,50.0,Brugge,BEL,1,1702.99707031,2024-08-28,2024-2025
2024-08-29,50.0,Brugge,BEL,1,1703.40307617,2024-08-29,2024-2025
2024-08-30,50.0,Brugge,BEL,1,1703.31665039,2024-08-30,2024-2025
2024-08-31,51.0,Brugge,BEL,1,1703.31665039,2024-09-01,2024-2025
2024-09-02,49.0,Brugge,BEL,1,1708.75244141,2024-09-14,2024-2025
2024-09-15,49.0,Brugge,BEL,1,1712.47546387,2024-09-18,2024-2025
2024-09-19,53.0,Brugge,BEL,1,1698.19519043,2024-09-19,2024-2025
2024-09-20,54.0,Brugge,BEL,1,1698.19519043,2024-09-20,2024-2025
2024-09-21,56.0,Brugge,BEL,1,1698.19519043,2024-09-21,2024-2025
2024-09-22,55.0,Brugge,BEL,1,1698.19519043,2024-09-22,2024-2025
2024-09-23,59.0,Brugge,BEL,1,1682.17822266,2024-09-25,2024-2025
2024-09-26,59.0,Brugge,BEL,1,1683.40258789,2024-09-26,2024-2025
2024-09-27,59.0,Brugge,BEL,1,1681.66955566,2024-09-27,2024-2025
2024-09-28,60.0,Brugge,BEL,1,1677.87402344,2024-09-29,2024-2025
2024-09-30,61.0,Brugge,BEL,1,1677.87402344,2024-10-02,2024-2025
2024-10-03,57.0,Brugge,BEL,1,1688.0090332,2024-10-03,2024-2025
2024-10-04,55.0,Brugge,BEL,1,1694.48608398,2024-10-05,2024-2025
2024-10-06,56.0,Brugge,BEL,1,1694.48608398,2024-10-06,2024-2025
2024-10-07,59.0,Brugge,BEL,1,1691.50561523,2024-10-19,2024-2025
2024-10-20,57.0,Brugge,BEL,1,1695.47790527,2024-10-22,2024-2025
2024-10-23,59.0,Brugge,BEL,1,1689.11608887,2024-10-23,2024-2025
2024-10-24,58.0,Brugge,BEL,1,1689.11608887,2024-10-24,2024-2025
2024-10-25,60.0,Brugge,BEL,1,1682.67431641,2024-10-25,2024-2025
2024-10-26,61.0,Brugge,BEL,1,1682.67431641,2024-10-27,2024-2025
2024-10-28,61.0,Brugge,BEL,1,1688.00378418,2024-11-02,2024-2025
2024-11-03,57.0,Brugge,BEL,1,1692.36889648,2024-11-03,2024-2025
2024-11-04,58.0,Brugge,BEL,1,1692.36889648,2024-11-06,2024-2025
2024-11-07,54.0,Brugge,BEL,1,1704.92456055,2024-11-07,2024-2025
2024-11-08,54.0,Brugge,BEL,1,1704.06518555,2024-11-10,2024-2025
2024-11-11,56.0,Brugge,BEL,1,1696.8182373,2024-11-23,2024-2025
2024-11-24,53.0,Brugge,BEL,1,1703.09899902,2024-11-24,2024-2025
2024-11-25,54.0,Brugge,BEL,1,1703.09899902,2024-11-26,2024-2025
2024-11-27,55.0,Brugge,BEL,1,1703.09899902,2024-11-27,2024-2025
2024-11-28,53.0,Brugge,BEL,1,1706.43164062,2024-11-28,2024-2025
2024-11-29,52.0,Brugge,BEL,1,1707.77502441,2024-11-29,2024-2025
2024-11-30,53.0,Brugge,BEL,1,1707.77502441,2024-11-30,2024-2025
2024-12-01,53.0,Brugge,BEL,1,1710.0111084,2024-12-01,2024-2025
2024-12-02,52.0,Brugge,BEL,1,1710.0111084,2024-12-04,2024-2025
2024-12-05,51.0,Brugge,BEL,1,1710.0111084,2024-12-07,2024-2025
2024-12-08,49.0,Brugge,BEL,1,1715.01318359,2024-12-08,2024-2025
2024-12-09,50.0,Brugge,BEL,1,1715.01318359,2024-12-10,2024-2025
2024-12-11,47.0,Brugge,BEL,1,1727.51928711,2024-12-12,2024-2025
2024-12-13,44.0,Brugge,BEL,1,1740.89453125,2024-12-15,2024-2025
2024-12-16,42.0,Brugge,BEL,1,1746.390625,2024-12-19,2024-2025
2024-12-20,43.0,Brugge,BEL,1,1738.48583984,2024-12-21,2024-2025
2024-12-22,42.0,Brugge,BEL,1,1738.48583984,2024-12-22,2024-2025
2024-12-23,42.0,Brugge,BEL,1,1738.09838867,2024-12-26,2024-2025
2024-12-27,42.0,Brugge,BEL,1,1739.70080566,2024-12-31,2024-2025
2025-01-01,42.0,Brugge,BEL,1,1739.70080566,2025-01-04,2024-2025
2025-01-05,43.0,Brugge,BEL,1,1739.70080566,2025-01-12,2024-2025
2025-01-13,39.0,Brugge,BEL,1,1752.61767578,2025-01-18,2024-2025
2025-01-19,39.0,Brugge,BEL,1,1753.74157715,2025-01-19,2024-2025
2025-01-20,37.0,Brugge,BEL,1,1753.74157715,2025-01-21,2024-2025
2025-01-22,37.0,Brugge,BEL,1,1754.93127441,2025-01-23,2024-2025
2025-01-24,39.0,Brugge,BEL,1,1753.20056152,2025-01-25,2024-2025
2025-01-26,39.0,Brugge,BEL,1,1744.49230957,2025-01-26,2024-2025
2025-01-27,40.0,Brugge,BEL,1,1744.49230957,2025-01-29,2024-2025
2025-01-30,40.0,Brugge,BEL,1,1740.34020996,2025-01-30,2024-2025
2025-01-31,43.0,Brugge,BEL,1,1733.48339844,2025-02-01,2024-2025
2025-02-02,42.0,Brugge,BEL,1,1733.48339844,2025-02-02,2024-2025
2025-02-03,46.0,Brugge,BEL,1,1723.03601074,2025-02-08,2024-2025
2025-02-09,44.0,Brugge,BEL,1,1725.21032715,2025-02-09,2024-2025
2025-02-10,45.0,Brugge,BEL,1,1725.21032715,2025-02-12,2024-2025
2025-02-13,44.0,Brugge,BEL,1,1729.97277832,2025-02-13,2024-2025
2025-02-14,47.0,Brugge,BEL,1,1719.31774902,2025-02-15,2024-2025
2025-02-16,48.0,Brugge,BEL,1,1713.82348633,2025-02-16,2024-2025
2025-02-17,47.0,Brugge,BEL,1,1713.82348633,2025-02-18,2024-2025
2025-02-19,39.0,Brugge,BEL,1,1749.68115234,2025-02-19,2024-2025
2025-02-20,38.0,Brugge,BEL,1,1749.68115234,2025-02-20,2024-2025
2025-02-21,38.0,Brugge,BEL,1,1749.91418457,2025-02-21,2024-2025
2025-02-22,39.0,Brugge,BEL,1,1749.91418457,2025-02-22,2024-2025
2025-02-23,38.0,Brugge,BEL,1,1749.91418457,2025-02-23,2024-2025
2025-02-24,42.0,Brugge,BEL,1,1734.02575684,2025-03-01,2024-2025
2025-03-02,43.0,Brugge,BEL,1,1731.16687012,2025-03-04,2024-2025
2025-03-05,47.0,Brugge,BEL,1,1718.45178223,2025-03-05,2024-2025
2025-03-06,46.0,Brugge,BEL,1,1718.45178223,2025-03-06,2024-2025
2025-03-07,50.0,Brugge,BEL,1,1713.96484375,2025-03-08,2024-2025
2025-03-09,49.0,Brugge,BEL,1,1713.96484375,2025-03-09,2024-2025
2025-03-10,45.0,Brugge,BEL,1,1720.04052734,2025-03-12,2024-2025
2025-03-13,50.0,Brugge,BEL,1,1710.42382812,2025-03-13,2024-2025
2025-03-14,49.0,Brugge,BEL,1,1711.38757324,2025-03-16,2024-2025
2025-03-17,49.0,Brugge,BEL,1,1714.48205566,2025-03-29,2024-2025
2025-03-30,48.0,Brugge,BEL,1,1714.48205566,2025-03-30,2024-2025
2025-03-31,47.0,Brugge,BEL,1,1719.91821289,2025-03-31,2024-2025
2025-04-01,48.0,Brugge,BEL,1,1719.91821289,2025-04-05,2024-2025
2025-04-06,49.0,Brugge,BEL,1,1719.91821289,2025-04-06,2024-2025
2025-04-07,45.0,Brugge,BEL,1,1725.27148438,2025-04-09,2024-2025
2025-04-10,46.0,Brugge,BEL,1,1725.27148438,2025-04-12,2024-2025
2025-04-13,45.0,Brugge,BEL,1,1725.27148438,2025-04-13,2024-2025
2025-04-14,45.0,Brugge,BEL,1,1730.12255859,2025-04-20,2024-2025
2025-04-21,42.0,Brugge,BEL,1,1741.47351074,2025-04-24,2024-2025
2025-04-25,45.0,Brugge,BEL,1,1730.57397461,2025-04-26,2024-2025
2025-04-27,44.0,Brugge,BEL,1,1730.57397461,2025-04-27,2024-2025
2025-04-28,44.0,Brugge,BEL,1,1731.66101074,2025-05-01,2024-2025
2025-05-02,44.0,Brugge,BEL,1,1735.75341797,2025-05-07,2024-2025
2025-05-08,45.0,Brugge,BEL,1,1735.75341797,2025-05-10,2024-2025
2025-05-11,44.0,Brugge,BEL,1,1735.75341797,2025-05-11,2024-2025
2025-05-12,42.0,Brugge,BEL,1,1745.36230469,2025-05-17,2024-2025
