team,rank,country,level,elo,from,to,league
Man City,1.0,ENG,1,2012.76818848,2021-05-30,2021-08-15,ENG-Premier League
Bayern,2.0,GER,1,1993.56750488,2021-05-23,2021-08-13,GER-Bundesliga
Liverpool,3.0,ENG,1,1940.19763184,2021-05-27,2021-08-14,ENG-Premier League
Real Madrid,4.0,ESP,1,1938.07788086,2021-05-27,2021-08-14,ESP-La Liga
Man United,5.0,ENG,1,1925.87194824,2021-05-27,2021-08-14,ENG-Premier League
Chelsea,6.0,ENG,1,1923.20202637,2021-05-30,2021-08-14,ENG-Premier League
Barcelona,7.0,ESP,1,1913.69177246,2021-05-30,2021-08-15,ESP-La Liga
Inter,8.0,ITA,1,1898.13305664,2021-05-24,2021-08-15,ITA-Serie A
Atletico,9.0,ESP,1,1895.42712402,2021-05-27,2021-08-15,ESP-La Liga
Paris SG,10.0,FRA,1,1875.87866211,2021-05-24,2021-08-03,FRA-Ligue 1
Arsenal,11.0,ENG,1,1866.67456055,2021-05-27,2021-08-13,ENG-Premier League
Juventus,12.0,ITA,1,1849.1340332,2021-05-24,2021-08-14,ITA-Serie A
Sevilla,13.0,ESP,1,1847.52929688,2021-05-27,2021-08-14,ESP-La Liga
Dortmund,14.0,GER,1,1843.85534668,2021-05-23,2021-08-14,GER-Bundesliga
Atalanta,15.0,ITA,1,1836.63232422,2021-05-24,2021-08-15,ITA-Serie A
Tottenham,16.0,ENG,1,1831.75012207,2021-05-27,2021-08-15,ENG-Premier League
Villarreal,17.0,ESP,1,1823.54174805,2021-05-27,2021-08-12,ESP-La Liga
RB Leipzig,18.0,GER,1,1817.06140137,2021-05-23,2021-08-03,GER-Bundesliga
West Ham,19.0,ENG,1,1810.99633789,2021-05-27,2021-07-21,ENG-Premier League
Ajax,20.0,NED,1,1808.51733398,2021-05-24,2021-07-21,
Napoli,21.0,ITA,1,1803.56152344,2021-05-24,2021-08-04,ITA-Serie A
