round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,3,Tue,2018-10-23,21:00,Real Madrid,2.6,2–1,1.6,Viktoria Plzeň,67356,Estadio Santiago Bernabéu,Orel Grinfeeld,/en/matches/39afa1dc/Real-Madrid-Viktoria-Plzen-October-23-2018-Champions-League,,39afa1dc
Group stage,3,Tue,2018-10-23,21:00,Roma,2.3,3–0,0.5,CSKA Moscow,46005,Stadio Olimpico,Tasos Sidiropoulos,/en/matches/6fa09de4/Roma-CSKA-Moscow-October-23-2018-Champions-League,,6fa09de4
Group stage,3,Tue,2018-10-23,22:00,Shakhtar,1.1,0–3,2.6,Manchester City,37106,Oblasny SportKomplex Metalist,Carlos del Cerro,/en/matches/bb125eda/Shakhtar-Donetsk-Manchester-City-October-23-2018-Champions-League,,bb125eda
Group stage,3,Tue,2018-10-23,18:55,Young Boys,1.9,1–1,0.9,Valencia,31120,Stade de Suisse Wankdorf Bern,Aleksandrs Anufrijevs,/en/matches/c51bb670/Young-Boys-Valencia-October-23-2018-Champions-League,,c51bb670
Group stage,3,Wed,2018-10-24,21:00,Barcelona,2.2,2–0,1.0,Inter,86290,Camp Nou,Ovidiu Hațegan,/en/matches/75424425/Barcelona-Internazionale-October-24-2018-Champions-League,,75424425
Group stage,3,Wed,2018-10-24,18:55,Club Brugge,1.5,1–1,0.8,Monaco,23957,Jan Breydelstadion,Michael Oliver,/en/matches/2cd6adac/Club-Brugge-Monaco-October-24-2018-Champions-League,,2cd6adac
Group stage,3,Wed,2018-10-24,21:00,Dortmund,2.0,4–0,0.6,Atlético Madrid,66099,Signal Iduna Park,Anthony Taylor,/en/matches/9d7989c1/Dortmund-Atletico-Madrid-October-24-2018-Champions-League,,9d7989c1
Group stage,3,Wed,2018-10-24,22:00,Galatasaray,0.6,0–0,2.2,Schalke 04,46667,Türk Telekom Arena,Benoît Bastien,/en/matches/a3d918e7/Galatasaray-Schalke-04-October-24-2018-Champions-League,,a3d918e7
Group stage,3,Wed,2018-10-24,20:00,Liverpool,5.0,4–0,0.5,Red Star,53024,Anfield,Daniel Siebert,/en/matches/68ee0e55/Liverpool-Red-Star-October-24-2018-Champions-League,,68ee0e55
Group stage,3,Wed,2018-10-24,22:00,Loko Moscow,2.1,1–3,1.5,Porto,16034,RZD Arena,John Beaton,/en/matches/62ab5d21/Lokomotiv-Moscow-Porto-October-24-2018-Champions-League,,62ab5d21
Group stage,3,Wed,2018-10-24,18:55,PSV Eindhoven,0.9,2–2,2.0,Tottenham,35000,Philips Stadion,Slavko Vinčič,/en/matches/ac5a5950/PSV-Eindhoven-Tottenham-Hotspur-October-24-2018-Champions-League,,ac5a5950
Group stage,3,Wed,2018-10-24,21:00,Paris S-G,1.1,2–2,1.7,Napoli,46274,Parc des Princes,Tobias Stieler,/en/matches/8c78d721/Paris-Saint-Germain-Napoli-October-24-2018-Champions-League,,8c78d721
Group stage,4,Tue,2018-11-06,21:00,Atlético Madrid,1.5,2–0,0.6,Dortmund,61023,Estadio Wanda Metropolitano,Daniele Orsato,/en/matches/b23a5e56/Atletico-Madrid-Dortmund-November-6-2018-Champions-League,,b23a5e56
Group stage,4,Tue,2018-11-06,21:00,Inter,1.0,1–1,1.6,Barcelona,70915,Stadio Giuseppe Meazza,Szymon Marciniak,/en/matches/e7f6f61a/Internazionale-Barcelona-November-6-2018-Champions-League,,e7f6f61a
Group stage,4,Tue,2018-11-06,18:55,Monaco,1.1,0–4,1.9,Club Brugge,8347,Stade Louis II,Hugo Miguel,/en/matches/d4afe562/Monaco-Club-Brugge-November-6-2018-Champions-League,,d4afe562
Group stage,4,Tue,2018-11-06,21:00,Napoli,2.0,1–1,1.3,Paris S-G,55489,Stadio San Paolo,Björn Kuipers,/en/matches/634126f9/Napoli-Paris-Saint-Germain-November-6-2018-Champions-League,,634126f9
Group stage,4,Tue,2018-11-06,20:00,Porto,1.4,4–1,0.7,Loko Moscow,34616,Estádio Do Dragão,Massimiliano Irrati,/en/matches/20d6f075/Porto-Lokomotiv-Moscow-November-6-2018-Champions-League,,20d6f075
Group stage,4,Tue,2018-11-06,18:55,Red Star,0.7,2–0,2.2,Liverpool,51318,Stadion Rajko Mitić,Antonio Matéu Lahoz,/en/matches/d2090861/Red-Star-Liverpool-November-6-2018-Champions-League,,d2090861
Group stage,4,Tue,2018-11-06,21:00,Schalke 04,1.5,2–0,0.7,Galatasaray,54740,Veltins-Arena,William Collum,/en/matches/75598578/Schalke-04-Galatasaray-November-6-2018-Champions-League,,75598578
Group stage,4,Tue,2018-11-06,20:00,Tottenham,3.5,2–1,0.6,PSV Eindhoven,46588,Wembley Stadium,Filip Glova,/en/matches/35c7a529/Tottenham-Hotspur-PSV-Eindhoven-November-6-2018-Champions-League,,35c7a529
Group stage,4,Wed,2018-11-07,21:00,Bayern Munich,2.7,2–0,0.4,AEK Athens,70000,Allianz Arena,Slavko Vinčič,/en/matches/6e3cabd4/Bayern-Munich-AEK-Athens-November-7-2018-Champions-League,,6e3cabd4
Group stage,4,Wed,2018-11-07,20:00,Benfica,1.4,1–1,1.6,Ajax,51328,Estádio do Sport Lisboa e Benfica,Luca Banti,/en/matches/3d4c4155/Benfica-Ajax-November-7-2018-Champions-League,,3d4c4155
