players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
29,6.0,2,60,19,31.7,10.0,3.17,0.03,0.11,21.5,3,0,1,5.1,4.3,0.07,-3.1,-2.3,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,6.0,7,91,31,34.1,15.17,5.17,0.07,0.19,19.7,2,1,1,10.9,10.1,0.11,-3.9,-4.1,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,6.0,6,75,26,34.7,12.5,4.33,0.08,0.23,18.5,5,0,0,7.1,7.1,0.1,-1.1,-1.1,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,8.0,19,119,57,47.9,14.87,7.12,0.16,0.33,16.1,11,0,0,16.9,16.9,0.15,2.1,2.1,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,10.3,20,130,48,36.9,12.58,4.65,0.12,0.33,17.6,3,4,5,16.9,13.0,0.1,3.1,3.0,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,8.0,15,153,58,37.9,19.13,7.25,0.1,0.26,17.0,2,0,0,16.9,16.9,0.11,-1.9,-1.9,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,6.0,5,42,16,38.1,7.0,2.67,0.12,0.31,20.0,0,0,0,2.9,2.9,0.07,2.1,2.1,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,8.3,14,129,53,41.1,15.48,6.36,0.1,0.25,17.9,6,1,1,15.0,14.2,0.11,-1.0,-1.2,/en/squads/cf74a709/2018-2019/Roma-Stats
27,8.0,8,80,26,32.5,10.0,3.25,0.06,0.19,19.1,0,3,3,10.5,8.2,0.11,-2.5,-3.2,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,6.0,8,69,25,36.2,11.5,4.17,0.12,0.32,17.6,3,0,0,6.9,6.9,0.1,1.1,1.1,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,13.0,20,201,74,36.8,15.46,5.69,0.1,0.27,17.9,9,0,0,20.5,20.5,0.11,-0.5,-0.5,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
22,6.0,5,68,17,25.0,11.33,2.83,0.07,0.29,19.5,2,0,1,6.9,6.1,0.09,-1.9,-1.1,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
21,6.0,7,64,19,29.7,10.67,3.17,0.11,0.37,18.3,1,0,1,7.8,6.9,0.11,-0.8,0.1,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
20,6.0,4,71,15,21.1,11.83,2.5,0.03,0.13,19.7,2,2,2,6.5,5.0,0.07,-2.5,-3.0,/en/squads/4b682260/2018-2019/Young-Boys-Stats
