players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
20,6.0,2,39,9,23.1,6.5,1.5,0.05,0.22,17.2,0,0,0,4.7,4.7,0.12,-2.7,-2.7,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,12.0,22,183,68,37.2,15.25,5.67,0.11,0.29,19.4,13,2,2,22.3,20.7,0.12,-0.3,-0.7,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,8.0,11,89,30,33.7,11.12,3.75,0.12,0.37,18.4,4,0,0,8.1,8.1,0.09,2.9,2.9,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,12.0,25,199,77,38.7,16.58,6.42,0.12,0.31,18.0,13,1,1,23.1,22.3,0.11,1.9,1.7,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,8.0,15,109,44,40.4,13.62,5.5,0.12,0.3,16.8,4,2,2,14.7,13.2,0.13,0.3,-0.2,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,6.0,6,79,30,38.0,13.17,5.0,0.08,0.2,18.4,4,0,0,6.2,6.2,0.08,-0.2,-0.2,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,6.0,8,75,29,38.7,12.5,4.83,0.08,0.21,20.2,1,2,2,6.9,5.3,0.07,1.1,0.7,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,6.0,6,48,15,31.3,8.0,2.5,0.1,0.33,18.7,2,1,1,5.4,4.7,0.1,0.6,0.3,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,8.0,10,93,31,33.3,11.62,3.87,0.11,0.32,18.8,2,0,1,12.2,11.5,0.13,-2.2,-1.5,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,6.0,5,66,18,27.3,11.0,3.0,0.05,0.17,20.2,7,2,3,9.9,7.5,0.11,-4.9,-4.5,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,6.0,11,92,31,33.7,15.33,5.17,0.11,0.32,19.3,3,1,1,11.1,10.3,0.11,-0.1,-0.3,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,6.0,6,91,26,28.6,15.17,4.33,0.07,0.23,17.0,4,0,0,8.6,8.6,0.1,-2.6,-2.6,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,10.0,14,156,40,25.6,15.6,4.0,0.07,0.28,18.2,9,3,3,18.9,16.7,0.11,-4.9,-5.7,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,13.0,24,186,52,28.0,14.31,4.0,0.11,0.38,17.0,3,4,5,28.3,24.2,0.13,-4.3,-4.2,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,6.0,3,75,13,17.3,12.5,2.17,0.04,0.23,18.9,2,0,1,6.6,5.8,0.08,-3.6,-2.8,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,8.0,13,118,42,35.6,14.75,5.25,0.11,0.31,18.2,6,0,0,12.3,12.3,0.11,0.7,0.7,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,10.0,30,173,64,37.0,17.3,6.4,0.16,0.42,17.4,9,3,4,22.9,19.8,0.12,7.1,7.2,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,10.0,9,114,29,25.4,11.4,2.9,0.06,0.24,20.2,11,2,2,10.4,8.9,0.08,-1.4,-1.9,/en/squads/19538871/2018-2019/Manchester-United-Stats
