players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
20,40.8,6.0,3133,429,1064,1611,498,55,3133,87,48,55.2,39,44.8,1737,9883,4799,79,58,14,76,81,1913,142,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,52.9,12.0,7949,678,2244,3815,1967,307,7947,229,128,55.9,101,44.1,4666,23610,12171,236,175,59,205,124,5100,501,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,48.9,8.0,5113,336,1176,2552,1434,175,5113,104,63,60.6,41,39.4,2824,14763,7479,151,125,32,106,69,3367,325,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,61.4,12.0,9738,777,2460,5027,2321,309,9737,212,129,60.8,83,39.2,5498,27244,14770,260,241,79,131,110,7398,558,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,56.9,8.0,5916,510,1962,2827,1163,215,5914,125,69,55.2,56,44.8,3543,19116,10448,204,144,61,102,99,4137,368,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,44.3,6.0,3478,318,1097,1714,722,99,3478,91,56,61.5,35,38.5,2049,10572,5322,106,84,14,80,68,2148,205,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,44.7,6.0,3354,407,1147,1468,768,114,3352,94,54,57.4,40,42.6,1560,9147,4843,109,85,21,64,51,2046,218,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,40.2,6.0,3377,363,1035,1660,706,65,3376,51,35,68.6,16,31.4,1840,9162,4791,100,71,10,98,64,2100,220,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,60.6,8.0,6904,418,1656,3659,1641,191,6903,140,80,57.1,59,42.1,4703,22779,11436,170,174,49,138,86,5236,444,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,53.5,6.0,3641,320,1028,1799,841,98,3638,94,58,61.7,36,38.3,1718,10045,5426,100,69,15,92,46,2375,211,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,45.0,6.0,3334,327,1058,1594,724,129,3333,86,62,72.1,24,27.9,1683,10428,5924,139,78,30,86,67,2130,257,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,47.7,6.0,3730,399,1256,1716,785,125,3730,67,34,50.7,33,49.3,1773,10954,5875,129,77,16,68,47,2475,241,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,55.2,10.0,6707,534,1679,3533,1565,216,6704,190,114,60.0,75,39.5,3661,20969,11253,227,180,47,150,93,4690,455,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,51.6,13.0,8541,722,2211,4203,2210,375,8536,182,118,64.8,64,35.2,5038,25344,13710,269,214,66,196,151,5583,625,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,45.8,6.0,3423,329,912,1674,871,111,3422,73,41,56.2,32,43.8,1551,9592,5102,103,81,30,96,74,1937,203,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,43.6,8.0,4775,537,1498,2358,978,174,4775,143,92,64.3,51,35.7,2815,15412,8176,157,115,49,118,81,3139,288,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,63.0,10.0,7814,497,1493,4363,2026,315,7810,191,117,61.3,73,38.2,5677,29227,16288,312,240,88,115,120,5939,576,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,45.6,10.0,6044,563,1587,3050,1456,177,6042,145,84,57.9,61,42.1,3230,17230,9405,205,155,58,131,120,4112,394,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,45.0,6.0,3632,339,1098,1788,782,88,3631,76,36,47.4,40,52.6,2425,13279,7204,135,106,25,77,76,2430,239,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,56.3,6.0,4755,388,1159,2612,1010,118,4754,76,46,60.5,30,39.5,3012,12223,7116,97,94,16,63,55,3444,312,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,31.8,6.0,2775,481,1102,1125,580,97,2775,71,38,53.5,33,46.5,1231,7455,3937,85,63,19,78,56,1440,142,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,58.5,8.0,5982,453,1680,3014,1338,214,5982,155,95,61.3,60,38.7,3577,18391,9879,212,153,58,113,80,4445,339,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,53.0,10.3,6153,582,1893,2919,1410,230,6148,201,108,53.7,93,46.3,3349,19332,9595,191,166,50,149,123,3738,372,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,62.1,8.0,6291,471,1504,2999,1837,269,6291,148,91,61.5,57,38.5,4125,22827,11606,257,167,87,109,78,4660,535,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,30.5,6.0,2781,476,1227,1158,423,54,2781,70,41,58.6,29,41.4,1520,7429,3466,63,63,11,80,60,1404,116,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,49.3,8.3,5032,553,1630,2356,1100,189,5031,146,80,54.8,66,45.2,2753,15155,7862,153,100,39,115,81,3268,396,/en/squads/cf74a709/2018-2019/Roma-Stats
27,42.3,8.0,4164,393,1463,1921,830,125,4161,122,67,54.9,55,45.1,2076,12991,6767,147,104,31,104,102,2419,240,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,49.2,6.0,3774,410,1221,1773,817,130,3774,66,33,50.0,33,50.0,2399,12707,6655,135,121,31,83,62,2613,212,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
