players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
20,26.0,6,540,90,100,6.0,66,85,46,18,19,24,0.0,2,13,-11,-1.83,4.7,11.9,-7.2,-1.2,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,24.3,12,1080,90,100,12.0,132,87,107,25,16,59,1.83,22,13,9,0.75,22.3,17.8,4.5,0.38,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,26.4,8,720,90,100,8.0,88,83,67,20,29,36,2.0,11,9,2,0.25,8.1,9.1,-1.0,-0.12,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,27.7,12,1080,90,100,12.0,132,86,98,33,15,51,2.25,26,10,16,1.33,23.1,14.4,8.6,0.72,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,28.3,8,720,90,100,8.0,88,86,63,24,13,32,1.88,16,8,8,1.0,14.7,9.3,5.4,0.68,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,25.5,6,540,90,100,6.0,66,82,48,17,27,25,1.17,6,11,-5,-0.83,6.2,10.7,-4.5,-0.75,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,23.9,6,540,90,100,6.0,66,84,47,17,22,24,1.17,8,9,-1,-0.17,6.9,11.6,-4.8,-0.79,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,24.9,6,540,90,100,6.0,66,85,48,18,19,24,1.0,6,5,1,0.17,5.4,6.3,-0.9,-0.15,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,25.0,8,720,90,100,8.0,88,85,64,24,19,32,1.63,10,6,4,0.5,12.2,6.8,5.5,0.68,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,28.4,6,540,90,100,6.0,66,85,48,17,19,25,0.67,5,8,-3,-0.5,9.9,9.6,0.2,0.04,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,25.6,6,540,90,100,6.0,66,84,46,18,20,24,0.5,11,14,-3,-0.5,11.1,12.3,-1.2,-0.21,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,28.1,6,540,90,100,6.0,66,85,49,17,18,25,1.33,6,7,-1,-0.17,8.6,7.8,0.8,0.13,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,28.4,10,900,90,100,10.0,110,84,82,28,22,41,1.6,14,9,5,0.5,18.9,10.1,8.8,0.88,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,26.1,13,1170,90,100,13.0,143,85,107,36,21,60,1.92,24,12,12,0.92,28.3,13.9,14.4,1.11,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,29.0,6,540,90,100,6.0,66,86,52,13,18,29,0.5,4,12,-8,-1.33,6.6,9.2,-2.5,-0.42,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,24.4,8,720,90,100,8.0,88,87,64,24,13,32,1.13,13,16,-3,-0.37,12.3,17.2,-5.0,-0.62,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,26.7,10,900,90,100,10.0,110,85,81,28,18,42,2.2,30,12,18,1.8,22.9,10.1,12.8,1.28,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,26.2,10,900,90,100,10.0,110,85,84,25,22,45,1.3,10,11,-1,-0.1,10.4,13.7,-3.2,-0.32,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,25.0,6,540,90,100,6.0,66,83,49,18,27,24,0.17,2,14,-12,-2.0,5.1,11.0,-5.9,-0.99,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,28.2,6,540,90,100,6.0,66,85,48,18,19,24,1.5,7,5,2,0.33,10.9,6.5,4.4,0.73,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,24.4,6,540,90,100,6.0,66,87,52,14,15,28,0.33,6,13,-7,-1.17,7.1,13.9,-6.8,-1.13,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,27.0,8,720,90,100,8.0,88,87,67,21,14,35,1.75,20,12,8,1.0,16.9,10.5,6.4,0.8,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,27.9,10,930,93,100,10.3,110,88,79,31,18,39,1.9,20,15,5,0.48,16.9,19.4,-2.5,-0.24,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,27.0,8,720,90,100,8.0,88,83,63,24,25,32,1.88,15,10,5,0.62,16.9,10.8,6.1,0.76,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,26.8,6,540,90,100,6.0,66,84,48,18,23,24,0.67,5,17,-12,-2.0,2.9,19.4,-16.6,-2.76,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,27.4,8,750,94,100,8.3,88,87,64,25,24,31,1.5,14,12,2,0.24,15.0,14.0,1.0,0.11,/en/squads/cf74a709/2018-2019/Roma-Stats
27,26.2,8,720,90,100,8.0,88,84,64,24,24,32,1.38,8,14,-6,-0.75,10.5,11.9,-1.4,-0.17,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,27.5,6,540,90,100,6.0,66,86,49,17,16,25,1.0,8,16,-8,-1.33,6.9,13.2,-6.3,-1.04,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,27.0,13,1170,90,100,13.0,143,85,103,39,18,57,1.54,20,19,1,0.08,20.5,16.1,4.4,0.34,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
