players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
1,6.0,13,2,1,3,0,15.2,0.34,2.2,0.37,66,145,45.5,155,16,69.0,44.5,54,70.4,49.0,116,5,4.3,2,0.33,10.6,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
1,12.0,13,1,0,2,0,18.1,0.33,5.1,0.42,40,177,22.6,303,49,41.9,35.0,85,58.8,47.8,142,6,4.2,7,0.58,12.6,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
1,8.0,9,1,0,0,0,7.8,0.36,-1.2,-0.15,37,107,34.6,102,9,50.0,38.0,60,93.3,56.4,110,0,0.0,0,0.0,11.8,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
2,12.0,10,0,0,2,0,12.4,0.31,2.4,0.2,57,109,52.3,337,71,21.7,30.6,79,45.6,39.1,145,7,4.8,8,0.67,11.3,/en/squads/206d90db/2018-2019/Barcelona-Stats
1,8.0,8,1,0,1,0,8.4,0.25,0.4,0.06,43,102,42.2,293,47,28.3,30.1,50,38.0,36.5,80,1,1.3,9,1.13,17.9,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
1,6.0,11,0,0,3,0,13.5,0.4,2.5,0.42,41,94,43.6,151,19,50.3,38.2,32,56.3,42.2,47,1,2.1,7,1.17,18.4,/en/squads/a77c513e/2018-2019/Benfica-Stats
3,6.0,9,0,0,2,0,14.6,0.35,5.6,0.93,45,154,29.2,153,33,67.3,49.3,63,81.0,62.1,108,4,3.7,4,0.67,11.7,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
2,6.0,5,0,0,1,0,5.9,0.27,0.9,0.15,36,105,34.3,118,33,52.5,41.3,55,78.2,53.0,81,3,3.7,3,0.5,10.1,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
2,8.0,6,0,0,1,0,7.2,0.33,1.2,0.15,27,78,34.6,219,41,26.5,33.1,46,43.5,38.7,99,1,1.0,6,0.75,14.6,/en/squads/add600ae/2018-2019/Dortmund-Stats
1,6.0,8,1,0,1,1,9.2,0.34,2.2,0.36,42,107,39.3,174,24,44.8,37.2,48,60.4,46.4,74,10,13.5,7,1.17,13.8,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
1,6.0,14,0,1,1,0,15.7,0.37,1.7,0.29,37,85,43.5,165,28,31.5,31.0,55,60.0,43.2,68,2,2.9,8,1.33,19.1,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
1,6.0,7,0,0,0,0,8.5,0.22,1.5,0.25,25,54,46.3,159,43,20.1,26.7,42,52.4,39.2,81,5,6.2,3,0.5,12.0,/en/squads/d609edc0/2018-2019/Internazionale-Stats
1,10.0,9,1,1,2,1,9.6,0.25,1.6,0.16,74,134,55.2,213,36,41.3,35.9,71,64.8,46.4,113,3,2.7,9,0.9,15.5,/en/squads/e0652b02/2018-2019/Juventus-Stats
1,13.0,12,0,1,2,1,15.1,0.29,4.1,0.32,48,125,38.4,361,76,23.3,29.7,84,48.8,41.4,127,3,2.4,9,0.69,17.4,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
1,6.0,12,2,1,3,0,8.0,0.18,-4.0,-0.66,43,111,38.7,140,31,55.0,39.8,41,82.9,49.7,93,10,10.8,2,0.33,10.4,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
2,8.0,16,1,0,1,0,17.7,0.32,1.7,0.21,40,119,33.6,177,28,40.7,36.9,71,66.2,48.0,101,1,1.0,9,1.13,15.4,/en/squads/d53c0b06/2018-2019/Lyon-Stats
1,10.0,12,3,0,1,0,10.1,0.24,-1.9,-0.19,26,52,50.0,237,37,14.3,25.9,48,37.5,41.2,69,6,8.7,18,1.8,18.4,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2,10.0,11,0,0,1,2,10.6,0.32,1.6,0.16,61,134,45.5,160,36,46.3,38.3,83,72.3,51.8,124,4,3.2,2,0.2,10.1,/en/squads/19538871/2018-2019/Manchester-United-Stats
3,6.0,14,1,0,1,0,12.0,0.4,-2.0,-0.33,28,58,48.3,112,18,34.8,28.7,48,39.6,36.3,72,3,4.2,5,0.83,12.0,/en/squads/fd6114db/2018-2019/Monaco-Stats
1,6.0,5,0,0,0,1,6.6,0.33,2.6,0.44,30,75,40.0,173,28,30.1,32.1,41,56.1,43.2,67,4,6.0,10,1.67,16.0,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
1,6.0,13,0,1,0,0,13.1,0.26,0.1,0.02,63,134,47.0,126,21,61.1,42.3,72,79.2,57.7,119,3,2.5,2,0.33,10.2,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
2,8.0,12,4,0,0,0,10.6,0.25,-1.4,-0.18,22,60,36.7,159,27,20.8,29.1,54,50.0,40.6,87,2,2.3,1,0.13,10.2,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
1,10.3,15,3,0,2,0,13.8,0.26,-1.2,-0.12,64,160,40.0,295,29,38.3,35.3,75,62.7,45.4,136,3,2.2,11,1.06,15.7,/en/squads/5e876ee6/2018-2019/Porto-Stats
2,8.0,10,0,1,0,0,11.3,0.31,1.3,0.16,47,102,46.1,187,46,36.4,38.2,59,57.6,47.7,79,3,3.8,10,1.25,16.2,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
1,6.0,17,1,2,1,0,18.7,0.3,1.7,0.28,47,136,34.6,155,25,57.4,43.4,66,71.2,52.6,99,4,4.0,6,1.0,14.1,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
2,8.3,12,1,1,1,0,15.0,0.33,3.0,0.36,39,111,35.1,208,52,31.3,25.1,70,65.7,48.7,111,5,4.5,6,0.72,19.0,/en/squads/cf74a709/2018-2019/Roma-Stats
2,8.0,14,2,1,1,0,12.5,0.3,-1.5,-0.19,33,98,33.7,156,31,42.3,37.4,52,61.5,45.3,59,2,3.4,3,0.38,13.0,/en/squads/c539e393/2018-2019/Schalke-04-Stats
1,6.0,16,2,0,2,0,11.8,0.27,-4.2,-0.7,37,92,40.2,186,44,34.9,32.8,58,46.6,40.6,80,5,6.3,5,0.83,13.7,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
3,13.0,19,1,0,4,0,17.0,0.28,-2.0,-0.16,70,161,43.5,368,64,29.6,32.3,101,51.5,41.0,133,6,4.5,11,0.85,13.2,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
2,6.0,6,3,0,0,0,8.1,0.18,2.1,0.35,32,74,43.2,90,28,48.9,38.7,48,62.5,47.1,110,5,4.5,2,0.33,11.4,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
2,6.0,16,2,0,3,0,14.7,0.3,-1.3,-0.21,59,138,42.8,169,40,55.0,36.1,58,77.6,50.3,110,3,2.7,2,0.33,9.5,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
2,6.0,12,1,0,0,0,11.1,0.34,-0.9,-0.15,63,149,42.3,171,29,57.3,45.0,56,91.1,60.0,102,1,1.0,2,0.33,10.8,/en/squads/4b682260/2018-2019/Young-Boys-Stats
