players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
20,6.0,2510,2207,292,77,3,30,65,120,22,9,7,0,1920,11,62,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,12.0,6458,5863,553,157,18,32,161,234,52,7,35,0,5137,42,129,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,8.0,4276,3884,373,91,11,35,130,157,48,19,22,0,3398,19,94,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,12.0,8522,7923,577,193,41,46,112,216,67,29,5,0,7437,22,129,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,8.0,5025,4646,357,95,9,69,127,147,49,30,13,0,4168,22,71,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,6.0,2775,2487,285,95,5,24,83,112,29,10,13,0,2163,3,57,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,6.0,2660,2356,293,76,3,25,78,105,34,3,22,0,2055,11,59,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,6.0,2717,2446,257,62,1,32,87,114,15,8,4,1,2117,14,49,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,8.0,6024,5663,342,85,19,40,96,157,40,11,16,2,5255,19,84,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,6.0,3003,2664,325,109,6,28,111,122,32,20,9,0,2394,14,65,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,6.0,2713,2406,284,66,7,30,110,107,36,17,17,0,2151,23,39,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,6.0,3077,2784,285,91,12,34,143,107,32,15,9,0,2489,8,64,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,10.0,5657,5156,488,152,8,63,221,193,53,13,35,0,4714,13,85,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,13.0,7191,6509,653,164,31,81,225,305,75,30,31,2,5613,29,125,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,6.0,2670,2363,295,92,3,11,74,112,32,18,3,0,1958,12,79,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,8.0,3842,3464,353,109,19,27,89,123,26,12,5,1,3153,25,54,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,10.0,6793,6385,382,96,34,62,158,158,58,14,24,0,5976,26,90,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,10.0,5034,4562,444,117,10,48,171,185,38,19,10,4,4134,28,94,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,6.0,3024,2728,284,90,8,48,116,104,22,4,11,2,2437,12,55,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,6.0,4138,3835,286,85,6,38,107,116,33,10,18,0,3465,17,59,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,6.0,1993,1721,260,76,13,10,83,74,19,8,7,0,1452,12,29,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,8.0,5144,4755,365,133,23,32,125,117,41,15,9,2,4469,24,58,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,10.3,4932,4361,553,161,10,55,180,245,46,26,17,1,3769,18,95,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,8.0,5445,5033,390,104,22,105,191,140,69,17,28,1,4682,22,93,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,6.0,2028,1734,278,79,6,7,64,93,17,3,8,2,1409,16,42,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,8.3,4125,3699,411,108,17,28,156,163,49,25,15,2,3282,15,88,/en/squads/cf74a709/2018-2019/Roma-Stats
27,8.0,3273,2868,383,108,8,25,128,167,34,11,21,0,2440,22,79,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,6.0,3167,2848,315,105,10,22,68,107,23,5,11,0,2630,4,66,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,13.0,7075,6410,636,156,35,53,231,267,80,32,31,1,5730,29,128,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
22,6.0,3051,2718,312,125,4,21,87,105,22,8,8,1,2480,21,62,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
21,6.0,2384,2073,298,101,2,14,72,93,25,14,1,0,1780,13,58,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
20,6.0,2538,2243,283,97,3,12,111,82,30,18,10,0,1939,12,38,/en/squads/4b682260/2018-2019/Young-Boys-Stats
