players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
20,6.0,1920,2510,76.5,35757,13318,858,992,86.5,692,828,83.6,290,501,57.9,2,4.3,3.8,-2.3,31,123,23,6,142,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,12.0,5137,6458,79.5,80365,28967,2646,2981,88.8,1785,2098,85.1,413,835,49.5,17,17.6,14.8,-0.6,139,358,112,9,504,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,8.0,3398,4276,79.5,56377,19398,1754,1981,88.5,1185,1416,83.7,337,609,55.3,8,6.5,8.1,1.5,73,267,59,12,328,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,12.0,7437,8522,87.3,117990,37319,3807,4095,93.0,2665,2954,90.2,608,879,69.2,18,17.9,18.0,0.1,149,462,122,3,561,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,8.0,4168,5025,82.9,75753,23334,1750,1952,89.7,1787,2022,88.4,489,756,64.7,9,11.1,10.4,-2.1,80,244,79,10,371,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,6.0,2163,2775,77.9,37500,13917,1054,1215,86.7,815,954,85.4,226,434,52.1,3,4.7,4.8,-1.7,55,132,39,8,209,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,6.0,2055,2660,77.3,36358,13920,940,1057,88.9,759,886,85.7,247,495,49.9,5,4.4,3.6,0.6,66,142,47,7,218,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,6.0,2117,2717,77.9,39775,14149,865,1010,85.6,902,1057,85.3,281,472,59.5,3,3.3,3.3,-0.3,35,172,33,11,223,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,8.0,5255,6024,87.2,90388,25808,2414,2649,91.1,2177,2356,92.4,510,711,71.7,8,10.6,11.7,-2.6,76,398,73,10,446,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,6.0,2394,3003,79.7,45179,15654,929,1078,86.2,1018,1180,86.3,349,542,64.4,2,6.8,6.1,-4.8,52,177,35,5,212,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,6.0,2151,2713,79.3,40813,15283,847,971,87.2,988,1147,86.1,260,465,55.9,7,8.5,6.5,-1.5,68,164,53,14,260,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,6.0,2489,3077,80.9,42946,15899,1163,1282,90.7,962,1127,85.4,277,457,60.6,4,7.4,6.9,-3.4,69,179,50,25,243,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,10.0,4714,5657,83.3,86350,28985,2015,2230,90.4,1968,2231,88.2,572,867,66.0,11,13.4,12.6,-2.4,119,324,89,29,460,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,13.0,5613,7191,78.1,100781,34931,2391,2780,86.0,2442,2861,85.4,598,1090,54.9,17,19.8,17.4,-2.8,140,414,161,27,631,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
