players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
20,6.0,95,67,57,33,5,32,86,37.2,54,60,24,36,90,185,138,2,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,12.0,267,156,106,123,38,109,247,44.1,138,152,32,120,173,440,229,7,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,8.0,121,78,60,46,15,52,120,43.3,68,72,18,54,110,231,168,3,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,12.0,200,128,82,94,24,76,166,45.8,90,129,39,90,121,321,198,12,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,8.0,151,94,69,66,16,49,137,35.8,88,96,20,76,132,283,131,4,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,6.0,137,95,68,62,7,61,120,50.8,59,81,17,64,86,223,116,2,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,6.0,104,67,66,31,7,38,111,34.2,73,76,21,55,62,166,187,3,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,6.0,111,60,69,33,9,38,81,46.9,43,72,13,59,84,195,165,0,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,8.0,152,98,57,77,18,53,117,45.3,64,88,22,66,101,253,129,3,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,6.0,119,72,57,51,11,44,82,53.7,38,73,22,51,51,170,108,4,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,6.0,119,62,75,31,13,51,123,41.5,72,65,21,44,54,173,89,6,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,6.0,109,61,65,40,4,38,104,36.5,66,62,17,45,62,171,125,3,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,10.0,141,88,69,54,18,53,133,39.8,80,100,31,69,116,257,175,4,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,13.0,226,133,92,96,38,101,207,48.8,106,112,20,92,114,340,226,8,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,6.0,114,80,56,46,12,43,106,40.6,63,72,24,48,93,207,141,4,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,8.0,141,79,72,61,8,50,112,44.6,62,99,34,65,100,241,197,2,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,10.0,132,79,42,67,23,43,135,31.9,92,93,25,68,116,248,169,8,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,10.0,145,85,71,60,14,58,139,41.7,81,122,33,89,90,235,219,2,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,6.0,87,52,46,36,5,25,65,38.5,40,60,8,52,66,153,125,3,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,6.0,106,68,48,52,6,39,109,35.8,70,46,16,30,57,163,134,3,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,6.0,89,47,56,22,11,32,102,31.4,70,95,45,50,73,162,220,2,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,8.0,116,73,55,52,9,30,90,33.3,60,67,20,47,79,195,155,3,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,10.3,180,122,99,58,23,64,145,44.1,81,118,32,86,119,299,225,3,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,8.0,128,95,67,47,14,62,134,46.3,72,80,22,58,106,234,106,7,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,6.0,86,48,53,27,6,30,90,33.3,60,77,25,52,109,195,206,4,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,8.3,122,77,58,50,14,41,115,35.7,74,92,29,63,81,203,168,4,/en/squads/cf74a709/2018-2019/Roma-Stats
27,8.0,170,107,87,72,11,68,167,40.7,99,100,27,73,108,278,155,4,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,6.0,84,52,42,37,5,28,90,31.1,62,64,26,38,75,159,121,5,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,13.0,195,110,85,87,23,76,179,42.5,103,145,43,102,144,339,239,7,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
22,6.0,103,67,61,33,9,48,94,51.1,46,62,22,40,76,179,114,3,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
21,6.0,81,47,47,28,6,42,95,44.2,53,67,18,49,64,145,145,1,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
20,6.0,132,70,65,49,18,46,108,42.6,62,68,22,46,74,206,138,2,/en/squads/4b682260/2018-2019/Young-Boys-Stats
