players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
16,25.4,56,1,11,90,1,0,0,0,0,0,0,1,0,1.3,1.3,1.3,2.5,13,43,0,0,0,0,0,1.26,1.26,2.51,1.26,2.51,/en/squads/19c3f8c4/Ajax-Stats
15,26.2,61,1,11,90,1,2,2,4,2,0,0,3,0,1.3,1.3,1.3,2.5,21,34,2,2,4,2,4,1.28,1.26,2.54,1.28,2.54,/en/squads/18bb7c10/Arsenal-Stats
16,26.5,33,1,11,90,1,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,13,17,0,0,0,0,0,0.55,0.52,1.07,0.55,1.07,/en/squads/922493f3/Atalanta-Stats
16,27.2,39,1,11,90,1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,20,30,0,0,0,0,0,0.34,0.23,0.57,0.34,0.57,/en/squads/2b390eca/Athletic-Club-Stats
15,28.5,44,1,11,90,1,2,1,3,2,0,0,2,0,0.6,0.6,0.5,1.0,22,42,2,1,3,2,3,0.55,0.5,1.05,0.55,1.05,/en/squads/db3b9613/Atletico-Madrid-Stats
16,26.1,63,1,11,90,1,2,1,3,2,0,0,4,0,1.1,1.1,0.8,1.9,21,41,2,1,3,2,3,1.12,0.81,1.93,1.12,1.93,/en/squads/206d90db/Barcelona-Stats
16,29.0,56,1,11,90,1,2,1,3,1,1,1,3,0,2.2,1.4,1.3,2.7,17,35,2,1,3,1,2,2.18,1.35,3.53,1.39,2.74,/en/squads/054efa67/Bayern-Munich-Stats
15,25.5,53,1,11,90,1,2,1,3,2,0,0,0,0,1.4,1.4,0.8,2.1,30,57,2,1,3,2,3,1.38,0.75,2.14,1.38,2.14,/en/squads/a77c513e/Benfica-Stats
16,26.7,53,1,11,90,1,2,0,2,2,0,1,3,0,2.8,2.0,0.7,2.7,14,24,2,0,2,2,2,2.79,0.68,3.47,2.0,2.68,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,25.1,44,1,11,90,1,1,1,2,1,0,0,1,0,0.7,0.7,0.7,1.4,18,31,1,1,2,1,2,0.73,0.7,1.43,0.73,1.43,/en/squads/cff3d9bb/Chelsea-Stats
16,24.5,49,1,11,90,1,4,3,7,4,0,0,2,0,3.0,3.0,2.8,5.8,27,51,4,3,7,4,7,3.01,2.78,5.79,3.01,5.79,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,26.8,48,1,11,90,1,4,3,7,3,1,1,1,0,1.5,0.9,0.5,1.4,10,25,4,3,7,3,6,1.54,0.51,2.05,0.92,1.43,/en/squads/add600ae/Dortmund-Stats
16,24.5,39,1,11,90,1,3,4,7,3,0,0,1,0,1.2,1.2,1.1,2.3,16,20,3,4,7,3,7,1.21,1.11,2.31,1.21,2.31,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
15,27.2,37,1,11,90,1,2,2,4,2,0,0,3,0,1.9,1.9,1.8,3.7,23,28,2,2,4,2,4,1.89,1.8,3.69,1.89,3.69,/en/squads/18050b20/FC-Copenhagen-Stats
16,28.3,61,1,11,90,1,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,11,42,1,1,2,1,2,1.08,1.04,2.12,1.08,2.12,/en/squads/ecd11ca2/Galatasaray-Stats
16,29.7,44,1,11,90,1,2,2,4,2,0,0,2,0,1.2,1.2,0.8,2.1,11,35,2,2,4,2,4,1.2,0.85,2.05,1.2,2.05,/en/squads/d609edc0/Internazionale-Stats
16,25.8,52,1,11,90,1,4,4,8,4,0,0,0,0,1.9,1.9,1.7,3.6,29,38,4,4,8,4,8,1.91,1.72,3.63,1.91,3.63,/en/squads/e0652b02/Juventus-Stats
16,27.1,63,1,11,90,1,1,0,1,1,0,0,2,0,1.2,1.2,0.9,2.1,11,55,1,0,1,1,1,1.21,0.91,2.11,1.21,2.11,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
