players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
16,27.5,56,1,11,90,1,3,3,6,3,0,0,1,0,2.7,2.7,2.5,5.2,31,66,3,3,6,3,6,2.71,2.53,5.24,2.71,5.24,/en/squads/822bd0ba/Liverpool-Stats
16,25.4,73,1,11,90,1,2,2,4,2,0,0,0,0,2.1,2.1,1.8,3.9,30,66,2,2,4,2,4,2.09,1.85,3.93,2.09,3.93,/en/squads/b8fd03ef/Manchester-City-Stats
16,28.8,56,1,11,90,1,1,1,2,1,0,0,2,0,0.8,0.8,0.6,1.3,17,33,1,1,2,1,2,0.75,0.57,1.32,0.75,1.32,/en/squads/5725cc7b/Marseille-Stats
16,24.9,51,1,11,90,1,1,1,2,1,0,1,2,0,1.5,0.7,0.7,1.4,20,39,1,1,2,1,2,1.52,0.69,2.21,0.73,1.42,/en/squads/fd6114db/Monaco-Stats
16,28.9,27,1,11,90,1,0,0,0,0,0,0,1,1,0.2,0.2,0.2,0.3,8,9,0,0,0,0,0,0.17,0.17,0.33,0.17,0.33,/en/squads/d48ad4ff/Napoli-Stats
16,28.4,37,1,11,90,1,1,1,2,1,0,0,2,0,1.2,1.2,1.1,2.3,17,35,1,1,2,1,2,1.22,1.13,2.34,1.22,2.34,/en/squads/b2b47a98/Newcastle-United-Stats
16,28.9,70,1,11,90,1,0,0,0,0,0,0,3,0,1.5,1.5,1.4,2.9,25,76,0,0,0,0,0,1.5,1.36,2.87,1.5,2.87,/en/squads/2fdb4aef/Olympiacos-Stats
16,25.3,62,1,11,90,1,1,0,1,1,0,0,0,0,2.1,2.1,1.9,4.0,17,37,1,0,1,1,1,2.13,1.88,4.0,2.13,4.0,/en/squads/e334d850/PSV-Eindhoven-Stats
16,29.4,30,1,11,90,1,0,0,0,0,0,0,3,1,0.3,0.3,0.2,0.5,9,7,0,0,0,0,0,0.27,0.23,0.5,0.27,0.5,/en/squads/cb42669e/Pafos-FC-Stats
16,24.6,67,1,11,90,1,4,3,7,4,0,1,0,0,3.4,2.6,2.2,4.9,17,37,4,3,7,4,7,3.43,2.23,5.65,2.64,4.87,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
15,27.8,47,1,11,90,1,3,3,6,3,0,0,0,0,1.5,1.5,1.4,2.9,12,28,3,3,6,3,6,1.51,1.37,2.88,1.51,2.88,/en/squads/44b65410/Qarabag-Stats
16,26.4,36,1,11,90,1,1,1,2,1,0,0,2,0,0.7,0.7,0.6,1.3,7,23,1,1,2,1,2,0.66,0.63,1.29,0.66,1.29,/en/squads/768fb565/Qairat-Almaty-Stats
15,25.6,44,1,11,90,1,2,0,2,0,2,2,3,1,3.6,2.2,1.6,3.7,24,57,2,0,2,0,0,3.64,1.58,5.22,2.15,3.74,/en/squads/53a2f082/Real-Madrid-Stats
16,26.3,47,1,11,90,1,2,2,4,2,0,0,2,0,3.9,3.9,3.3,7.2,11,41,2,2,4,2,4,3.94,3.26,7.2,3.94,7.2,/en/squads/111cbfb1/Slavia-Prague-Stats
16,24.7,64,1,11,90,1,4,3,7,4,0,1,4,0,3.7,3.0,2.8,5.7,26,52,4,3,7,4,7,3.75,2.77,6.52,2.96,5.73,/en/squads/13dc44fd/Sporting-CP-Stats
16,25.5,58,1,11,90,1,0,0,0,0,0,0,4,0,0.5,0.5,0.4,0.9,19,36,0,0,0,0,0,0.54,0.36,0.89,0.54,0.89,/en/squads/361ca564/Tottenham-Hotspur-Stats
14,25.5,38,1,11,90,1,3,1,4,2,1,1,0,0,3.0,2.2,1.4,3.7,23,28,3,1,4,2,3,3.02,1.42,4.44,2.23,3.65,/en/squads/e14f61a5/Union-SG-Stats
16,26.7,42,1,11,90,1,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,15,31,0,0,0,0,0,0.48,0.29,0.77,0.48,0.77,/en/squads/2a8183b3/Villarreal-Stats
