players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
1,1,2,0,0,2,0,1.7,0.43,-0.3,-0.29,5,13,38.5,51,6,23.5,28.6,5,20.0,22.4,7,1,14.3,0,0,4.0,/en/squads/19c3f8c4/Ajax-Stats
1,1,0,0,0,0,0,0.2,0.09,0.2,0.17,6,16,37.5,48,7,29.2,31.4,4,50.0,49.0,8,2,25.0,4,4,18.5,/en/squads/18bb7c10/Arsenal-Stats
1,1,4,0,0,0,0,4.2,0.26,0.2,0.15,5,16,31.3,33,4,36.4,35.3,7,57.1,44.9,5,0,0.0,2,2,12.4,/en/squads/922493f3/Atalanta-Stats
1,1,2,0,0,0,0,1.1,0.19,-0.9,-0.89,9,26,34.6,34,4,67.6,48.1,4,75.0,58.5,10,0,0.0,3,3,24.0,/en/squads/2b390eca/Athletic-Club-Stats
1,1,3,0,0,1,0,1.9,0.32,-1.1,-1.08,4,14,28.6,23,6,39.1,37.9,11,45.5,46.1,17,0,0.0,0,0,9.0,/en/squads/db3b9613/Atletico-Madrid-Stats
1,1,1,0,0,0,0,2.0,0.33,1.0,0.98,7,14,50.0,34,9,35.3,35.8,4,50.0,40.8,15,2,13.3,1,1,14.8,/en/squads/206d90db/Barcelona-Stats
1,1,1,0,0,0,0,1.0,0.34,0.0,0.02,7,18,38.9,48,3,35.4,32.0,5,20.0,30.6,9,1,11.1,3,3,17.0,/en/squads/054efa67/Bayern-Munich-Stats
1,1,3,0,0,0,0,2.7,0.55,-0.3,-0.27,3,5,60.0,21,4,19.0,24.8,5,20.0,28.2,6,0,0.0,1,1,16.3,/en/squads/a77c513e/Benfica-Stats
1,1,2,0,0,0,0,4.2,0.42,2.2,2.18,5,18,27.8,28,4,50.0,39.6,6,66.7,46.5,25,1,4.0,0,0,6.0,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
1,1,3,1,0,0,1,2.5,0.32,0.5,0.46,6,13,46.2,31,3,35.5,35.3,10,20.0,24.7,9,2,22.2,0,0,7.5,/en/squads/cff3d9bb/Chelsea-Stats
2,1,1,0,0,1,0,1.3,0.12,0.3,0.32,7,17,41.2,44,8,38.6,,5,0.0,7.6,11,0,0.0,1,1,10.3,/en/squads/f1e6c5f1/Club-Brugge-Stats
1,1,4,0,0,0,0,2.8,0.4,-1.2,-1.22,4,18,22.2,36,4,44.4,39.6,8,25.0,24.3,16,1,6.3,2,2,20.3,/en/squads/add600ae/Dortmund-Stats
1,1,1,0,0,0,0,1.5,0.29,0.5,0.45,5,21,23.8,39,10,48.7,35.4,6,33.3,24.2,10,0,0.0,2,2,14.6,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
1,1,2,0,1,0,1,1.3,0.32,0.3,0.27,6,17,35.3,19,3,57.9,42.9,7,85.7,54.3,10,0,0.0,0,0,7.5,/en/squads/18050b20/FC-Copenhagen-Stats
