players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
16,1,478,565,84.6,8990,2973,187,209,89.5,246,278,88.5,41,66,62.1,0,1.3,1.2,-1.3,7,32,7,2,43,/en/squads/19c3f8c4/Ajax-Stats
15,1,435,532,81.8,7687,2577,199,227,87.7,189,213,88.7,38,68,55.9,2,1.3,0.8,0.7,10,22,5,2,34,/en/squads/18bb7c10/Arsenal-Stats
16,1,300,370,81.1,5186,1942,146,163,89.6,112,130,86.2,34,51,66.7,0,0.5,0.9,-0.5,6,17,4,2,17,/en/squads/922493f3/Atalanta-Stats
16,1,246,338,72.8,4834,1784,86,105,81.9,131,150,87.3,25,62,40.3,0,0.2,0.4,-0.2,6,17,5,2,30,/en/squads/2b390eca/Athletic-Club-Stats
15,1,408,503,81.1,7266,2421,187,202,92.6,179,209,85.6,39,74,52.7,1,0.5,0.8,0.5,9,35,10,2,42,/en/squads/db3b9613/Atletico-Madrid-Stats
16,1,490,578,84.8,7904,2653,265,288,92.0,178,206,86.4,36,57,63.2,1,0.8,1.0,0.2,14,51,9,2,41,/en/squads/206d90db/Barcelona-Stats
16,1,522,592,88.2,8754,2787,238,247,96.4,212,223,95.1,49,84,58.3,1,1.3,0.9,-0.3,12,33,12,1,35,/en/squads/054efa67/Bayern-Munich-Stats
15,1,431,517,83.4,7349,2519,208,227,91.6,165,191,86.4,44,72,61.1,1,0.8,0.9,0.2,11,46,12,0,57,/en/squads/a77c513e/Benfica-Stats
16,1,330,429,76.9,5207,1648,152,173,87.9,135,162,83.3,21,59,35.6,0,0.7,0.6,-0.7,4,27,7,1,24,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,1,406,469,86.6,6868,2185,193,208,92.8,188,204,92.2,22,40,55.0,1,0.7,1.1,0.3,7,28,6,1,31,/en/squads/cff3d9bb/Chelsea-Stats
16,1,405,488,83.0,7147,2773,183,207,88.4,173,190,91.1,44,78,56.4,3,2.8,2.8,0.2,20,32,9,1,51,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,1,410,501,81.8,7346,2250,189,206,91.7,181,205,88.3,36,69,52.2,3,0.5,0.4,2.5,7,27,5,0,25,/en/squads/add600ae/Dortmund-Stats
16,1,278,375,74.1,4676,1656,134,148,90.5,110,137,80.3,23,59,39.0,4,1.1,0.4,2.9,10,11,4,1,20,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
15,1,307,398,77.1,5339,2039,148,168,88.1,108,139,77.7,34,62,54.8,2,1.8,0.7,0.2,11,27,6,2,28,/en/squads/18050b20/FC-Copenhagen-Stats
16,1,500,591,84.6,8874,2869,235,258,91.1,200,221,90.5,54,87,62.1,1,1.0,0.6,0.0,11,38,7,1,42,/en/squads/ecd11ca2/Galatasaray-Stats
16,1,363,449,80.8,6311,2531,175,193,90.7,146,168,86.9,33,60,55.0,2,0.8,1.0,1.2,10,29,10,0,35,/en/squads/d609edc0/Internazionale-Stats
16,1,459,532,86.3,7808,2404,214,231,92.6,201,221,91.0,34,55,61.8,4,1.7,1.3,2.3,16,29,12,4,38,/en/squads/e0652b02/Juventus-Stats
16,1,597,684,87.3,10473,3108,262,283,92.6,259,287,90.2,56,81,69.1,0,0.9,0.9,-0.9,10,52,11,1,55,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
16,1,561,643,87.2,9274,3157,273,297,91.9,239,259,92.3,37,62,59.7,3,2.5,3.1,0.5,17,66,13,2,66,/en/squads/822bd0ba/Liverpool-Stats
16,1,768,847,90.7,11568,2317,426,455,93.6,265,292,90.8,44,58,75.9,2,1.8,3.2,0.2,19,60,17,4,66,/en/squads/b8fd03ef/Manchester-City-Stats
16,1,478,559,85.5,7419,2550,266,287,92.7,181,209,86.6,25,43,58.1,1,0.6,0.7,0.4,14,26,7,0,33,/en/squads/5725cc7b/Marseille-Stats
16,1,439,516,85.1,7446,2706,190,206,92.2,190,215,88.4,36,54,66.7,1,0.7,1.3,0.3,11,34,9,3,39,/en/squads/fd6114db/Monaco-Stats
16,1,237,306,77.5,4418,1513,107,129,82.9,98,110,89.1,25,50,50.0,0,0.2,0.3,-0.2,1,10,3,1,9,/en/squads/d48ad4ff/Napoli-Stats
16,1,233,334,69.8,4224,1815,92,117,78.6,96,112,85.7,28,64,43.8,1,1.1,0.9,-0.1,8,18,6,2,35,/en/squads/b2b47a98/Newcastle-United-Stats
16,1,484,613,79.0,9342,3179,161,186,86.6,267,321,83.2,49,84,58.3,0,1.4,1.9,-1.4,16,60,18,4,76,/en/squads/2fdb4aef/Olympiacos-Stats
16,1,470,588,79.9,8236,3056,215,243,88.5,183,208,88.0,57,95,60.0,0,1.9,0.8,-1.9,9,45,5,1,37,/en/squads/e334d850/PSV-Eindhoven-Stats
16,1,184,268,68.7,3117,1255,101,113,89.4,70,83,84.3,11,63,17.5,0,0.2,0.2,-0.2,5,5,1,0,7,/en/squads/cb42669e/Pafos-FC-Stats
16,1,671,738,90.9,9876,2951,340,357,95.2,256,271,94.5,33,52,63.5,3,2.2,2.5,0.8,19,34,14,1,37,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
15,1,372,462,80.5,6821,2503,169,194,87.1,167,192,87.0,35,63,55.6,3,1.4,0.7,1.6,7,22,6,1,28,/en/squads/44b65410/Qarabag-Stats
16,1,251,339,74.0,4327,1889,118,135,87.4,94,117,80.3,26,59,44.1,1,0.6,0.4,0.4,8,19,5,1,23,/en/squads/768fb565/Qairat-Almaty-Stats
15,1,364,431,84.5,6262,2292,176,196,89.8,150,168,89.3,30,51,58.8,0,1.6,1.2,-1.6,20,42,5,0,57,/en/squads/53a2f082/Real-Madrid-Stats
16,1,283,385,73.5,4972,2311,128,155,82.6,114,140,81.4,27,58,46.6,2,3.3,2.3,-1.3,18,31,22,10,41,/en/squads/111cbfb1/Slavia-Prague-Stats
16,1,508,601,84.5,8663,2839,250,280,89.3,203,224,90.6,46,78,59.0,3,2.8,1.8,0.2,17,49,13,3,52,/en/squads/13dc44fd/Sporting-CP-Stats
16,1,436,529,82.4,8466,2936,167,187,89.3,213,234,91.0,51,86,59.3,0,0.4,0.7,-0.4,7,25,6,2,36,/en/squads/361ca564/Tottenham-Hotspur-Stats
14,1,251,358,70.1,4300,2063,122,147,83.0,82,111,73.9,32,60,53.3,1,1.4,0.7,-0.4,10,21,4,1,28,/en/squads/e14f61a5/Union-SG-Stats
16,1,295,380,77.6,4972,1913,131,147,89.1,130,150,86.7,22,53,41.5,0,0.3,0.5,-0.3,5,17,6,0,31,/en/squads/2a8183b3/Villarreal-Stats
