players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
16,1,0,7,2,28.6,7,2,0.0,0.0,16.1,0,0,0,1.3,1.3,0.18,-1.3,-1.3,/en/squads/19c3f8c4/Ajax-Stats
15,1,2,11,6,54.5,11,6,0.18,0.33,13.5,0,0,0,1.3,1.3,0.12,0.7,0.7,/en/squads/18bb7c10/Arsenal-Stats
16,1,0,7,2,28.6,7,2,0.0,0.0,17.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,/en/squads/922493f3/Atalanta-Stats
16,1,0,11,2,18.2,11,2,0.0,0.0,19.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3,/en/squads/2b390eca/Athletic-Club-Stats
15,1,2,10,4,40.0,10,4,0.2,0.5,18.5,0,0,0,0.6,0.6,0.06,1.4,1.4,/en/squads/db3b9613/Atletico-Madrid-Stats
16,1,2,19,5,26.3,19,5,0.11,0.4,17.4,1,0,0,1.1,1.1,0.06,0.9,0.9,/en/squads/206d90db/Barcelona-Stats
16,1,2,15,4,26.7,15,4,0.07,0.25,20.8,0,1,1,2.2,1.4,0.09,-0.2,-0.4,/en/squads/054efa67/Bayern-Munich-Stats
15,1,2,14,3,21.4,14,3,0.14,0.67,19.8,1,0,0,1.4,1.4,0.1,0.6,0.6,/en/squads/a77c513e/Benfica-Stats
16,1,2,10,8,80.0,10,8,0.2,0.25,15.9,0,0,1,2.8,2.0,0.27,-0.8,0.0,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,1,1,9,3,33.3,9,3,0.11,0.33,20.5,0,0,0,0.7,0.7,0.08,0.3,0.3,/en/squads/cff3d9bb/Chelsea-Stats
16,1,4,26,10,38.5,26,10,0.15,0.4,14.9,0,0,0,3.0,3.0,0.12,1.0,1.0,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,1,4,9,4,44.4,9,4,0.33,0.75,20.4,0,1,1,1.5,0.9,0.1,2.5,2.1,/en/squads/add600ae/Dortmund-Stats
16,1,3,11,5,45.5,11,5,0.27,0.6,17.0,0,0,0,1.2,1.2,0.11,1.8,1.8,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
15,1,2,12,7,58.3,12,7,0.17,0.29,19.2,1,0,0,1.9,1.9,0.16,0.1,0.1,/en/squads/18050b20/FC-Copenhagen-Stats
16,1,1,14,5,35.7,14,5,0.07,0.2,19.8,0,0,0,1.1,1.1,0.08,-0.1,-0.1,/en/squads/ecd11ca2/Galatasaray-Stats
